Date,BBL
2013-01-01,561.2
2013-01-02,586.45
2013-01-03,582.95
2013-01-04,573.2
2013-01-07,585.95
2013-01-08,574.8
2013-01-09,582.05
2013-01-10,573.8
2013-01-11,554.55
2013-01-14,565.45
2013-01-15,567.1
2013-01-16,551.65
2013-01-17,549.25
2013-01-18,547.2
2013-01-21,546.15
2013-01-22,560.55
2013-01-23,560.0
2013-01-24,560.3
2013-01-25,573.55
2013-01-28,563.45
2013-01-29,554.8
2013-01-30,551.2
2013-01-31,550.55
2013-02-01,543.7
2013-02-04,532.05
2013-02-05,522.75
2013-02-06,521.15
2013-02-07,524.85
2013-02-08,523.4
2013-02-11,536.75
2013-02-12,517.75
2013-02-13,516.1
2013-02-14,502.95
2013-02-15,498.3
2013-02-18,492.8
2013-02-19,494.8
2013-02-20,502.3
2013-02-21,499.25
2013-02-22,499.6
2013-02-25,496.25
2013-02-26,487.55
2013-02-27,481.0
2013-02-28,487.7
2013-03-01,481.0
2013-03-04,478.35
2013-03-05,468.7
2013-03-06,472.7
2013-03-07,472.25
2013-03-08,476.4
2013-03-11,477.0
2013-03-12,473.55
2013-03-13,470.9
2013-03-14,468.55
2013-03-15,466.3
2013-03-18,465.6
2013-03-19,462.95
2013-03-20,452.9
2013-03-21,449.9
2013-03-22,428.1
2013-03-25,419.15
2013-03-26,428.8
2013-03-28,425.3
2013-04-01,423.3
2013-04-02,435.05
2013-04-03,441.8
2013-04-04,431.25
2013-04-05,428.25
2013-04-08,424.8
2013-04-09,423.75
2013-04-10,421.45
2013-04-11,420.7
2013-04-12,422.4
2013-04-15,420.95
2013-04-16,423.35
2013-04-17,418.5
2013-04-18,419.15
2013-04-22,421.7
2013-04-23,429.95
2013-04-25,436.75
2013-04-26,444.9
2013-04-29,446.85
2013-04-30,444.6
2013-05-02,442.85
2013-05-03,445.55
2013-05-06,445.35
2013-05-07,450.4
2013-05-08,449.9
2013-05-09,451.15
2013-05-10,452.85
2013-05-11,456.35
2013-05-13,440.7
2013-05-14,447.65
2013-05-15,447.3
2013-05-16,445.15
2013-05-17,511.4
2013-05-20,479.4
2013-05-21,478.8
2013-05-22,467.95
2013-05-23,459.5
2013-05-24,457.35
2013-05-27,452.95
2013-05-28,455.0
2013-05-29,445.8
2013-05-30,451.85
2013-05-31,447.5
2013-06-03,442.0
2013-06-04,441.8
2013-06-05,435.75
2013-06-06,427.9
2013-06-07,417.65
2013-06-10,407.35
2013-06-11,406.4
2013-06-12,408.5
2013-06-13,404.15
2013-06-14,401.5
2013-06-17,397.8
2013-06-18,399.8
2013-06-19,398.0
2013-06-20,391.0
2013-06-21,390.2
2013-06-24,370.35
2013-06-25,364.5
2013-06-26,364.65
2013-06-27,365.35
2013-06-28,368.85
2013-07-01,373.05
2013-07-02,369.8
2013-07-03,366.95
2013-07-04,361.75
2013-07-05,359.55
2013-07-08,357.6
2013-07-09,355.15
2013-07-10,352.0
2013-07-11,352.7
2013-07-12,352.2
2013-07-15,350.85
2013-07-16,355.2
2013-07-17,352.45
2013-07-18,345.8
2013-07-19,345.0
2013-07-22,344.55
2013-07-23,341.8
2013-07-24,341.7
2013-07-25,339.15
2013-07-26,336.25
2013-07-29,323.2
2013-07-30,300.8
2013-07-31,296.6
2013-08-01,290.15
2013-08-02,279.3
2013-08-05,273.1
2013-08-06,266.25
2013-08-07,272.95
2013-08-08,283.7
2013-08-12,305.05
2013-08-13,316.15
2013-08-14,328.05
2013-08-16,313.45
2013-08-19,298.8
2013-08-20,308.6
2013-08-21,298.7
2013-08-22,293.9
2013-08-23,300.45
2013-08-26,301.3
2013-08-27,290.3
2013-08-28,286.85
2013-08-29,291.05
2013-08-30,287.05
2013-09-02,300.0
2013-09-03,296.95
2013-09-04,297.1
2013-09-05,307.95
2013-09-06,304.35
2013-09-10,320.65
2013-09-11,330.1
2013-09-12,339.8
2013-09-13,336.7
2013-09-16,327.75
2013-09-17,326.0
2013-09-18,325.55
2013-09-19,330.45
2013-09-20,323.05
2013-09-23,322.25
2013-09-24,323.5
2013-09-25,318.3
2013-09-26,311.95
2013-09-27,310.15
2013-09-30,308.95
2013-10-01,316.95
2013-10-03,311.95
2013-10-04,313.8
2013-10-07,308.3
2013-10-08,311.75
2013-10-09,329.7
2013-10-10,327.55
2013-10-11,323.25
2013-10-14,317.35
2013-10-15,313.85
2013-10-17,313.25
2013-10-18,315.65
2013-10-21,316.8
2013-10-22,326.8
2013-10-23,327.6
2013-10-24,322.75
2013-10-25,318.0
2013-10-28,310.1
2013-10-29,319.75
2013-10-30,323.0
2013-10-31,340.15
2013-11-01,339.9
2013-11-03,346.6
2013-11-05,339.8
2013-11-06,355.1
2013-11-07,343.65
2013-11-08,342.8
2013-11-11,337.45
2013-11-12,328.7
2013-11-13,319.85
2013-11-14,324.9
2013-11-18,324.7
2013-11-19,323.65
2013-11-20,322.55
2013-11-21,320.55
2013-11-22,317.1
2013-11-25,327.35
2013-11-26,331.2
2013-11-27,333.7
2013-11-28,364.0
2013-11-29,365.3
2013-12-02,367.9
2013-12-03,351.9
2013-12-04,351.2
2013-12-05,349.8
2013-12-06,355.2
2013-12-09,352.65
2013-12-10,350.1
2013-12-11,349.6
2013-12-12,347.5
2013-12-13,331.95
2013-12-16,335.7
2013-12-17,338.9
2013-12-18,347.55
2013-12-19,344.05
2013-12-20,350.0
2013-12-23,356.2
2013-12-24,361.75
2013-12-26,380.05
2013-12-27,372.55
2013-12-30,365.2
2013-12-31,362.8
2014-01-01,368.9
2014-01-02,357.8
2014-01-03,358.3
2014-01-06,358.35
2014-01-07,360.85
2014-01-08,360.25
2014-01-09,353.15
2014-01-10,346.85
2014-01-13,349.1
2014-01-14,354.25
2014-01-15,347.25
2014-01-16,375.15
2014-01-17,364.1
2014-01-20,361.0
2014-01-21,364.95
2014-01-22,355.7
2014-01-23,382.3
2014-01-24,374.1
2014-01-27,357.35
2014-01-28,356.15
2014-01-29,358.8
2014-01-30,351.65
2014-01-31,357.35
2014-02-03,348.2
2014-02-04,342.5
2014-02-05,345.5
2014-02-06,346.7
2014-02-07,345.8
2014-02-10,340.9
2014-02-11,344.85
2014-02-12,343.75
2014-02-13,333.4
2014-02-14,331.0
2014-02-17,326.4
2014-02-18,335.3
2014-02-19,332.8
2014-02-20,334.2
2014-02-21,337.1
2014-02-24,345.35
2014-02-25,339.95
2014-02-26,351.55
2014-02-28,352.2
2014-03-03,351.85
2014-03-04,348.9
2014-03-05,388.6
2014-03-06,384.25
2014-03-07,380.4
2014-03-10,380.4
2014-03-11,438.85
2014-03-12,419.5
2014-03-13,431.4
2014-03-14,432.2
2014-03-18,442.1
2014-03-19,450.95
2014-03-20,448.55
2014-03-21,462.7
2014-03-22,462.15
2014-03-24,456.15
2014-03-25,456.5
2014-03-26,469.45
2014-03-27,483.15
2014-06-13,686.95
2014-06-16,676.05
2014-06-17,688.05
2014-06-18,685.85
2014-06-19,673.3
2014-06-20,682.8
2014-06-23,648.7
2014-06-24,655.7
2014-06-25,649.35
2014-06-26,649.55
2014-06-27,636.3
2014-06-30,668.1
2014-07-01,701.5
2014-07-02,717.1
2014-07-03,702.6
2014-07-04,729.6
2014-07-07,760.9
2014-07-08,739.7
2014-07-09,731.15
2014-07-10,729.75
2014-07-11,695.95
2014-07-14,691.55
2014-07-15,710.4
2014-07-16,723.2
2014-07-17,733.05
2014-07-18,712.95
2014-07-21,715.2
2014-07-22,717.25
2014-07-23,693.85
2014-07-24,694.35
2014-07-25,681.05
2014-07-28,658.85
2014-07-30,658.05
2014-07-31,665.05
2014-08-01,640.85
2014-08-04,628.05
2014-08-05,631.4
2014-08-06,643.45
2014-08-07,623.15
2014-08-08,612.15
2014-08-11,614.4
2014-08-12,613.65
2014-08-13,588.6
2014-08-14,595.95
2014-08-18,627.25
2014-08-19,614.35
2014-08-20,611.85
2014-08-21,597.95
2014-08-22,594.8
2014-08-25,595.6
2014-08-26,579.35
2014-08-27,574.55
2014-08-28,567.2
2014-09-01,668.95
2014-09-02,650.45
2014-09-03,634.05
2014-09-04,618.85
2014-09-05,616.1
2014-09-08,627.2
2014-09-09,640.95
2014-09-10,635.1
2014-09-11,625.3
2014-09-12,629.2
2014-09-15,629.4
2014-09-16,594.15
