Date,INDNIPPON
2013-01-01,176.25
2013-01-02,179.4
2013-01-03,180.0
2013-01-04,180.8
2013-01-07,180.55
2013-01-08,182.75
2013-01-09,183.75
2013-01-10,184.6
2013-01-11,184.35
2013-01-14,186.0
2013-01-15,190.35
2013-01-16,181.6
2013-01-17,185.0
2013-01-18,183.95
2013-01-21,188.3
2013-01-22,187.45
2013-01-23,184.25
2013-01-24,185.3
2013-01-25,179.15
2013-01-28,178.15
2013-01-29,177.3
2013-01-30,178.05
2013-01-31,179.45
2013-02-01,179.65
2013-02-04,178.0
2013-02-05,183.55
2013-02-06,182.6
2013-02-07,179.25
2013-02-08,180.0
2013-02-11,181.85
2013-02-12,181.0
2013-02-13,180.45
2013-02-14,178.35
2013-02-15,173.9
2013-02-18,174.0
2013-02-19,170.95
2013-02-20,171.25
2013-02-21,173.9
2013-02-22,172.4
2013-02-25,170.3
2013-02-26,168.1
2013-02-27,168.45
2013-02-28,166.65
2013-03-01,167.85
2013-03-04,168.45
2013-03-05,168.1
2013-03-06,170.0
2013-03-07,169.4
2013-03-08,170.2
2013-03-11,170.55
2013-03-12,167.6
2013-03-13,167.0
2013-03-14,171.0
2013-03-15,170.25
2013-03-20,170.8
2013-03-21,165.7
2013-03-22,165.7
2013-03-25,172.0
2013-03-26,169.1
2013-03-28,170.9
2013-04-01,167.5
2013-04-02,169.6
2013-04-03,173.7
2013-04-04,168.65
2013-04-05,169.0
2013-04-08,165.4
2013-04-09,162.5
2013-04-10,165.5
2013-04-11,158.95
2013-04-12,162.2
2013-04-15,164.9
2013-04-16,163.65
2013-04-17,163.15
2013-04-18,165.0
2013-04-22,174.7
2013-04-23,164.85
2013-04-25,166.3
2013-04-26,167.45
2013-04-29,168.9
2013-04-30,165.75
2013-05-02,168.95
2013-05-03,169.3
2013-05-06,169.45
2013-05-07,169.0
2013-05-08,169.0
2013-05-09,167.95
2013-05-10,168.4
2013-05-13,172.25
2013-05-14,169.0
2013-05-15,168.6
2013-05-16,168.1
2013-05-17,167.55
2013-05-20,167.25
2013-05-21,168.5
2013-05-22,171.0
