Date,WELENT
2013-01-01,22.95
2013-01-02,23.3
2013-01-03,23.6
2013-01-04,23.45
2013-01-07,23.65
2013-01-08,22.8
2013-01-09,22.85
2013-01-10,22.5
2013-01-11,22.4
2013-01-14,21.85
2013-01-15,21.65
2013-01-16,20.4
2013-01-17,20.85
2013-01-18,20.8
2013-01-21,21.2
2013-01-22,20.75
2013-01-23,21.0
2013-01-24,20.5
2013-01-25,20.3
2013-01-28,20.65
2013-01-29,20.25
2013-01-30,20.35
2013-01-31,19.8
2013-02-01,20.3
2013-02-04,20.1
2013-02-05,19.4
2013-02-06,19.3
2013-02-07,19.8
2013-02-08,18.8
2013-02-11,18.05
2013-02-12,16.3
2013-02-13,16.5
2013-02-14,15.9
2013-02-15,16.75
2013-02-18,15.95
2013-02-19,16.5
2013-02-20,16.3
2013-02-21,16.15
2013-02-22,16.55
2013-02-25,16.1
2013-02-26,15.9
2013-02-27,13.1
2013-02-28,11.65
2013-03-01,10.85
2013-03-04,10.7
2013-03-05,11.45
2013-03-06,12.25
2013-03-07,12.7
2013-03-08,12.9
2013-03-11,13.0
2013-03-12,12.5
2013-03-13,12.2
2013-03-14,12.85
2013-03-15,12.2
2013-03-18,11.8
2013-03-19,11.2
2013-03-20,11.5
2013-03-21,11.2
2013-03-22,11.15
2013-03-25,10.2
2013-03-26,11.2
2013-03-28,12.25
2013-04-01,12.9
2013-04-02,14.15
2013-04-03,14.8
2013-04-04,14.95
2013-04-05,14.3
2013-04-08,13.75
2013-04-09,13.1
2013-04-10,12.95
2013-04-11,13.4
2013-04-12,13.25
2013-04-15,12.8
2013-04-16,12.85
2013-04-17,12.8
2013-04-18,12.25
2013-04-22,12.55
2013-04-23,12.65
2013-04-25,13.25
2013-04-26,13.3
2013-04-29,13.9
2013-04-30,14.55
2013-05-02,15.25
2013-05-03,16.0
2013-05-06,16.8
2013-05-07,16.65
2013-05-08,15.85
2013-05-09,15.55
2013-05-10,15.25
2013-05-11,15.4
2013-05-13,15.4
2013-05-14,15.7
2013-05-15,16.05
2013-05-16,16.35
2013-05-17,15.55
2013-05-20,15.0
2013-05-21,14.8
2013-05-22,14.25
2013-05-23,14.35
2013-05-24,13.9
2013-05-27,13.55
2013-05-28,13.95
2013-05-29,13.7
2013-05-30,13.5
2013-05-31,13.2
2013-06-03,13.35
2013-06-04,14.0
2013-06-05,14.7
2013-06-06,15.4
2013-06-07,16.15
2013-06-10,16.5
2013-06-11,16.8
2013-06-12,17.6
2013-06-13,18.45
2013-06-14,18.0
2013-06-17,18.9
2013-06-18,18.0
2013-06-19,17.1
2013-06-20,16.5
2013-06-21,15.7
2013-06-24,15.05
2013-06-25,14.3
2013-06-26,14.25
2013-06-27,14.0
2013-06-28,13.8
2013-07-01,13.9
2013-07-02,13.35
2013-07-03,13.1
2013-07-04,12.8
2013-07-05,13.4
2013-07-08,13.55
2013-07-09,14.2
2013-07-10,14.05
2013-07-11,14.1
2013-07-12,14.55
2013-07-15,15.05
2013-07-16,15.05
2013-07-17,15.5
2013-07-18,15.0
2013-07-19,15.7
2013-07-22,16.0
2013-07-23,16.0
2013-07-24,15.45
2013-07-25,15.9
2013-07-26,15.9
2013-07-29,15.95
2013-07-30,15.5
2013-07-31,14.95
2013-08-01,14.25
2013-08-02,13.55
2013-08-05,13.75
2013-08-06,13.1
2013-08-07,12.45
2013-08-08,12.0
2013-08-12,11.4
2013-08-13,11.3
2013-08-14,11.2
2013-08-16,10.85
2013-08-19,10.35
2013-08-20,9.85
2013-08-21,9.4
2013-08-22,8.95
2013-08-23,8.95
2013-08-26,8.8
2013-08-27,9.1
2013-08-28,8.9
2013-08-29,8.7
2013-08-30,9.05
2013-09-02,9.25
2013-09-03,9.0
2013-09-04,8.75
2013-09-05,9.0
2013-09-06,9.0
2013-09-10,9.25
2013-09-11,8.85
2013-09-12,9.0
2013-09-13,9.0
2013-09-16,9.05
2013-09-17,9.25
2013-09-18,9.45
2013-09-19,9.15
2013-09-20,9.0
2013-09-23,9.3
2013-09-24,9.0
2013-09-25,9.15
2013-09-26,9.0
2013-09-27,9.2
2013-09-30,9.2
2013-10-01,8.95
2013-10-03,9.2
2013-10-04,9.05
2013-10-07,9.0
2013-10-08,9.2
2013-10-09,8.9
2013-10-10,9.2
2013-10-11,9.3
2013-10-14,9.0
2013-10-15,9.2
2013-10-17,9.0
2013-10-18,9.0
2013-10-21,8.75
2013-10-22,8.35
2013-10-23,8.55
2013-10-24,8.15
2013-10-25,8.05
2013-10-28,8.2
2013-10-29,8.3
2013-10-30,8.55
2013-10-31,8.3
2013-11-01,8.1
2013-11-03,8.2
2013-11-05,8.45
2013-11-06,8.7
2013-11-07,8.85
2013-11-08,9.05
2013-11-11,8.95
2013-11-12,8.7
2013-11-13,8.9
2013-11-14,8.9
2013-11-18,8.7
2013-11-19,8.5
2013-11-20,8.55
2013-11-21,8.35
2013-11-22,8.25
2013-11-25,8.45
2013-11-26,8.3
2013-11-27,8.2
2013-11-28,8.25
2013-11-29,8.4
2013-12-02,8.35
2013-12-03,9.15
2013-12-04,9.3
2013-12-05,9.25
2013-12-06,9.05
2013-12-09,8.95
2013-12-10,8.75
2013-12-11,8.8
2013-12-12,8.55
2013-12-13,8.45
2013-12-16,8.7
2013-12-17,8.6
2013-12-18,8.45
2013-12-19,8.65
2013-12-20,8.8
2013-12-23,9.65
2013-12-24,10.6
2013-12-26,11.65
2013-12-27,12.2
2013-12-30,12.8
2013-12-31,13.4
2014-01-01,13.85
2014-01-02,13.2
2014-03-03,11.0
2014-03-04,10.6
2014-03-05,10.5
2014-03-06,10.95
2014-03-07,11.35
2014-03-10,10.6
2014-03-11,10.35
2014-03-12,10.8
2014-03-13,10.65
2014-03-14,10.05
2014-03-18,10.2
2014-03-19,10.0
2014-03-20,10.3
2014-03-21,10.35
2014-03-22,10.25
2014-03-24,10.0
2014-03-25,10.25
2014-03-26,10.25
2014-03-27,10.3
2014-03-28,10.5
2014-03-31,10.55
2014-04-01,10.65
2014-04-02,10.85
2014-04-03,10.25
2014-04-04,10.9
2014-04-07,11.2
2014-04-09,12.3
2014-04-10,12.3
2014-04-11,13.2
2014-04-15,12.95
2014-04-16,12.5
2014-04-17,12.7
2014-04-21,13.0
2014-04-22,13.65
2014-04-23,13.75
2014-04-25,13.6
2014-04-28,13.1
2014-04-29,13.75
2014-04-30,13.55
2014-05-02,14.15
2014-05-05,13.45
2014-05-06,14.1
2014-05-07,14.8
2014-05-08,15.75
2014-05-09,15.9
2014-05-12,14.8
2014-05-13,15.35
2014-05-14,15.15
2014-05-15,15.35
2014-05-16,16.85
2014-05-19,18.5
2014-05-20,20.35
2014-05-21,21.3
2014-05-22,22.35
2014-05-23,23.45
2014-05-26,23.95
2014-05-27,24.55
2014-05-28,25.5
2014-05-29,26.75
2014-05-30,28.05
2014-06-02,29.45
2014-06-03,30.9
2014-06-04,32.4
2014-06-05,34.0
2014-08-06,30.5
2014-08-07,30.2
2014-08-08,29.5
2014-08-11,30.95
2014-08-12,32.35
2014-08-13,31.95
2014-08-14,32.05
2014-08-18,30.7
2014-08-19,30.1
2014-08-20,31.55
2014-08-21,30.8
2014-08-22,32.2
2014-08-25,33.4
2014-08-26,31.8
2014-08-27,31.7
2014-08-28,30.85
