Date,BAJAJCORP
2013-01-01,233.9
2013-01-02,236.9
2013-01-03,240.45
2013-01-04,236.7
2013-01-07,238.75
2013-01-08,238.5
2013-01-09,242.6
2013-01-10,244.85
2013-01-11,255.15
2013-01-14,253.5
2013-01-15,252.4
2013-01-16,254.25
2013-01-17,255.0
2013-01-18,248.85
2013-01-21,249.75
2013-01-22,249.75
2013-01-23,243.3
2013-01-24,234.25
2013-01-25,242.25
2013-01-28,239.4
2013-01-29,236.3
2013-01-30,236.3
2013-01-31,243.25
2013-02-01,244.25
2013-02-04,238.8
2013-02-05,238.3
2013-02-06,234.15
2013-02-07,231.3
2013-02-08,229.75
2013-02-11,225.15
2013-02-12,229.95
2013-02-13,227.65
2013-02-14,225.0
2013-02-15,222.2
2013-02-18,223.65
2013-02-19,225.75
2013-02-20,227.2
2013-02-21,222.55
2013-02-22,224.1
2013-02-25,228.6
2013-02-26,224.45
2013-02-27,226.45
2013-02-28,221.8
2013-03-01,226.6
2013-03-04,223.8
2013-03-05,223.8
2013-03-06,224.55
2013-03-07,225.85
2013-03-08,226.4
2013-03-11,227.35
2013-03-12,229.9
2013-03-13,226.05
2013-03-14,228.6
2013-03-15,230.4
2013-03-18,230.5
2013-03-19,227.2
2013-03-20,228.45
2013-03-21,226.9
2013-03-22,228.15
2013-03-25,225.5
2013-03-26,220.55
2013-03-28,221.15
2013-04-01,231.9
2013-04-02,238.15
2013-04-03,242.9
2013-04-04,234.95
2013-04-05,234.4
2013-04-08,235.55
2013-04-09,230.45
2013-04-10,228.75
2013-04-11,230.2
2013-04-12,229.5
2013-04-15,228.6
2013-04-16,229.85
2013-04-17,235.45
2013-04-18,239.45
2013-04-22,238.05
2013-04-23,238.05
2013-04-25,235.45
2013-04-26,236.45
2013-04-29,237.75
2013-04-30,245.05
2013-05-02,248.25
2013-05-03,253.65
2013-05-06,253.4
2013-05-07,263.55
2013-05-08,274.15
2013-05-09,274.45
2013-05-10,273.85
2013-05-11,269.85
2013-05-13,269.75
2013-05-14,274.4
2013-05-15,272.05
2013-05-16,265.7
2013-05-17,267.3
2013-05-20,265.05
2013-05-21,275.75
2013-05-22,268.95
2013-05-23,265.9
2013-05-24,268.75
2013-05-27,272.1
2013-05-28,266.9
2013-05-29,269.05
2013-05-30,270.05
2013-05-31,273.1
2013-06-03,271.3
2013-06-04,277.75
2013-06-05,279.4
2013-06-06,276.05
2013-06-07,272.3
2013-06-10,273.25
2013-06-11,256.05
2013-06-12,259.45
2013-06-13,263.45
2013-06-14,263.05
2013-06-17,261.45
2013-06-18,255.9
2013-06-19,250.45
2013-06-20,250.3
2013-06-21,251.0
2013-06-24,244.65
2013-06-25,244.6
2013-06-26,246.2
2013-06-27,247.75
2013-06-28,248.2
2013-07-01,249.6
2013-07-02,249.95
2013-07-03,250.0
2013-07-04,251.4
2013-07-05,250.9
2013-07-08,257.2
2013-07-09,253.6
2013-07-10,251.05
2013-07-11,250.45
2013-07-12,253.05
2013-07-15,252.1
2013-07-16,250.8
2013-07-17,253.75
2013-07-18,245.25
2013-07-19,244.75
2013-07-22,247.0
