Date,ACC
2013-01-01,1431.1
2013-01-02,1429.5
2013-01-03,1436.3
2013-01-04,1434.8
2013-01-07,1417.45
2013-01-08,1417.65
2013-01-09,1397.7
2013-01-10,1379.05
2013-01-11,1361.4
2013-01-14,1360.35
2013-01-15,1388.4
2013-01-16,1384.5
2013-01-17,1358.85
2013-01-18,1345.15
2013-01-21,1335.5
2013-01-22,1358.9
2013-01-23,1355.1
2013-01-24,1345.9
2013-01-25,1326.75
2013-01-28,1328.85
2013-01-29,1304.9
2013-01-30,1324.75
2013-01-31,1323.1
2013-02-01,1318.75
2013-02-04,1300.55
2013-02-05,1323.7
2013-02-06,1333.1
2013-02-07,1344.3
2013-02-08,1303.75
2013-02-11,1258.1
2013-02-12,1239.2
2013-02-13,1249.3
2013-02-14,1246.05
2013-02-15,1258.85
2013-02-18,1262.2
2013-02-19,1299.8
2013-02-20,1311.15
2013-02-21,1301.0
2013-02-22,1300.95
2013-02-25,1305.6
2013-02-26,1298.35
2013-02-27,1302.3
2013-02-28,1272.55
2013-03-01,1267.4
2013-03-04,1221.35
2013-03-05,1256.45
2013-03-06,1254.05
2013-03-07,1263.4
2013-03-08,1263.0
2013-03-11,1268.75
2013-03-12,1286.35
2013-03-13,1249.7
2013-03-14,1259.2
2013-03-15,1249.35
2013-03-18,1226.15
2013-03-19,1195.55
2013-03-20,1148.0
2013-03-21,1124.45
2013-03-22,1147.6
2013-03-25,1155.8
2013-03-26,1158.85
2013-03-28,1159.2
2013-04-01,1160.9
2013-04-02,1176.6
2013-04-03,1162.25
2013-04-04,1139.35
2013-04-05,1129.25
2013-04-08,1126.9
2013-04-09,1130.8
2013-04-10,1147.25
2013-04-11,1143.0
2013-04-12,1148.1
2013-04-15,1140.8
2013-04-16,1174.85
2013-04-17,1188.7
2013-04-18,1211.7
2013-04-22,1216.8
2013-04-23,1215.5
2013-04-25,1255.05
2013-04-26,1247.65
2013-04-29,1240.6
2013-04-30,1233.3
2013-05-02,1250.0
2013-05-03,1227.3
2013-05-06,1211.15
2013-05-07,1224.45
2013-05-08,1215.4
2013-05-09,1214.0
2013-05-10,1242.6
2013-05-11,1239.05
2013-05-13,1206.9
2013-05-14,1204.45
2013-05-15,1229.75
2013-05-16,1250.45
2013-05-17,1269.35
2013-05-20,1246.65
2013-05-21,1222.8
2013-05-22,1219.9
2013-05-23,1206.2
2013-05-24,1226.3
2013-05-27,1245.45
2013-05-28,1245.5
2013-05-29,1236.15
2013-05-30,1243.95
2013-05-31,1218.75
2013-06-03,1223.4
2013-06-04,1218.6
2013-06-05,1204.95
2013-06-06,1208.3
2013-06-07,1205.0
2013-06-10,1229.1
2013-06-11,1225.4
2013-06-12,1211.95
2013-06-13,1204.8
2013-06-14,1214.85
2013-06-17,1205.2
2013-06-18,1214.6
2013-06-19,1216.1
2013-06-20,1178.05
2013-06-21,1163.6
2013-06-24,1164.7
2013-06-25,1171.85
2013-06-26,1168.3
2013-06-27,1202.7
2013-06-28,1222.65
2013-07-01,1220.05
2013-07-02,1234.3
2013-07-03,1204.8
2013-07-04,1236.0
2013-07-05,1238.45
2013-07-08,1256.55
2013-07-09,1250.75
2013-07-10,1249.9
2013-07-11,1250.25
2013-07-12,1241.4
2013-07-15,1242.05
2013-07-16,1257.75
2013-07-17,1274.65
2013-07-18,1275.35
2013-07-19,1275.5
2013-07-22,1241.05
2013-07-23,1249.0
2013-07-24,1230.55
2013-07-25,1195.25
2013-07-26,1211.9
2013-07-29,1194.45
2013-07-30,1174.35
2013-07-31,1173.55
2013-08-01,1148.65
2013-08-02,1174.9
2013-08-05,1187.85
2013-08-06,1162.2
2013-08-07,1159.95
2013-08-08,1161.4
2013-08-12,1168.4
2013-08-13,1160.8
2013-08-14,1189.55
2013-08-16,1158.9
2013-08-19,1124.5
2013-08-20,1075.0
2013-08-21,1006.25
2013-08-22,999.25
2013-08-23,989.7
2013-08-26,1002.0
2013-08-27,942.8
2013-08-28,944.7
2013-08-29,958.05
2013-08-30,964.1
2013-09-02,952.0
2013-09-03,930.5
2013-09-04,931.6
2013-09-05,938.7
2013-09-06,962.3
2013-09-10,1022.55
2013-09-11,1053.15
2013-09-12,1027.35
2013-09-13,1043.7
2013-09-16,1044.4
2013-09-17,1059.8
2013-09-18,1064.9
2013-09-19,1097.95
2013-09-20,1123.25
2013-09-23,1111.15
2013-09-24,1098.5
2013-09-25,1095.05
2013-09-26,1095.3
