Date,TECHNOFAB
2013-01-01,119.9
2013-01-02,122.2
2013-01-03,121.85
2013-01-04,128.15
2013-01-07,129.95
2013-01-08,130.0
2013-01-09,128.15
2013-01-10,126.45
2013-01-11,132.25
2013-01-14,130.55
2013-01-15,130.1
2013-01-16,129.2
2013-01-17,127.15
2013-01-18,124.05
2013-01-21,123.5
2013-01-22,122.0
2013-01-23,125.85
2013-01-24,119.4
2013-01-25,119.15
2013-01-28,117.85
2013-01-29,119.35
2013-01-30,118.0
2013-01-31,120.9
2013-02-01,119.15
2013-02-04,118.95
2013-02-05,116.45
2013-02-06,112.1
2013-02-07,112.45
2013-02-08,114.55
2013-02-11,118.1
2013-02-12,120.1
2013-02-13,120.7
2013-02-14,121.3
2013-02-15,120.3
2013-02-18,126.7
2013-02-19,126.95
2013-02-20,128.05
2013-02-21,128.05
2013-02-22,129.25
2013-02-25,126.0
2013-02-26,124.45
2013-02-27,126.35
2013-02-28,125.05
2013-03-01,125.5
2013-03-04,124.2
2013-03-05,123.0
2013-03-06,120.65
2013-03-07,119.5
2013-03-08,119.2
2013-03-11,118.3
2013-03-12,118.1
2013-03-13,117.15
2013-03-14,119.6
2013-03-15,118.85
2013-03-18,116.8
2013-03-19,119.0
2013-03-20,118.85
2013-03-21,116.5
2013-03-22,117.65
2013-03-25,121.05
2013-03-26,117.5
2013-03-28,116.65
2013-04-01,116.2
2013-04-02,119.45
2013-04-03,117.85
2013-04-04,115.5
2013-04-05,118.55
2013-04-08,118.35
2013-04-09,116.2
2013-04-10,112.35
2013-04-11,111.75
2013-04-12,111.8
2013-04-15,110.4
2013-04-16,113.7
2013-04-17,111.75
2013-04-18,110.0
2013-04-22,111.5
2013-04-23,110.1
2013-04-25,109.85
2013-04-26,109.6
2013-04-29,112.3
2013-04-30,113.8
2013-05-02,115.3
2013-05-03,113.45
2013-05-06,110.1
2013-05-07,110.25
2013-05-08,109.3
2013-05-09,112.9
2013-05-10,109.1
2013-05-11,109.0
2013-05-13,109.0
2013-05-14,109.25
2013-05-15,110.95
2013-05-16,110.4
2013-05-17,111.0
2013-05-20,109.55
2013-05-21,110.15
2013-05-22,109.8
2013-05-23,106.5
2013-05-24,112.35
2013-05-27,112.6
2013-05-28,112.0
2013-05-29,112.75
2013-05-30,106.25
2013-05-31,109.0
2013-06-03,108.0
2013-06-04,109.3
2013-06-05,106.9
2013-06-06,108.5
2013-06-07,106.45
2013-06-10,104.9
2013-06-11,103.2
2013-06-12,103.05
2013-06-13,103.0
2013-06-14,101.2
2013-06-17,102.5
2013-06-18,100.5
2013-06-19,102.1
2013-06-20,101.7
2013-06-21,100.5
2013-06-24,94.95
2013-06-25,94.85
2013-06-26,95.45
2013-06-27,92.75
2013-06-28,94.8
2013-07-01,97.5
2013-07-02,97.65
2013-07-03,95.85
2013-07-04,95.0
2013-07-05,97.6
2013-07-09,93.0
2013-07-10,93.0
2013-07-11,93.0
2013-07-12,93.0
2013-07-15,91.0
2013-07-16,93.0
2013-07-17,93.0
2013-07-18,93.0
2013-07-19,108.0
2013-07-22,115.0
2013-07-23,129.0
2013-07-25,103.5
2013-07-26,95.5
2013-07-29,93.5
2013-07-30,93.0
2013-07-31,90.5
2013-08-01,90.5
2013-08-02,91.5
2013-08-05,90.0
2013-08-06,85.0
2013-08-07,85.0
2013-08-08,85.0
2013-08-12,89.0
2013-08-13,96.9
2013-08-14,96.0
2013-08-16,86.4
2013-08-19,85.0
2013-08-22,80.0
2013-08-23,85.0
2013-08-27,84.75
2013-08-28,92.0
2013-08-29,88.6
2013-08-30,82.0
2013-09-02,80.0
2013-09-03,82.0
2013-09-04,82.0
2013-09-05,85.0
2013-09-06,82.0
2013-09-11,82.2
2013-09-12,84.1
