Date,WSTCSTPAPR
2013-01-01,107.05
2013-01-02,104.3
2013-01-03,104.15
2013-01-04,109.35
2013-01-07,110.05
2013-01-08,109.5
2013-01-09,110.05
2013-01-10,107.65
2013-01-11,102.35
2013-01-14,104.75
2013-01-15,101.6
2013-01-16,99.2
2013-01-17,100.1
2013-01-18,98.55
2013-01-21,96.05
2013-01-22,93.15
2013-01-23,89.6
2013-01-24,85.15
2013-01-25,86.2
2013-01-28,86.15
2013-01-29,83.2
2013-01-30,83.7
2013-01-31,87.85
2013-02-01,92.2
2013-02-04,90.15
2013-02-05,85.75
2013-02-06,86.05
2013-02-07,87.3
2013-02-08,85.75
2013-02-11,82.65
2013-02-12,80.1
2013-02-13,80.05
2013-02-14,78.4
2013-02-15,75.4
2013-02-18,79.15
2013-02-19,83.1
2013-02-20,83.05
2013-02-21,79.85
2013-02-22,79.55
2013-02-25,75.85
2013-02-26,72.1
2013-02-27,71.85
2013-02-28,68.3
2013-03-01,67.4
2013-03-04,64.25
2013-03-05,67.45
2013-03-06,66.25
2013-03-07,68.0
2013-03-08,69.0
2013-03-11,67.2
2013-03-12,67.4
2013-03-13,66.25
2013-03-14,63.95
2013-03-15,62.9
2013-03-18,62.95
2013-03-19,63.0
2013-03-20,61.3
2013-03-21,60.75
2013-03-22,58.8
2013-03-25,60.75
2013-03-26,59.25
2013-03-28,60.8
2013-04-01,63.6
2013-04-02,66.75
2013-04-03,69.4
2013-04-04,66.15
2013-04-05,63.45
2013-04-08,64.3
2013-04-09,62.4
2013-04-10,63.7
2013-04-11,62.2
2013-04-12,60.2
2013-04-15,62.15
2013-04-16,63.2
2013-04-17,63.4
2013-04-18,63.2
2013-04-22,63.35
2013-04-23,62.25
2013-04-25,62.35
2013-04-26,62.95
2013-04-29,62.5
2013-04-30,61.7
2013-05-02,63.85
2013-05-03,66.1
2013-05-06,65.25
2013-05-07,64.05
2013-05-08,65.2
2013-05-09,65.7
2013-05-10,65.7
2013-05-11,65.45
2013-05-13,62.45
2013-05-14,62.65
2013-05-15,65.05
2013-05-16,63.05
2013-05-17,63.3
2013-05-20,64.0
2013-05-21,64.3
2013-05-22,63.3
2013-05-23,60.9
2013-05-24,63.55
2013-05-27,65.9
2013-05-28,65.0
2013-05-29,65.25
2013-05-30,62.05
2013-05-31,57.35
