Date,APLAPOLLO
2013-01-01,171.2
2013-01-02,168.15
2013-01-03,169.8
2013-01-04,169.65
2013-01-07,167.9
2013-01-08,167.4
2013-01-09,166.75
2013-01-10,167.25
2013-01-11,168.1
2013-01-14,168.65
2013-01-15,169.8
2013-01-16,177.5
2013-01-17,173.95
2013-01-18,186.25
2013-01-21,190.45
2013-01-22,200.15
2013-01-23,206.25
2013-01-24,211.4
2013-01-25,213.55
2013-01-28,225.45
2013-01-29,217.75
2013-01-30,217.75
2013-01-31,221.95
2013-02-01,225.55
2013-02-04,222.0
2013-02-05,220.05
2013-02-06,219.0
2013-02-07,219.0
2013-02-08,219.95
2013-02-11,216.6
2013-02-12,213.2
2013-02-13,209.4
2013-02-14,209.0
2013-02-15,205.25
2013-02-18,202.75
2013-02-19,207.0
2013-02-20,204.5
2013-02-21,201.15
2013-02-22,202.5
2013-02-25,195.4
2013-02-26,194.75
2013-02-27,191.95
2013-02-28,185.5
2013-03-01,195.75
2013-03-04,185.6
2013-03-05,187.55
2013-03-06,182.25
2013-03-07,185.6
2013-03-08,183.2
2013-03-11,188.0
2013-03-12,189.1
2013-03-13,187.0
2013-03-14,185.85
2013-03-15,182.35
2013-03-18,181.35
2013-03-19,174.5
2013-03-20,170.4
2013-03-21,165.45
2013-03-22,167.95
2013-03-25,165.0
2013-03-26,167.7
2013-03-28,167.65
2013-04-01,170.0
2013-04-02,170.95
2013-04-03,167.45
2013-04-04,165.3
2013-04-05,164.8
2013-04-08,168.95
2013-04-09,163.95
2013-04-10,162.1
2013-04-11,163.95
2013-04-12,165.0
2013-04-15,165.15
2013-04-16,165.05
2013-04-17,165.0
2013-04-18,165.0
2013-04-22,175.8
2013-04-23,170.45
2013-04-25,170.05
2013-04-26,171.0
2013-04-29,167.45
2013-04-30,170.25
2013-05-02,192.9
2013-05-03,189.4
2013-05-06,191.8
2013-05-07,189.95
2013-05-08,189.4
2013-05-09,186.2
2013-05-10,189.55
2013-05-13,180.25
2013-05-14,176.0
2013-05-15,178.75
2013-05-16,175.7
2013-05-17,174.4
2013-05-20,175.9
2013-05-21,172.8
2013-05-22,172.4
2013-05-23,172.95
2013-05-24,170.0
2013-05-27,173.55
2013-05-28,179.5
2013-05-29,180.0
2013-05-30,178.6
2013-05-31,175.35
2013-06-03,174.85
2013-06-04,173.05
2013-06-05,170.0
2013-06-06,170.05
2013-06-07,170.45
2013-06-10,175.0
2013-06-11,169.95
2013-06-12,169.0
2013-06-13,162.4
2013-06-14,163.0
2013-06-17,168.05
2013-06-18,163.4
2013-06-19,163.35
2013-06-20,161.6
2013-06-21,159.4
2013-06-24,159.65
2013-06-25,154.95
2013-06-26,151.25
2013-06-27,154.2
2013-06-28,155.85
2013-07-01,165.6
2013-07-02,160.0
2013-07-03,157.7
2013-07-04,152.2
2013-07-05,162.3
2013-07-08,173.3
2013-07-09,179.85
2013-07-10,174.05
2013-07-11,171.5
2013-07-12,168.0
2013-07-15,174.95
2013-07-16,169.65
2013-07-17,164.8
2013-07-18,173.75
2013-07-19,171.3
2013-07-22,172.6
2013-07-23,171.0
2013-07-24,170.95
2013-07-25,163.35
2013-07-26,163.2
2013-07-29,161.0
2013-07-30,153.85
2013-07-31,152.25
2013-08-01,148.4
2013-08-02,155.15
2013-08-05,145.9
2013-08-06,142.4
2013-08-07,139.9
2013-08-08,139.85
2013-08-12,141.4
2013-08-13,140.7
2013-08-14,148.4
2013-08-16,141.75
2013-08-19,139.05
2013-08-20,142.0
2013-08-21,139.5
2013-08-22,137.3
2013-08-23,139.65
2013-08-26,142.85
2013-08-27,141.45
2013-08-28,140.0
2013-08-29,140.0
2013-08-30,136.15
2013-09-02,149.8
2013-09-03,137.55
2013-09-04,144.95
2013-09-05,140.5
2013-09-06,140.0
2013-09-10,156.7
2013-09-11,156.0
2013-09-12,156.45
2013-09-13,150.2
2013-09-16,150.0
2013-09-17,146.25
2013-09-18,151.8
2013-09-19,160.1
2013-09-20,163.3
2013-09-23,165.0
2013-09-24,159.45
2013-09-25,153.15
2013-09-26,164.7
2013-09-27,156.85
2013-09-30,155.3
2013-10-01,159.1
2013-10-03,154.0
2013-10-04,158.85
2013-10-07,150.3
2013-10-08,149.65
2013-10-09,149.95
2013-10-10,147.0
2013-10-11,144.9
2013-10-14,142.6
2013-10-15,140.0
2013-10-17,138.05
2013-10-18,144.45
2013-10-21,139.2
2013-10-22,142.9
2013-10-23,148.85
2013-10-24,140.1
2013-10-25,142.25
2013-10-28,144.0
2013-10-29,142.5
2013-10-30,147.85
2013-10-31,146.4
2013-11-01,146.85
2013-11-03,150.0
2013-11-05,152.5
2013-11-06,155.0
2013-11-07,153.2
2013-11-08,149.6
2013-11-11,143.35
2013-11-12,146.7
2013-11-13,147.95
2013-11-14,143.0
2013-11-18,140.0
2013-11-19,141.7
2013-11-20,143.4
2013-11-21,143.0
2013-11-22,143.0
2013-11-25,143.15
2013-11-26,143.6
2013-11-27,149.75
2013-11-28,148.55
2013-11-29,152.55
2013-12-02,151.55
2013-12-03,150.6
2013-12-04,150.0
2013-12-05,150.15
2013-12-06,149.4
2013-12-09,149.1
2013-12-10,142.65
2013-12-11,143.3
2013-12-12,145.0
2013-12-13,142.5
2013-12-16,145.9
2013-12-17,142.25
2013-12-18,144.25
2013-12-19,145.5
2013-12-20,143.4
2013-12-23,145.0
2013-12-24,139.0
2013-12-26,141.8
2013-12-27,141.8
2013-12-30,146.85
2013-12-31,144.05
2014-01-01,142.5
2014-01-02,141.85
2014-01-03,142.25
2014-01-06,146.7
2014-01-07,148.0
2014-01-08,150.2
2014-01-09,153.85
2014-01-10,149.95
2014-01-13,147.95
2014-01-14,151.05
2014-01-15,150.0
2014-01-16,155.1
2014-01-17,152.4
2014-01-20,148.0
2014-01-21,150.0
2014-01-22,148.0
2014-01-23,150.05
2014-01-24,147.2
2014-01-27,142.1
2014-01-28,143.25
2014-01-29,145.1
2014-01-30,146.4
2014-01-31,144.0
2014-02-03,142.75
2014-02-04,142.0
2014-02-05,141.45
2014-02-06,142.5
2014-02-07,141.85
2014-02-10,141.05
2014-02-11,142.0
