Date,PRESSMN
2013-06-14,15.05
2013-06-17,14.45
2013-06-18,15.1
2013-06-19,14.55
2013-06-20,14.1
2013-06-21,14.8
2013-06-24,14.5
2013-06-25,14.5
2013-06-26,14.55
2013-06-27,14.5
2013-06-28,14.7
2013-07-01,14.6
2013-07-02,15.3
2013-07-03,15.0
2013-07-04,15.2
2013-07-05,14.9
2013-07-08,15.0
2013-07-09,16.0
2013-07-10,16.1
2013-07-11,15.85
2013-07-12,16.2
2013-07-15,17.0
2013-07-16,16.95
2013-07-17,16.35
2013-07-18,16.15
2013-07-19,16.0
2013-07-22,15.45
2013-07-23,13.95
2013-07-24,13.3
2013-07-25,12.65
2013-07-26,12.05
2013-07-29,12.55
2013-07-30,12.0
2013-07-31,12.0
2013-08-01,12.45
2013-08-02,12.1
2013-08-05,11.7
2013-08-06,12.0
2013-08-08,12.0
2013-08-12,12.35
2013-08-13,12.9
2013-08-14,13.4
2013-08-16,12.9
2013-08-19,12.3
2013-08-21,11.95
2013-08-22,12.05
2013-08-23,11.5
2013-08-26,11.0
2013-08-27,11.2
2013-08-28,11.45
2013-08-29,11.0
2013-08-30,11.5
2013-09-02,12.0
2013-09-03,12.4
2013-09-04,12.8
2013-09-05,12.4
2013-09-06,12.4
2013-09-10,12.85
2013-09-11,12.45
2013-09-12,12.65
2013-09-13,13.05
2013-09-16,12.75
2013-09-17,13.1
2013-09-18,12.85
2013-09-19,12.6
2013-09-20,12.35
2013-09-23,12.55
2013-09-25,12.6
2013-09-26,12.7
2013-09-27,12.75
2013-09-30,12.15
2013-10-01,12.1
2013-10-03,12.5
2013-10-04,13.1
2013-10-07,13.75
2013-10-08,14.4
2013-10-09,15.1
2013-10-10,15.85
2013-10-11,16.6
2013-10-14,16.65
2013-10-15,16.95
2013-10-17,17.75
2013-10-18,18.6
2013-10-21,19.5
2013-10-22,20.45
2013-10-23,21.45
2013-10-24,22.5
2013-10-25,23.6
2013-10-28,24.6
2013-10-29,25.8
2013-10-30,27.05
2013-10-31,28.4
2013-11-01,28.55
2013-11-03,29.8
2013-11-05,28.35
2013-11-06,26.95
2013-11-07,25.65
2013-11-08,24.6
2014-03-03,19.1
2014-03-04,19.65
2014-03-05,19.8
2014-03-06,19.05
2014-03-07,19.9
2014-03-10,20.55
2014-03-11,20.45
2014-03-12,19.5
2014-03-13,21.0
2014-03-14,19.95
2014-03-18,19.55
2014-03-19,19.9
2014-03-20,19.45
2014-03-21,19.05
2014-03-22,19.75
2014-03-24,18.85
2014-03-25,19.4
2014-03-26,18.3
2014-03-27,18.9
2014-03-28,18.85
2014-03-31,18.5
2014-04-01,17.7
2014-04-02,18.0
2014-04-03,17.4
2014-04-04,17.65
2014-04-07,17.8
2014-04-09,17.6
2014-04-10,18.05
2014-04-11,18.0
2014-04-15,17.6
2014-04-16,19.0
2014-04-17,20.9
2014-04-21,22.95
2014-04-22,24.05
2014-04-23,23.45
2014-04-25,22.7
2014-04-28,22.65
2014-04-29,21.55
2014-04-30,20.5
2014-05-02,20.8
2014-05-05,19.8
2014-05-06,20.45
2014-05-07,20.0
2014-05-08,19.25
2014-05-09,18.95
2014-05-12,18.9
2014-05-13,19.7
2014-05-14,19.0
2014-05-15,18.8
2014-05-16,19.1
2014-05-19,19.15
2014-05-20,19.05
2014-05-21,19.0
2014-05-22,19.95
2014-05-23,19.15
2014-05-26,19.0
2014-05-27,19.1
2014-05-28,19.3
2014-05-29,19.3
2014-05-30,20.0
2014-06-02,20.0
2014-06-03,20.25
2014-06-04,20.7
2014-06-05,21.95
2014-06-06,23.05
2014-06-09,24.7
2014-06-10,24.95
2014-06-11,24.65
2014-06-12,25.4
2014-06-13,23.05
2014-06-16,21.7
2014-06-17,22.7
2014-06-18,23.1
2014-06-19,22.65
2014-06-20,22.35
2014-06-23,22.0
2014-06-24,23.0
2014-06-25,22.55
2014-06-26,22.1
2014-06-27,22.5
2014-06-30,21.9
2014-07-01,23.75
2014-07-02,22.7
2014-07-03,22.7
2014-07-04,22.25
2014-07-07,21.7
2014-07-08,21.0
2014-07-09,20.85
2014-07-10,20.55
2014-07-11,20.15
2014-07-14,20.1
2014-07-15,20.95
2014-07-16,20.3
2014-07-17,20.0
2014-07-18,20.45
2014-07-21,22.05
2014-07-22,22.4
2014-07-23,22.5
2014-07-24,22.65
2014-07-25,22.5
2014-07-28,22.35
2014-07-30,22.15
2014-07-31,22.4
2014-08-01,22.75
2014-08-04,21.9
2014-08-05,20.75
2014-08-06,21.0
2014-08-07,20.75
2014-08-08,20.85
2014-08-11,21.05
2014-08-12,21.95
2014-08-13,20.55
2014-08-14,20.3
2014-08-18,20.45
2014-08-19,20.6
2014-08-20,20.9
2014-08-21,21.8
2014-08-22,21.25
2014-08-25,21.2
2014-08-26,21.6
2014-08-27,20.3
2014-08-28,20.25
2014-09-01,19.8
2014-09-02,19.65
2014-09-03,20.0
2014-09-04,19.95
2014-09-05,20.0
2014-09-08,20.1
2014-09-09,20.15
2014-09-10,20.0
2014-09-11,20.4
2014-09-12,20.0
2014-09-15,20.0
2014-09-16,19.5
2014-09-17,19.45
2014-09-18,18.95
2014-09-19,18.95
2014-09-22,20.55
2014-09-23,20.25
2014-09-24,19.9
2014-09-25,19.5
2014-09-26,18.9
2014-09-29,19.05
2014-09-30,19.1
2014-10-01,18.9
2014-10-07,18.95
2014-10-08,18.5
2014-10-09,19.95
2014-10-10,20.6
2014-10-13,20.1
2014-10-14,20.85
2014-10-16,19.2
2014-10-17,18.9
2014-10-20,18.4
2014-10-21,19.15
2014-10-22,19.1
2014-10-23,19.35
2014-10-27,18.45
2014-10-28,19.0
2014-10-29,19.85
2014-10-30,19.65
2014-10-31,19.8
2014-11-03,18.75
2014-11-05,19.95
2014-11-07,23.85
2014-11-10,23.95
2014-11-11,23.05
2014-11-12,22.4
2014-11-13,21.65
2014-11-14,22.65
2014-11-17,22.35
2014-11-18,22.0
2014-11-19,21.25
2014-11-20,21.15
2014-11-21,22.05
2014-11-24,21.8
2014-11-25,21.75
2014-11-26,21.0
2014-11-27,20.55
2014-11-28,19.7
2014-12-01,19.85
2014-12-02,20.45
2014-12-03,20.2
2014-12-04,20.9
2014-12-05,25.05
2014-12-08,27.6
2014-12-09,27.35
2014-12-10,29.3
2014-12-11,31.4
2014-12-12,30.85
2014-12-15,30.35
2014-12-16,29.2
2014-12-17,28.4
2014-12-18,29.45
2014-12-19,29.65
2014-12-22,32.6
2014-12-23,35.85
2014-12-24,35.7
2014-12-26,34.75
2014-12-29,33.35
2014-12-30,34.2
2014-12-31,33.55
