Date,IDEA
2013-01-01,103.7
2013-01-02,104.55
2013-01-03,109.2
2013-01-04,109.75
2013-01-07,109.55
2013-01-08,111.2
2013-01-09,111.75
2013-01-10,111.15
2013-01-11,110.2
2013-01-14,113.05
2013-01-15,122.55
2013-01-16,117.2
2013-01-17,116.9
2013-01-18,117.3
2013-01-21,119.6
2013-01-22,117.75
2013-01-23,118.5
2013-01-24,114.2
2013-01-25,113.4
2013-01-28,112.85
2013-01-29,113.9
2013-01-30,113.3
2013-01-31,112.95
2013-02-01,111.95
2013-02-04,111.8
2013-02-05,111.45
2013-02-06,111.1
2013-02-07,108.0
2013-02-08,109.95
2013-02-11,109.7
2013-02-12,110.7
2013-02-13,110.5
2013-02-14,109.15
2013-02-15,109.65
2013-02-18,109.8
2013-02-19,109.55
2013-02-20,109.1
2013-02-21,109.25
2013-02-22,114.25
2013-02-25,113.65
2013-02-26,118.35
2013-02-27,118.4
2013-02-28,117.6
2013-03-01,116.15
2013-03-04,114.75
2013-03-05,113.7
2013-03-06,113.85
2013-03-07,113.4
2013-03-08,116.4
2013-03-11,117.9
2013-03-12,117.1
2013-03-13,115.2
2013-03-14,114.1
2013-03-15,112.2
2013-03-18,112.4
2013-03-19,110.8
2013-03-20,108.05
2013-03-21,107.95
2013-03-22,107.05
2013-03-25,108.6
2013-03-26,109.0
2013-03-28,113.9
2013-04-01,114.95
2013-04-02,112.35
2013-04-03,110.15
2013-04-04,105.9
2013-04-05,103.45
2013-04-08,106.85
2013-04-09,105.75
2013-04-10,108.55
2013-04-11,111.5
2013-04-12,110.75
2013-04-15,109.7
2013-04-16,112.2
2013-04-17,111.45
2013-04-18,112.45
2013-04-22,112.35
2013-04-23,114.9
2013-04-25,116.45
2013-04-26,122.4
2013-04-29,126.1
2013-04-30,132.75
2013-05-02,135.9
2013-05-03,134.7
2013-05-06,132.0
2013-05-07,132.15
2013-05-08,129.5
2013-05-09,126.75
2013-05-10,125.7
2013-05-11,127.45
2013-05-13,128.4
2013-05-14,129.7
2013-05-15,130.0
2013-05-16,129.95
2013-05-17,131.9
2013-05-20,129.75
2013-05-21,129.55
2013-05-22,130.85
2013-05-23,130.25
2013-05-24,129.05
2013-05-27,134.6
2013-05-28,136.2
2013-05-29,135.35
2013-05-30,133.5
2013-05-31,131.05
2013-06-03,130.0
2013-06-04,135.45
2013-06-05,136.1
2013-06-06,132.45
2013-06-07,128.5
2013-06-10,129.6
2013-06-11,130.85
2013-06-12,134.6
2013-06-13,135.35
2013-06-14,136.3
2013-06-17,139.7
2013-06-18,141.45
2013-06-19,148.1
2013-06-20,142.8
2013-06-21,139.85
2013-06-24,137.3
2013-06-25,142.75
2013-06-26,137.4
2013-06-27,139.85
2013-06-28,141.5
2013-07-01,144.15
2013-07-02,142.4
2013-07-03,141.0
2013-07-04,141.6
2013-07-05,137.5
2013-07-08,140.4
2013-07-09,141.35
2013-07-10,140.5
2013-07-11,141.1
2013-07-12,145.8
2013-07-15,154.0
2013-07-16,157.85
2013-07-17,150.8
2013-07-18,151.0
2013-07-19,150.5
2013-07-22,151.5
2013-07-23,149.4
