Date,JCHAC
2013-01-01,153.6
2013-01-02,152.0
2013-01-03,162.15
2013-01-04,158.9
2013-01-07,165.9
2013-01-08,164.55
2013-01-09,165.0
2013-01-10,162.85
2013-01-11,159.25
2013-01-14,160.1
2013-01-15,156.45
2013-01-16,157.7
2013-01-17,156.2
2013-01-18,157.1
2013-01-21,157.85
2013-01-22,152.5
2013-01-23,150.4
2013-01-24,143.35
2013-01-25,145.95
2013-01-28,147.1
2013-01-29,145.0
2013-01-30,142.75
2013-01-31,141.65
2013-02-01,140.7
2013-02-04,138.4
2013-02-05,135.2
2013-02-06,143.85
2013-02-07,139.8
2013-02-08,137.2
2013-02-11,137.0
2013-02-12,135.9
2013-02-13,137.1
2013-02-14,130.35
2013-02-15,133.9
2013-02-18,135.5
2013-02-19,135.85
2013-02-20,137.7
2013-02-21,133.55
2013-02-22,135.05
2013-02-25,136.15
2013-02-26,130.45
2013-02-27,130.9
2013-02-28,130.6
2013-03-01,129.8
2013-03-04,126.3
2013-03-05,128.05
2013-03-06,129.1
2013-03-07,126.7
2013-03-08,127.5
2013-03-11,130.8
2013-03-12,130.75
2013-03-13,128.85
2013-03-14,130.05
2013-03-15,129.6
2013-03-18,130.05
2013-03-19,128.95
2013-03-20,125.7
2013-03-21,132.0
2013-03-22,134.85
2013-03-25,132.0
2013-03-26,130.1
2013-03-28,129.25
2013-04-01,130.45
2013-04-02,129.6
2013-04-03,127.35
2013-04-04,126.25
2013-04-05,124.4
2013-04-08,121.15
2013-04-09,118.4
2013-04-10,116.65
2013-04-11,120.55
2013-04-12,121.7
2013-04-15,123.65
2013-04-16,124.1
2013-04-17,122.15
2013-04-18,123.65
2013-04-22,126.25
2013-04-23,127.6
2013-04-25,127.45
2013-04-26,128.1
2013-04-29,132.25
2013-04-30,133.65
2013-05-02,135.3
2013-05-03,133.1
2013-05-06,132.0
2013-05-07,139.6
2013-05-08,144.65
2013-05-09,146.55
2013-05-10,152.25
2013-05-11,155.2
2013-05-13,151.35
2013-05-14,152.65
2013-05-15,154.95
2013-05-16,151.05
2013-05-17,153.8
2013-05-20,151.85
2013-05-21,149.75
2013-05-22,151.7
2013-05-23,144.85
2013-05-24,143.2
2013-05-27,147.2
2013-05-28,145.3
2013-05-29,145.1
2013-05-30,145.95
2013-05-31,142.1
2013-06-03,141.35
2013-06-04,142.3
2013-06-05,143.85
2013-06-06,140.15
2013-06-07,140.0
2013-06-10,135.25
2013-06-11,134.35
2013-06-12,132.25
2013-06-13,130.8
2013-06-14,130.3
2013-06-17,131.4
2013-06-18,128.0
2013-06-19,133.75
2013-06-20,128.05
2013-06-21,127.35
2013-06-24,125.0
2013-06-25,123.15
2013-06-26,126.05
2013-06-27,126.15
2013-06-28,125.5
2013-07-01,124.9
2013-07-02,124.0
2013-07-03,121.8
2013-07-04,121.05
2013-07-05,121.0
2013-07-08,120.1
2013-07-09,124.35
2013-07-10,123.1
2013-07-11,124.25
2013-07-12,123.55
2013-07-15,124.2
2013-07-16,123.75
2013-07-17,122.65
2013-07-18,123.3
2013-07-19,117.7
2013-07-22,117.05
2013-07-23,120.05
2013-07-24,118.7
2013-07-25,117.45
2013-07-26,117.05
2013-07-29,115.85
2013-07-30,113.3
2013-07-31,108.65
2013-08-01,106.5
2013-08-02,101.95
2013-08-05,103.85
2013-08-06,101.05
2013-08-07,107.1
2013-08-08,106.85
2013-08-12,108.55
2013-08-13,108.45
2013-08-14,110.35
2013-08-16,105.65
2013-08-19,103.0
2013-08-20,103.95
2013-08-21,102.15
2013-08-22,113.05
2013-08-23,120.15
2013-08-26,115.5
2013-08-27,109.8
2013-08-28,104.95
2013-08-29,104.45
2013-08-30,106.75
2013-09-02,109.15
2013-09-03,105.1
2013-09-04,105.45
2013-09-05,106.3
2013-09-06,106.25
2013-09-10,109.85
2013-09-11,112.95
2013-09-12,115.55
2013-09-13,115.5
2013-09-16,114.0
2013-09-17,113.4
2013-09-18,114.7
2013-09-19,114.3
2013-09-20,114.05
2013-09-23,114.1
2013-09-24,112.75
2013-09-25,110.75
2013-09-26,113.45
2013-09-27,113.3
2013-09-30,112.45
2013-10-01,113.75
2013-10-03,111.95
2013-10-04,113.3
2013-10-07,114.25
2013-10-08,112.3
2013-10-09,112.3
2013-10-10,113.4
2013-10-11,115.4
2013-10-14,114.8
2013-10-15,113.5
2013-10-17,120.7
2013-10-18,121.85
2013-10-21,118.95
2013-10-22,118.15
2013-10-23,116.05
2013-10-24,116.65
2013-10-25,113.9
2013-10-28,111.8
2013-10-29,106.75
2013-10-30,107.2
2013-10-31,106.15
2013-11-01,107.4
2013-11-03,109.15
2013-11-05,108.0
2013-11-06,109.1
2013-11-07,109.8
2013-11-08,107.0
2013-11-11,106.85
2013-11-12,105.9
2013-11-13,103.25
2013-11-14,102.85
2013-11-18,104.8
2013-11-19,107.45
2013-11-20,107.55
2013-11-21,106.75
2013-11-22,107.6
2013-11-25,113.2
2013-11-26,115.65
2013-11-27,115.05
2013-11-28,116.95
2013-11-29,115.45
