Date,SHREYAS
2013-01-01,28.55
2013-01-02,28.0
2013-01-03,28.5
2013-01-04,28.95
2013-01-07,30.05
2013-01-08,29.45
2013-01-09,31.4
2013-01-10,30.9
2013-01-11,29.1
2013-01-14,31.25
2013-01-15,30.85
2013-01-16,29.55
2013-01-17,29.4
2013-01-18,29.25
2013-01-21,28.85
2013-01-22,28.95
2013-01-23,28.95
2013-01-24,27.8
2013-01-25,27.35
2013-01-28,27.45
2013-01-29,27.25
2013-01-30,27.45
2013-01-31,28.15
2013-02-01,27.45
2013-02-04,26.3
2013-02-05,27.7
2013-02-06,26.55
2013-02-07,26.7
2013-02-08,27.25
2013-02-11,27.05
2013-02-12,27.6
2013-02-13,27.5
2013-02-14,26.45
2013-02-15,27.4
2013-02-18,28.0
2013-02-19,27.6
2013-02-20,27.95
2013-02-21,26.95
2013-02-22,27.6
2013-02-25,26.5
2013-02-26,26.25
2013-02-27,26.95
2013-02-28,26.05
2013-03-01,25.7
2013-03-04,24.5
2013-03-05,24.8
2013-03-06,24.85
2013-03-07,25.5
2013-03-08,25.2
2013-03-11,25.2
2013-03-12,24.45
2013-03-13,24.4
2013-03-14,25.8
2013-03-15,26.6
2013-03-18,28.3
2013-03-19,27.9
2013-03-20,27.3
2013-03-21,26.15
2013-03-22,27.3
2013-03-25,26.85
2013-03-26,26.9
2013-03-28,27.55
2013-04-01,29.95
2013-04-02,30.8
2013-04-03,30.95
2013-04-04,30.0
2013-04-05,30.55
2013-04-08,30.85
2013-04-09,30.05
2013-04-10,29.5
2013-04-11,30.0
2013-04-12,30.65
2013-04-15,30.5
2013-04-16,29.3
2013-04-17,29.1
2013-04-18,29.8
2013-04-22,28.35
2013-04-23,28.0
2013-04-25,28.05
2013-04-26,27.55
2013-04-29,29.45
2013-04-30,29.4
2013-05-02,29.5
2013-05-03,29.55
2013-05-06,28.6
2013-05-07,30.6
2013-05-08,30.1
2013-05-09,29.65
2013-05-10,29.85
2013-05-11,29.85
2013-05-13,29.15
2013-05-14,29.0
2013-05-15,29.9
2013-05-16,29.05
2013-05-17,29.6
2013-05-20,29.35
2013-05-21,29.15
2013-05-22,28.4
2013-05-23,28.55
2013-05-24,28.95
2013-05-27,30.4
2013-05-28,31.35
2013-05-29,30.6
2013-05-30,29.8
2013-05-31,29.9
2013-06-03,31.0
2013-06-04,29.5
2013-06-05,28.35
2013-06-06,29.45
2013-06-07,29.0
2013-06-10,27.95
2013-06-11,28.2
2013-06-12,27.85
2013-06-13,28.1
2013-06-14,28.5
2013-06-17,28.55
2013-06-18,27.6
2013-06-19,27.05
2013-06-20,27.0
2013-06-21,25.6
2013-06-24,25.9
2013-06-25,25.15
2013-06-26,24.3
2013-06-27,25.2
2013-06-28,25.65
2013-07-01,25.4
2013-07-02,24.5
2013-07-03,24.25
2013-07-04,24.15
2013-07-05,24.15
2013-07-10,23.0
2013-07-11,21.7
2013-07-12,22.7
2013-07-15,20.55
2013-07-17,20.25
2013-07-22,22.0
2013-07-23,21.0
2013-07-24,22.0
2013-07-26,21.5
2013-07-31,21.9
2013-08-01,25.0
2013-08-02,20.0
2013-08-05,19.0
2013-08-06,19.0
2013-08-07,19.0
2013-08-08,18.65
2013-08-12,20.0
2013-08-13,20.0
2013-08-14,20.0
2013-08-19,19.3
2013-08-21,19.6
2013-08-22,19.6
2013-08-26,20.1
2013-08-28,20.5
2013-09-13,20.8
2013-09-26,21.8
2013-09-30,21.25
2013-10-03,20.95
2013-10-04,20.0
2013-10-09,20.0
2013-10-11,20.2
2013-10-14,20.0
2013-10-15,20.0
2013-10-17,19.05
2013-10-21,18.75
2013-10-22,18.15
2013-10-23,19.0
2013-10-24,18.4
2013-10-25,18.85
2013-10-28,18.0
2013-10-29,18.65
2013-10-30,18.5
2013-10-31,18.85
2013-11-01,18.5
2013-11-05,18.25
2013-11-06,19.5
2013-11-07,19.65
2013-11-08,20.6
2013-11-11,20.6
2013-11-12,21.0
2013-11-13,20.35
2013-11-14,21.35
2013-11-18,22.05
2013-11-19,22.0
2013-11-20,22.0
2013-11-25,21.9
2013-11-28,20.85
2013-11-29,20.9
2013-12-02,21.85
2013-12-03,21.5
2013-12-04,22.25
2013-12-06,21.15
2013-12-09,20.1
2013-12-10,19.7
2013-12-11,19.3
2013-12-13,18.7
2013-12-16,19.2
2013-12-17,18.95
2013-12-18,18.5
2013-12-19,18.0
2013-12-20,18.9
2013-12-23,19.7
