Date,RTNPOWER
2013-01-01,14.75
2013-01-02,14.9
2013-01-03,15.7
2013-01-04,15.5
2013-01-07,15.35
2013-01-08,15.1
2013-01-09,14.75
2013-01-10,14.15
2013-01-11,13.25
2013-01-14,14.0
2013-01-15,13.6
2013-01-16,13.4
2013-01-17,13.5
2013-01-18,13.6
2013-01-21,13.65
2013-01-22,13.55
2013-01-23,13.15
2013-01-24,12.55
2013-01-25,12.8
2013-01-28,12.95
2013-01-29,12.9
2013-01-30,12.75
2013-01-31,12.6
2013-02-01,12.6
2013-02-04,12.4
2013-02-05,12.3
2013-02-06,12.4
2013-02-07,12.05
2013-02-08,11.9
2013-02-11,11.8
2013-02-12,11.65
2013-02-13,11.5
2013-02-14,11.35
2013-02-15,11.15
2013-02-18,11.35
2013-02-19,11.9
2013-02-20,11.65
2013-02-21,11.45
2013-02-22,11.3
2013-02-25,11.0
2013-02-26,10.65
2013-02-27,10.7
2013-02-28,10.1
2013-03-01,10.05
2013-03-04,9.4
2013-03-05,9.65
2013-03-06,10.25
2013-03-07,10.4
2013-03-08,10.7
2013-03-11,10.75
2013-03-12,11.1
2013-03-13,10.6
2013-03-14,10.65
2013-03-15,10.5
2013-03-18,10.15
2013-03-19,9.95
2013-03-20,9.2
2013-03-21,9.15
2013-03-22,9.1
2013-03-25,8.8
2013-03-26,8.45
2013-03-28,8.25
2013-04-01,9.35
2013-04-02,9.4
2013-04-03,9.25
2013-04-04,8.8
2013-04-05,8.9
2013-04-08,8.9
2013-04-09,8.6
2013-04-10,8.7
2013-04-11,8.7
2013-04-12,8.55
2013-04-15,8.6
2013-04-16,8.8
2013-04-17,8.75
2013-04-18,8.8
2013-04-22,9.2
2013-04-23,9.05
2013-04-25,8.95
2013-04-26,8.75
2013-04-29,8.8
2013-04-30,8.4
2013-05-02,8.55
2013-05-03,8.55
2013-05-06,8.65
2013-05-07,9.2
2013-05-08,9.1
2013-05-09,8.95
2013-05-10,8.95
2013-05-11,8.95
2013-05-13,8.55
2013-05-14,8.6
2013-05-15,8.75
2013-05-16,8.6
2013-05-17,9.25
2013-05-20,8.95
2013-05-21,8.8
2013-05-22,8.55
2013-05-23,8.2
2013-05-24,8.4
2013-05-27,8.4
2013-05-28,8.35
2013-05-29,8.2
2013-05-30,8.15
2013-05-31,7.9
2013-06-03,7.8
2013-06-04,7.85
2013-06-05,7.9
2013-06-06,7.85
2013-06-07,7.75
2013-06-10,7.8
2013-06-11,7.45
2013-06-12,7.3
2013-06-13,7.1
2013-06-14,7.45
2013-06-17,7.45
2013-06-18,7.4
2013-06-19,7.55
2013-06-20,7.3
2013-06-21,7.3
2013-06-24,6.95
2013-06-25,6.8
2013-06-26,6.6
2013-06-27,6.45
2013-06-28,6.85
2013-07-01,7.4
2013-07-02,7.55
2013-07-03,7.25
2013-07-04,7.25
2013-07-05,7.15
2013-07-08,7.1
2013-07-09,7.4
2013-07-10,7.25
2013-07-11,7.35
2013-07-12,7.25
2013-07-15,7.45
2013-07-16,7.3
2013-07-17,7.25
2013-07-18,7.2
2013-07-19,7.1
2013-07-22,6.95
2013-07-23,6.9
2013-07-24,6.8
2013-07-25,6.65
2013-07-26,6.6
2013-07-29,6.45
2013-07-30,6.2
2013-07-31,5.85
2013-08-01,5.65
2013-08-02,5.4
2013-08-05,5.6
2013-08-06,5.45
2013-08-07,5.65
2013-08-08,5.95
2013-08-12,6.15
2013-08-13,6.25
2013-08-14,6.2
2013-08-16,5.8
2013-08-19,5.8
2013-08-20,6.1
2013-08-21,5.7
2013-08-22,5.85
2013-08-23,5.85
2013-08-26,6.0
2013-08-27,5.8
2013-08-28,5.75
2013-08-29,5.8
2013-08-30,5.8
2013-09-02,5.9
2013-09-03,5.65
2013-09-04,5.8
2013-09-05,5.95
2013-09-06,6.05
2013-09-10,7.15
2013-09-11,7.35
2013-09-12,6.8
2013-09-13,7.05
2013-09-16,6.95
2013-09-17,6.85
2013-09-18,6.85
2013-09-19,7.0
2013-09-20,6.7
2013-09-23,6.65
2013-09-24,6.75
2013-09-25,6.7
2013-09-26,6.65
2013-09-27,6.5
2013-09-30,6.4
2013-10-01,6.35
2013-10-03,6.35
2013-10-04,6.2
2013-10-07,6.2
2013-10-08,6.65
2013-10-09,6.75
