Date,GLOBALVECT
2013-03-01,14.5
2013-03-04,13.8
2013-03-05,13.7
2013-03-06,14.0
2013-03-07,15.3
2013-03-08,15.85
2013-03-11,17.2
2013-03-12,17.0
2013-03-13,16.45
2013-03-14,15.6
2013-03-15,14.1
2013-03-18,12.7
2013-03-19,13.3
2013-03-20,12.8
2013-03-21,12.45
2013-03-22,11.85
2013-03-25,12.4
2013-03-26,11.9
2013-03-28,12.1
2013-04-01,12.25
2013-04-02,12.7
2013-04-03,12.95
2013-04-04,13.55
2013-04-05,14.2
2013-04-10,14.0
2013-07-03,12.0
2013-08-02,11.4
2013-08-07,11.9
2013-08-12,11.35
2013-08-13,10.8
2013-08-14,10.35
2013-08-16,9.85
2013-08-19,10.25
2013-08-21,9.75
2013-08-22,9.3
2013-08-23,9.75
2013-08-29,9.3
2013-09-02,9.5
2013-09-05,9.1
2013-09-11,9.55
2013-09-12,9.15
2013-09-13,9.2
2013-09-16,9.2
2013-09-17,9.65
2013-09-19,10.1
2013-09-23,10.6
2013-09-24,11.0
2013-09-26,11.4
2013-10-22,10.85
2013-10-25,10.4
2013-10-31,10.0
2013-11-03,10.0
2013-11-08,10.0
2013-11-19,10.0
2013-12-03,10.0
2013-12-05,9.5
2013-12-06,9.95
2013-12-09,9.9
2013-12-12,10.35
2013-12-24,9.85
2013-12-26,9.4
2013-12-27,9.85
2013-12-30,9.9
2013-12-31,10.3
2014-01-01,10.5
2014-01-07,10.5
2014-01-09,10.7
2014-01-13,10.7
2014-01-14,10.5
2014-01-15,10.4
2014-01-16,9.9
2014-01-17,10.15
2014-01-20,10.1
2014-01-21,9.7
2014-01-22,9.55
2014-01-23,9.6
2014-01-24,9.95
2014-01-27,10.25
2014-01-28,10.2
2014-01-30,10.4
2014-01-31,10.45
2014-02-03,10.45
2014-02-04,9.95
2014-02-05,9.5
2014-02-06,9.3
2014-02-07,9.15
2014-02-10,9.15
2014-02-11,9.35
2014-02-12,9.8
2014-02-13,10.25
2014-02-14,10.75
2014-02-17,11.25
2014-02-18,11.8
2014-02-19,12.35
2014-02-20,12.95
2014-02-21,13.55
2014-02-24,14.2
2014-02-25,14.9
2014-02-26,15.6
2014-02-28,16.35
2014-03-03,17.15
2014-03-04,18.0
2014-03-05,18.9
2014-03-06,19.8
2014-03-07,18.85
2014-03-10,17.95
2014-03-11,17.1
2014-03-12,16.6
2014-03-13,17.4
2014-03-14,17.9
2014-03-18,17.1
2014-03-19,16.45
2014-03-20,16.4
2014-03-21,15.7
2014-03-22,16.45
2014-03-24,16.25
2014-03-25,15.45
2014-03-26,15.25
2014-03-27,15.65
2014-03-28,16.3
2014-03-31,16.4
2014-04-01,16.6
2014-04-02,17.35
2014-04-03,17.65
2014-04-04,17.95
2014-04-07,17.45
2014-04-09,17.85
2014-04-10,17.25
2014-04-11,17.7
2014-04-15,16.95
2014-04-16,17.05
2014-04-17,17.0
2014-04-21,16.8
2014-04-22,16.9
2014-04-23,16.5
2014-04-25,16.0
2014-04-28,16.3
2014-04-29,16.55
2014-04-30,16.7
2014-05-02,16.75
2014-05-05,17.35
2014-05-06,18.15
2014-05-07,17.65
2014-05-08,17.2
2014-05-09,17.65
2014-05-12,17.2
2014-05-13,17.7
2014-05-14,17.45
2014-05-15,16.6
2014-05-16,16.2
2014-05-19,16.55
2014-05-20,17.95
2014-05-21,19.35
2014-05-22,19.0
2014-05-23,20.9
2014-05-26,21.75
2014-05-27,21.7
2014-05-28,21.7
2014-05-29,21.05
2014-05-30,21.25
2014-06-02,22.3
2014-06-03,23.1
2014-06-04,22.5
2014-06-05,23.6
2014-06-06,23.5
2014-06-09,24.65
2014-06-10,25.85
2014-06-11,27.1
2014-06-12,28.35
2014-06-13,27.55
2014-06-16,27.1
2014-06-17,26.4
2014-06-18,27.7
2014-06-19,29.05
2014-06-20,30.5
2014-06-23,32.0
2014-06-24,33.6
2014-06-25,35.25
2014-06-26,37.0
2014-06-27,38.85
2014-08-06,42.8
2014-08-07,40.85
2014-08-08,40.0
2014-08-11,42.0
2014-08-12,40.05
2014-08-13,38.05
2014-08-14,38.95
2014-08-18,40.85
2014-08-19,42.85
2014-08-20,44.95
2014-08-21,47.15
2014-08-22,49.5
2014-08-25,51.95
2014-08-26,54.5
2014-08-27,57.2
2014-08-28,60.05
