Date,JAICORPLTD
2013-01-01,69.15
2013-01-02,71.25
2013-01-03,81.85
2013-01-04,82.6
2013-01-07,82.9
2013-01-08,84.9
2013-01-09,85.3
2013-01-10,82.65
2013-01-11,78.8
2013-01-14,78.75
2013-01-15,83.25
2013-01-16,80.55
2013-01-17,83.1
2013-01-18,81.75
2013-01-21,81.8
2013-01-22,78.95
2013-01-23,76.65
2013-01-24,71.55
2013-01-25,74.4
2013-01-28,76.8
2013-01-29,74.35
2013-01-30,74.35
2013-01-31,73.2
2013-02-01,76.9
2013-02-04,73.75
2013-02-05,71.15
2013-02-06,69.8
2013-02-07,66.15
2013-02-08,65.3
2013-02-11,65.9
2013-02-12,66.0
2013-02-13,67.0
2013-02-14,63.6
2013-02-15,64.3
2013-02-18,65.5
2013-02-19,67.05
2013-02-20,71.15
2013-02-21,69.15
2013-02-22,69.5
2013-02-25,66.0
2013-02-26,63.8
2013-02-27,63.75
2013-02-28,60.25
2013-03-01,59.35
2013-03-04,54.9
2013-03-05,57.25
2013-03-06,60.15
2013-03-07,60.4
2013-03-08,62.9
2013-03-11,63.55
2013-03-12,61.35
2013-03-13,60.4
2013-03-14,62.05
2013-03-15,60.15
2013-03-18,59.05
2013-03-19,56.15
2013-03-20,53.85
2013-03-21,50.95
2013-03-22,48.9
2013-03-25,50.15
2013-03-26,48.35
2013-03-28,50.45
2013-04-01,53.1
2013-04-02,62.5
2013-04-03,59.25
2013-04-04,56.15
2013-04-05,57.6
2013-04-08,58.15
2013-04-09,56.15
2013-04-10,56.9
2013-04-11,57.9
2013-04-12,57.05
2013-04-15,60.85
2013-04-16,61.3
2013-04-17,61.65
2013-04-18,64.1
2013-04-22,67.0
2013-04-23,65.55
2013-04-25,67.05
2013-04-26,64.9
2013-04-29,65.15
2013-04-30,63.95
2013-05-02,65.6
2013-05-03,65.05
2013-05-06,66.75
2013-05-07,67.0
2013-05-08,66.85
2013-05-09,66.75
2013-05-10,66.45
2013-05-11,68.25
2013-05-13,65.5
2013-05-14,64.1
2013-05-15,66.05
2013-05-16,67.2
2013-05-17,66.6
2013-05-20,67.25
2013-05-21,65.65
2013-05-22,63.55
2013-05-23,61.45
2013-05-24,61.1
2013-05-27,62.0
2013-05-28,60.85
2013-05-29,59.75
2013-05-30,58.4
2013-05-31,55.45
2013-06-03,54.2
2013-06-04,53.85
2013-06-05,54.5
2013-06-06,55.35
2013-06-07,56.45
2013-06-10,54.65
2013-06-11,51.85
2013-06-12,52.55
2013-06-13,49.1
2013-06-14,50.1
2013-06-17,51.1
2013-06-18,50.55
2013-06-19,51.7
2013-06-20,49.25
2013-06-21,48.05
2013-06-24,43.05
2013-06-25,44.5
2013-06-26,43.75
2013-06-27,43.95
2013-06-28,46.15
2013-07-01,49.2
2013-07-02,48.3
2013-07-03,46.0
2013-07-04,47.0
2013-07-05,47.2
2013-07-08,46.5
2013-07-09,47.05
2013-07-10,47.2
2013-07-11,48.25
2013-07-12,47.7
2013-07-15,48.5
2013-07-16,47.05
2013-07-17,45.65
2013-07-18,46.0
2013-07-19,45.2
2013-07-22,44.9
