Date,YESBANK
2013-01-01,477.0
2013-01-02,487.85
2013-01-03,492.2
2013-01-04,489.05
2013-01-07,498.25
2013-01-08,499.65
2013-01-09,504.2
2013-01-10,515.45
2013-01-11,498.4
2013-01-14,506.5
2013-01-15,527.95
2013-01-16,518.05
2013-01-17,523.9
2013-01-18,517.0
2013-01-21,511.7
2013-01-22,508.9
2013-01-23,514.45
2013-01-24,507.8
2013-01-25,504.25
2013-01-28,523.55
2013-01-29,511.45
2013-01-30,520.0
2013-01-31,522.15
2013-02-01,532.35
2013-02-04,524.8
2013-02-05,513.9
2013-02-06,511.4
2013-02-07,507.9
2013-02-08,509.65
2013-02-11,516.7
2013-02-12,522.15
2013-02-13,512.25
2013-02-14,501.45
2013-02-15,501.95
2013-02-18,501.4
2013-02-19,505.05
2013-02-20,509.2
2013-02-21,486.95
2013-02-22,490.1
2013-02-25,479.3
2013-02-26,472.15
2013-02-27,490.55
2013-02-28,472.0
2013-03-01,473.0
2013-03-04,474.95
2013-03-05,480.05
2013-03-06,481.75
2013-03-07,485.05
2013-03-08,485.85
2013-03-11,493.75
2013-03-12,492.0
2013-03-13,482.4
2013-03-14,484.75
2013-03-15,473.7
2013-03-18,459.4
2013-03-19,438.8
2013-03-20,431.2
2013-03-21,432.1
2013-03-22,440.5
2013-03-25,435.15
2013-03-26,425.3
2013-03-28,428.9
2013-04-01,432.3
2013-04-02,449.55
2013-04-03,435.45
2013-04-04,426.85
2013-04-05,425.65
2013-04-08,425.35
2013-04-09,424.55
2013-04-10,428.45
2013-04-11,436.85
2013-04-12,442.55
2013-04-15,457.9
2013-04-16,468.9
2013-04-17,479.4
2013-04-18,491.25
2013-04-22,494.35
2013-04-23,495.2
2013-04-25,503.8
2013-04-26,497.75
2013-04-29,504.95
2013-04-30,501.65
2013-05-02,504.6
2013-05-03,497.5
2013-05-06,496.4
2013-05-07,508.25
2013-05-08,506.7
2013-05-09,502.85
2013-05-10,510.0
2013-05-11,512.55
2013-05-13,502.85
2013-05-14,507.65
2013-05-15,527.85
2013-05-16,542.55
2013-05-17,542.75
2013-05-20,529.9
2013-05-21,515.25
2013-05-22,509.85
2013-05-23,496.7
2013-05-24,505.0
2013-05-27,518.65
2013-05-28,515.45
2013-05-29,502.9
2013-05-30,500.0
2013-05-31,487.3
2013-06-03,502.7
2013-06-04,492.3
2013-06-05,499.7
2013-06-06,507.6
2013-06-07,502.6
2013-06-10,490.5
2013-06-11,471.95
2013-06-12,468.75
2013-06-13,456.75
2013-06-14,478.65
2013-06-17,483.95
2013-06-18,475.15
2013-06-19,478.2
2013-06-20,459.5
2013-06-21,452.75
2013-06-24,440.9
2013-06-25,447.65
2013-06-26,448.45
2013-06-27,443.3
2013-06-28,461.1
2013-07-01,470.15
2013-07-02,468.45
2013-07-03,463.35
2013-07-04,470.2
2013-07-05,465.3
2013-07-08,466.8
2013-07-09,478.65
2013-07-10,476.2
2013-07-11,486.55
2013-07-12,490.45
2013-07-15,500.35
2013-07-16,450.95
2013-07-17,426.85
2013-07-18,440.45
2013-07-19,424.6
2013-07-22,423.9
2013-07-23,438.65
2013-07-24,383.35
2013-07-25,373.7
2013-07-26,367.1
2013-07-29,363.45
2013-07-30,348.7
2013-07-31,324.0
2013-08-01,327.65
2013-08-02,308.7
2013-08-05,299.6
2013-08-06,275.15
2013-08-07,293.6
2013-08-08,283.05
2013-08-12,301.2
2013-08-13,309.7
2013-08-14,291.45
2013-08-16,258.3
2013-08-19,241.5
2013-08-20,242.8
2013-08-21,255.05
2013-08-22,242.5
2013-08-23,259.25
2013-08-26,261.2
2013-08-27,235.8
2013-08-28,225.85
2013-08-29,232.5
2013-08-30,243.35
2013-09-02,252.95
2013-09-03,229.1
2013-09-04,236.05
2013-09-05,287.5
2013-09-06,292.95
2013-09-10,306.9
2013-09-11,303.75
2013-09-12,281.2
2013-09-13,281.2
2013-09-16,291.7
2013-09-17,300.9
2013-09-18,315.85
2013-09-19,386.7
2013-09-20,356.05
2013-09-23,327.3
2013-09-24,318.9
2013-09-25,314.1
2013-09-26,315.8
2013-09-27,304.6
2013-09-30,287.35
2013-10-01,294.9
2013-10-03,310.65
2013-10-04,315.35
2013-10-07,315.55
2013-10-08,328.95
2013-10-09,340.75
2013-10-10,342.25
2013-10-11,347.55
2013-10-14,348.65
2013-10-15,331.1
2013-10-17,335.8
2013-10-18,346.3
2013-10-21,358.65
2013-10-22,372.0
2013-10-23,374.0
2013-10-24,362.7
2013-10-25,355.5
2013-10-28,347.4
2013-10-29,371.4
2013-10-30,372.35
2013-10-31,368.8
2013-11-01,378.1
2013-11-03,378.85
2013-11-05,375.85
2013-11-06,368.4
2013-11-07,360.75
2013-11-08,354.25
2013-11-11,333.45
2013-11-12,328.95
2013-11-13,331.6
2013-11-14,351.25
2013-11-18,362.8
2013-11-19,363.6
2013-11-20,365.45
2013-11-21,354.4
2013-11-22,344.25
2013-11-25,350.85
2013-11-26,362.05
2013-11-27,355.95
2013-11-28,364.2
2013-11-29,368.65
2013-12-02,375.6
2013-12-03,371.55
2013-12-04,370.5
2013-12-05,395.05
2013-12-06,391.9
2013-12-09,395.05
2013-12-10,383.35
2013-12-11,386.5
2013-12-12,380.5
2013-12-13,365.6
2013-12-16,362.6
2013-12-17,363.75
2013-12-18,375.5
2013-12-19,364.5
2013-12-20,370.45
2013-12-23,379.55
2013-12-24,375.85
2013-12-26,371.2
2013-12-27,373.8
2013-12-30,368.5
2013-12-31,370.2
2014-01-01,374.45
2014-01-02,362.15
2014-01-03,369.8
2014-01-06,366.4
2014-01-07,365.15
2014-01-08,356.4
2014-01-09,350.15
2014-01-10,343.0
2014-01-13,338.75
2014-01-14,346.6
2014-01-15,353.05
2014-01-16,356.55
2014-01-17,351.15
2014-01-20,359.4
2014-01-21,363.2
2014-01-22,361.45
2014-01-23,357.5
2014-01-24,348.05
