Date,LOVABLE
2013-01-01,363.3
2013-01-02,371.7
2013-01-03,373.15
2013-01-04,373.65
2013-01-07,369.95
2013-01-08,368.7
2013-01-09,367.25
2013-01-10,361.5
2013-01-11,354.8
2013-01-14,364.25
2013-01-15,361.6
2013-01-16,353.45
2013-01-17,353.55
2013-01-18,351.1
2013-01-21,349.4
2013-01-22,350.2
2013-01-23,341.2
2013-01-24,330.05
2013-01-25,335.0
2013-01-28,335.35
2013-01-29,328.8
2013-01-30,328.4
2013-01-31,324.1
2013-02-01,323.3
2013-02-04,315.7
2013-02-05,312.3
2013-02-06,311.3
2013-02-07,307.2
2013-02-08,305.75
2013-02-11,306.0
2013-02-12,320.4
2013-02-13,308.4
2013-02-14,297.35
2013-02-15,286.75
2013-02-18,293.0
2013-02-19,296.9
2013-02-20,297.2
2013-02-21,286.8
2013-02-22,282.8
2013-02-25,270.25
2013-02-26,243.15
2013-02-27,232.55
2013-02-28,231.15
2013-03-01,240.0
2013-03-04,245.35
2013-03-05,251.55
2013-03-06,252.0
2013-03-07,274.05
2013-03-08,274.2
2013-03-11,279.95
2013-03-12,278.6
2013-03-13,272.2
2013-03-14,271.65
2013-03-15,271.35
2013-03-18,264.85
2013-03-19,255.65
2013-03-20,250.2
2013-03-21,249.65
2013-03-22,249.7
2013-03-25,249.95
2013-03-26,250.3
2013-03-28,244.25
2013-04-01,250.45
2013-04-02,287.6
2013-04-03,276.8
2013-04-04,263.15
2013-04-05,268.1
2013-04-08,269.0
2013-04-09,267.15
2013-04-10,270.95
2013-04-11,271.8
2013-04-12,270.2
2013-04-15,278.05
2013-04-16,277.6
2013-04-17,278.45
2013-04-18,278.6
2013-04-22,279.45
2013-04-23,277.8
2013-04-25,284.1
2013-04-26,291.45
2013-04-29,284.25
2013-04-30,279.2
2013-05-02,287.6
2013-05-03,282.55
2013-05-06,284.65
2013-05-07,285.85
2013-05-08,289.5
2013-05-09,287.15
2013-05-10,284.65
2013-05-11,281.8
2013-05-13,278.45
2013-05-14,280.45
2013-05-15,284.65
2013-05-16,284.55
2013-05-17,281.7
2013-05-20,283.9
2013-05-21,281.45
2013-05-22,276.7
2013-05-23,273.5
2013-05-24,276.3
2013-05-27,281.25
2013-05-28,281.5
2013-05-29,271.55
2013-05-30,278.8
2013-05-31,275.15
2013-06-03,275.25
2013-06-04,275.15
2013-06-05,275.5
