Date,SDBL
2014-04-01,243.0
2014-04-02,230.0
2014-04-03,244.0
2014-04-04,247.0
2014-04-07,243.0
2014-04-09,242.0
2014-04-10,241.85
2014-04-11,237.0
2014-04-15,239.55
2014-04-16,238.05
2014-04-17,239.3
2014-04-21,238.25
2014-04-22,239.15
2014-04-23,237.0
2014-04-25,238.95
2014-04-28,234.95
2014-04-29,231.35
2014-04-30,215.95
2014-05-02,220.0
2014-05-05,214.0
2014-05-06,215.0
2014-05-07,214.0
2014-05-08,214.0
2014-05-09,215.3
2014-05-12,214.0
2014-05-13,214.65
2014-05-14,208.3
2014-05-15,204.95
2014-05-16,216.5
2014-05-19,212.2
2014-05-20,214.9
2014-05-21,208.5
2014-05-22,220.0
2014-05-23,235.45
2014-05-26,256.7
2014-05-27,228.55
2014-05-28,226.95
2014-05-29,214.1
2014-05-30,217.0
2014-06-02,212.25
2014-06-03,214.95
2014-06-04,212.3
2014-06-05,212.5
2014-06-06,212.6
2014-06-09,220.0
2014-06-10,228.9
2014-06-11,223.0
2014-06-12,237.15
2014-06-13,236.0
2014-06-16,236.0
2014-06-17,230.55
2014-06-18,234.6
2014-06-19,230.5
2014-06-20,231.0
2014-06-23,234.9
2014-06-24,243.05
2014-06-25,238.45
2014-06-26,233.1
2014-06-27,232.8
2014-06-30,230.1
2014-07-01,226.25
2014-07-02,230.1
2014-07-03,232.0
2014-07-04,232.5
2014-07-07,229.8
2014-07-08,221.5
2014-07-09,215.8
2014-07-10,215.05
2014-07-11,225.0
2014-07-14,225.1
2014-07-15,225.0
2014-07-16,220.5
2014-07-17,222.4
2014-07-18,222.8
2014-07-21,216.0
2014-07-22,218.1
2014-07-23,221.05
2014-07-24,213.0
2014-07-25,212.2
2014-07-28,217.8
2014-07-30,210.9
2014-07-31,214.3
2014-08-01,209.05
2014-08-04,213.05
2014-08-05,209.7
2014-08-06,215.2
2014-08-07,214.15
2014-08-08,209.65
2014-08-11,210.0
2014-08-12,216.95
2014-08-13,215.55
2014-08-14,211.2
2014-08-18,208.7
2014-08-19,209.95
2014-08-20,209.0
2014-08-21,211.15
2014-08-22,205.7
2014-08-25,205.25
2014-08-26,199.7
2014-08-27,198.9
2014-08-28,199.5
2014-09-01,197.25
2014-09-02,197.6
2014-09-03,192.1
2014-09-04,191.1
2014-09-05,201.75
2014-09-08,212.6
2014-09-09,213.85
2014-09-10,207.5
2014-09-11,212.7
2014-09-12,213.2
2014-09-15,210.8
2014-09-16,210.1
2014-09-17,210.7
2014-09-18,215.1
2014-09-19,211.65
2014-09-22,212.3
2014-09-23,197.15
2014-09-24,198.4
2014-09-25,195.05
2014-09-26,197.7
2014-09-29,200.3
2014-09-30,205.5
2014-10-01,204.7
2014-10-07,202.1
2014-10-08,202.3
2014-10-09,202.6
2014-10-10,200.95
2014-10-13,201.35
2014-10-14,202.1
2014-10-16,201.65
2014-10-17,211.1
2014-10-20,214.5
2014-10-21,212.7
2014-10-22,213.4
2014-10-23,217.5
2014-10-27,218.0
2014-10-28,215.5
2014-10-29,213.95
2014-10-30,219.05
2014-10-31,217.35
2014-11-03,219.45
2014-11-05,219.75
2014-11-07,219.65
2014-11-10,218.6
2014-11-11,219.4
2014-11-12,221.45
2014-11-13,215.15
2014-11-14,218.95
2014-11-17,218.1
2014-11-18,216.8
2014-11-19,216.9
2014-11-20,214.4
2014-11-21,216.5
2014-11-24,213.0
2014-11-25,202.05
2014-11-26,203.0
2014-11-27,203.5
2014-11-28,207.45
2014-12-01,205.6
2014-12-02,197.7
2014-12-03,199.45
2014-12-04,199.1
2014-12-05,205.8
2014-12-08,207.35
2014-12-09,204.0
2014-12-10,208.15
2014-12-11,204.0
2014-12-12,204.95
2014-12-15,203.55
2014-12-16,200.7
2014-12-17,201.0
2014-12-18,205.0
2014-12-19,208.4
2014-12-22,209.1
2014-12-23,205.3
2014-12-24,212.3
2014-12-26,213.1
2014-12-29,210.85
2014-12-30,212.45
2014-12-31,209.0
2015-01-01,210.0
2015-01-02,211.0
2015-01-05,207.5
2015-01-06,204.9
2015-01-07,208.3
2015-01-08,207.85
2015-01-09,207.7
2015-01-12,202.2
2015-01-13,206.8
2015-01-14,208.9
2015-01-15,205.65
