Date,ISFT
2013-01-01,50.05
2013-01-02,50.7
2013-01-03,50.05
2013-01-04,49.8
2013-01-07,50.0
2013-01-08,51.0
2013-01-09,50.0
2013-01-10,50.0
2013-01-11,51.0
2013-01-14,49.55
2013-01-15,50.8
2013-01-16,50.3
2013-01-17,51.0
2013-01-18,49.45
2013-01-21,50.85
2013-01-22,50.0
2013-01-23,50.0
2013-01-24,50.0
2013-01-25,50.3
2013-01-28,50.0
2013-01-29,50.9
2013-01-30,50.3
2013-01-31,49.95
2013-02-01,49.85
2013-02-04,50.5
2013-02-05,49.8
2013-02-06,50.8
2013-02-07,51.0
2013-02-08,49.5
2013-02-11,49.9
2013-02-12,50.65
2013-02-13,50.65
2013-02-14,50.0
2013-02-15,50.0
2013-02-18,49.15
2013-02-19,50.05
2013-02-20,50.25
2013-02-21,49.95
2013-02-22,50.0
2013-02-25,50.0
2013-02-26,50.0
2013-02-27,50.15
2013-02-28,49.9
2013-03-01,50.0
2013-03-04,48.5
2013-03-05,48.45
2013-03-06,48.1
2013-03-07,49.7
2013-03-08,48.05
2013-03-11,48.85
2013-03-12,49.05
2013-03-13,49.5
2013-03-14,49.3
2013-03-15,49.6
2013-03-18,49.0
2013-03-19,48.15
2013-03-20,48.05
2013-03-21,48.75
2013-03-22,47.35
2013-03-25,48.9
2013-03-26,47.8
2013-03-28,47.75
2013-04-01,47.6
2013-04-02,47.25
2013-04-03,48.95
2013-04-04,49.7
2013-04-05,48.2
2013-04-08,47.45
2013-04-09,47.3
2013-04-10,48.65
2013-04-11,48.8
2013-04-12,49.35
2013-04-15,47.2
2013-04-16,49.0
2013-04-17,48.75
2013-04-18,48.95
2013-04-22,48.3
2013-04-23,47.25
2013-04-25,48.35
2013-04-26,47.95
2013-04-29,47.0
2013-04-30,47.0
2013-05-02,48.95
2013-05-03,48.0
2013-05-06,49.0
2013-05-07,49.5
2013-05-09,48.7
2013-05-10,48.05
2013-05-13,49.35
2013-05-14,49.0
2013-05-15,48.0
2013-05-16,47.9
2013-05-17,47.65
2013-05-20,49.0
2013-05-21,47.85
2013-05-22,49.0
2013-05-23,49.0
2013-05-24,48.95
2013-05-27,47.9
2013-05-28,48.15
2013-05-29,48.55
2013-05-30,48.8
2013-05-31,48.45
2013-06-03,48.6
2013-06-04,48.95
2013-06-05,49.0
2013-06-06,48.25
2013-06-07,48.15
2013-06-10,48.05
2013-06-11,48.1
2013-06-12,48.45
2013-06-13,48.8
2013-06-14,49.15
2013-06-17,48.6
2013-06-18,49.0
2013-06-19,49.65
2013-06-20,49.8
2013-06-21,50.0
2013-06-24,47.6
2013-06-25,49.9
2013-06-26,47.85
2013-06-27,49.0
2013-06-28,47.9
2013-07-01,48.35
2013-07-02,48.8
2013-07-03,49.75
2013-07-04,50.25
2013-07-05,49.0
2013-07-08,48.0
2013-07-09,47.75
2013-07-10,48.5
2013-07-11,48.5
2013-07-15,47.75
2013-07-16,49.0
2013-07-17,47.4
2013-07-18,49.05
2013-07-19,47.8
2013-07-22,48.0
2013-07-23,47.8
2013-07-24,49.6
2013-07-25,49.0
2013-07-30,49.5
2013-07-31,49.0
2013-08-01,47.0
2013-08-02,46.5
2013-08-05,49.9
2013-08-06,46.0
2013-08-07,48.5
2013-08-08,46.0
2013-08-12,45.0
2013-08-13,48.0
2013-08-14,47.9
2013-08-19,48.4
2013-08-27,48.35
2013-08-29,51.95
2013-09-02,48.0
2013-09-04,49.0
2013-09-06,47.0
2013-09-10,47.0
2013-09-11,47.8
2013-09-12,47.95
2013-09-16,47.0
2013-09-17,48.0
2013-09-18,45.0
2013-09-19,44.1
2013-09-20,45.0
2013-09-24,46.0
2013-09-25,45.0
