Date,GLOBUSSPR
2013-01-01,147.1
2013-01-02,140.3
2013-01-03,137.2
2013-01-04,138.25
2013-01-07,141.3
2013-01-08,136.8
2013-01-09,136.05
2013-01-10,134.95
2013-01-11,133.4
2013-01-14,130.15
2013-01-15,129.45
2013-01-16,128.15
2013-01-17,127.95
2013-01-18,125.85
2013-01-21,120.55
2013-01-22,116.35
2013-01-23,115.8
2013-01-24,112.65
2013-01-25,116.7
2013-01-28,116.7
2013-01-29,115.55
2013-01-30,114.4
2013-01-31,113.5
2013-02-01,115.8
2013-02-04,117.55
2013-02-05,115.05
2013-02-06,113.9
2013-02-07,111.15
2013-02-08,106.3
2013-02-11,107.4
2013-02-12,108.0
2013-02-13,108.65
2013-02-14,106.85
2013-02-15,107.05
2013-02-18,106.55
2013-02-19,106.95
2013-02-20,108.55
2013-02-21,102.6
2013-02-22,103.25
2013-02-25,101.75
2013-02-26,100.1
2013-02-27,99.45
2013-02-28,96.65
2013-03-01,97.5
2013-03-04,95.95
2013-03-05,98.15
2013-03-06,101.8
2013-03-07,107.5
2013-03-08,104.55
2013-03-11,102.7
2013-03-12,105.35
2013-03-13,100.15
2013-03-14,102.4
2013-03-15,99.3
2013-03-18,98.85
2013-03-19,104.15
2013-03-20,108.1
2013-03-21,97.1
2013-03-22,93.65
2013-03-25,93.5
2013-03-26,95.3
2013-03-28,94.2
2013-04-01,100.45
2013-04-02,103.35
2013-04-03,99.6
2013-04-04,97.05
2013-04-05,100.55
2013-04-08,102.15
2013-04-09,99.45
2013-04-10,99.5
2013-04-11,100.25
2013-04-12,97.9
2013-04-15,98.1
2013-04-16,100.0
2013-04-17,101.45
2013-04-18,102.9
2013-04-22,101.95
2013-04-23,100.95
2013-04-25,101.4
2013-04-26,102.9
2013-04-29,101.05
2013-04-30,102.5
2013-05-02,105.75
2013-05-03,101.45
2013-05-06,99.65
2013-05-07,99.45
2013-05-08,99.85
2013-05-09,99.45
2013-05-10,100.2
2013-05-11,102.15
2013-05-13,100.85
2013-05-14,99.35
2013-05-15,102.95
2013-05-16,102.3
2013-05-17,103.2
2013-05-20,100.25
2013-05-21,100.0
2013-05-22,99.1
2013-05-23,96.2
2013-05-24,94.95
2013-05-27,97.45
2013-05-28,97.05
2013-05-29,96.35
2013-05-30,95.45
2013-05-31,92.65
2013-06-03,91.9
2013-06-04,92.3
2013-06-05,92.4
2013-06-06,91.45
