Date,HINDOILEXP
2013-01-01,103.25
2013-01-02,103.25
2013-01-03,102.9
2013-01-04,104.6
2013-01-07,107.8
2013-01-08,105.7
2013-01-09,110.4
2013-01-10,110.55
2013-01-11,108.6
2013-01-14,109.4
2013-01-15,109.9
2013-01-16,110.3
2013-01-17,109.65
2013-01-18,110.75
2013-01-21,113.1
2013-01-22,112.45
2013-01-23,112.05
2013-01-24,104.65
2013-01-25,105.35
2013-01-28,105.2
2013-01-29,103.25
2013-01-30,101.85
2013-01-31,102.75
2013-02-01,102.4
2013-02-04,101.3
2013-02-05,98.75
2013-02-06,98.75
2013-02-07,98.25
2013-02-08,97.05
2013-02-11,97.4
2013-02-12,96.95
2013-02-13,97.3
2013-02-14,89.1
2013-02-15,84.25
2013-02-18,79.85
2013-02-19,77.2
2013-02-20,76.25
2013-02-21,74.65
2013-02-22,73.85
2013-02-25,68.2
2013-02-26,65.0
2013-02-27,60.5
2013-02-28,58.0
2013-03-01,56.05
2013-03-04,58.05
2013-03-05,57.9
2013-03-06,61.7
2013-03-07,65.75
2013-03-08,67.3
2013-03-11,66.1
2013-03-12,65.0
2013-03-13,62.35
2013-03-14,62.8
2013-03-15,60.4
2013-03-18,59.4
2013-03-19,58.7
2013-03-20,56.0
2013-03-21,53.4
2013-03-22,50.95
2013-03-25,52.25
2013-03-26,51.35
2013-03-28,52.2
2013-04-01,54.65
2013-04-02,58.5
2013-04-03,57.1
2013-04-04,54.85
2013-04-05,54.45
2013-04-08,54.6
2013-04-09,57.75
2013-04-10,62.7
2013-04-11,62.55
2013-04-12,60.25
2013-04-15,61.7
2013-04-16,61.0
2013-04-17,60.8
2013-04-18,60.65
2013-04-22,61.45
2013-04-23,64.4
2013-04-25,65.3
2013-04-26,63.1
2013-04-29,62.75
2013-04-30,61.9
2013-05-02,61.85
2013-05-03,60.35
2013-05-06,61.25
2013-05-07,63.75
2013-05-08,68.9
2013-05-09,69.05
2013-05-10,71.1
2013-05-11,70.75
2013-05-13,68.0
2013-05-14,69.4
2013-05-15,71.2
2013-05-16,71.4
2013-05-17,70.6
2013-05-20,70.15
2013-05-21,68.15
2013-05-22,66.45
2013-05-23,62.45
2013-05-24,61.3
2013-05-27,63.05
2013-05-28,64.25
2013-05-29,62.8
2013-05-30,60.0
2013-05-31,52.75
2013-06-03,46.45
2013-06-04,44.25
2013-06-05,44.3
2013-06-06,42.9
2013-06-07,38.85
2013-06-10,35.0
2013-06-11,33.25
2013-06-12,31.6
2013-06-13,30.05
2013-06-14,31.55
2013-06-17,32.1
2013-06-18,33.65
2013-06-19,35.3
2013-06-20,34.85
2013-06-21,33.15
2013-06-24,31.5
2013-06-25,30.0
2013-06-26,28.8
2013-06-27,29.95
2013-06-28,31.4
2013-07-01,32.95
2013-07-02,34.55
2013-07-03,34.35
2013-07-04,33.9
2013-07-05,33.45
2013-07-08,32.55
2013-07-09,34.35
2013-07-10,34.0
2013-07-11,34.1
2013-07-12,33.25
2013-07-15,33.85
2013-07-16,32.2
2013-07-17,30.3
2013-07-18,30.55
2013-07-19,29.9
2013-07-22,30.25
2013-07-23,29.0
2013-07-24,27.4
2013-07-25,26.0
2013-07-26,25.35
2013-07-29,23.4
2013-07-30,23.9
2013-07-31,24.75
2013-08-01,24.65
2013-08-02,25.8
2013-08-05,25.25
2013-08-06,24.4
2013-08-07,24.8
2013-08-08,25.15
2013-08-12,26.4
2013-08-13,26.6
2013-08-14,27.0
2013-08-16,25.7
2013-08-19,24.95
2013-08-20,26.15
2013-08-21,27.25
2013-08-22,28.6
2013-08-23,30.0
2013-08-26,31.5
2013-08-27,30.45
2013-08-28,30.15
2013-08-29,30.5
2013-11-29,34.2
2013-12-02,33.85
2013-12-03,35.5
2013-12-04,37.0
2013-12-05,36.25
2013-12-06,35.75
2013-12-09,35.45
2013-12-10,35.05
2013-12-11,34.6
2013-12-12,34.3
2013-12-13,33.15
2013-12-16,33.75
2013-12-17,33.75
2013-12-18,33.9
2013-12-19,33.2
2013-12-20,34.85
2013-12-23,36.15
2013-12-24,35.75
2013-12-26,37.4
2013-12-27,39.25
2013-12-30,40.1
2013-12-31,40.2
2014-01-01,40.4
2014-01-02,40.05
2014-01-03,40.65
2014-01-06,41.35
2014-01-07,45.0
2014-01-08,44.0
2014-01-09,42.45
2014-01-10,41.7
2014-01-13,42.75
2014-01-14,42.3
2014-01-15,42.3
2014-01-16,43.65
2014-01-17,41.75
2014-01-20,41.45
2014-01-21,40.85
2014-01-22,40.85
2014-01-23,41.7
2014-01-24,39.4
2014-01-27,37.0
2014-01-28,37.55
2014-01-29,37.5
2014-01-30,36.4
2014-01-31,37.95
2014-02-03,37.95
2014-02-04,36.85
2014-02-05,37.55
2014-02-06,37.3
2014-02-07,37.3
2014-02-10,36.7
2014-02-11,35.8
2014-02-12,35.6
2014-02-13,34.1
2014-02-14,34.0
2014-02-17,33.6
2014-02-18,34.25
2014-02-19,34.35
2014-02-20,34.0
2014-02-21,33.8
2014-02-24,34.35
2014-02-25,33.65
2014-02-26,33.95
2014-02-28,33.9
2014-03-03,33.15
2014-03-04,33.55
2014-03-05,33.95
2014-03-06,37.3
2014-03-07,43.0
2014-03-10,45.05
2014-03-11,44.95
2014-03-12,44.0
2014-03-13,44.35
2014-03-14,44.85
2014-03-18,44.8
2014-03-19,43.75
2014-03-20,42.25
2014-03-21,42.35
2014-03-22,42.85
2014-03-24,42.5
2014-03-25,41.1
2014-03-26,45.45
2014-03-27,45.6
2014-03-28,47.45
2014-03-31,47.4
2014-04-01,46.7
2014-04-02,50.1
2014-04-03,48.05
2014-04-04,50.55
2014-04-07,52.1
2014-04-09,52.85
2014-04-10,52.8
2014-04-11,52.8
2014-04-15,51.6
2014-04-16,48.05
2014-04-17,48.6
2014-04-21,48.7
2014-04-22,48.9
2014-04-23,53.25
2014-04-25,51.65
2014-04-28,51.35
2014-04-29,49.45
2014-04-30,46.5
2014-05-02,46.1
