Date,CARERATING
2013-01-01,918.95
2013-01-02,923.95
2013-01-03,934.85
2013-01-04,934.75
2013-01-07,929.25
2013-01-08,920.85
2013-01-09,923.7
2013-01-10,936.7
2013-01-11,938.65
2013-01-14,923.45
2013-01-15,931.05
2013-01-16,919.35
2013-01-17,925.65
2013-01-18,924.85
2013-01-21,925.05
2013-01-22,926.0
2013-01-23,929.6
2013-01-24,920.85
2013-01-25,924.85
2013-01-28,917.1
2013-01-29,877.8
2013-01-30,865.1
2013-01-31,842.25
2013-02-01,852.15
2013-02-04,831.15
2013-02-05,823.25
2013-02-06,822.2
2013-02-07,829.4
2013-02-08,826.9
2013-02-11,825.1
2013-02-12,825.4
2013-02-13,826.35
2013-02-14,827.05
2013-02-15,830.4
2013-02-18,835.8
2013-02-19,824.3
2013-02-20,822.95
2013-02-21,813.0
2013-02-22,812.55
2013-02-25,796.4
2013-02-26,766.95
2013-02-27,807.7
2013-02-28,813.45
2013-03-01,788.25
2013-03-04,781.95
2013-03-05,797.65
2013-03-06,794.35
2013-03-07,771.4
2013-03-08,795.05
2013-03-11,797.0
2013-03-12,798.95
2013-03-13,798.65
2013-03-14,798.2
2013-03-15,826.0
2013-03-18,814.75
2013-03-19,795.5
2013-03-20,791.15
2013-03-21,773.75
2013-03-22,793.8
2013-03-25,785.05
2013-03-26,796.25
2013-03-28,810.5
2013-04-01,809.15
2013-04-02,808.4
2013-04-03,786.3
2013-04-04,781.55
2013-04-05,773.15
2013-04-08,767.0
2013-04-09,765.8
2013-04-10,754.5
2013-04-11,761.45
2013-04-12,756.65
2013-04-15,749.5
2013-04-16,754.35
2013-04-17,752.5
2013-04-18,745.1
2013-04-22,748.1
2013-04-23,753.35
2013-04-25,725.35
2013-04-26,729.1
2013-04-29,724.15
2013-04-30,719.2
2013-05-02,710.8
2013-05-03,694.3
2013-05-06,698.85
2013-05-07,687.85
2013-05-08,709.45
2013-05-09,713.55
2013-05-10,736.7
2013-05-11,733.55
2013-05-13,740.75
2013-05-14,714.1
2013-05-15,707.7
2013-05-16,728.25
2013-05-17,718.8
