Date,BAJAJELEC
2013-01-01,212.95
2013-01-02,212.3
2013-01-03,208.95
2013-01-04,217.55
2013-01-07,214.6
2013-01-08,214.4
2013-01-09,209.0
2013-01-10,208.9
2013-01-11,208.1
2013-01-14,201.7
2013-01-15,205.4
2013-01-16,205.0
2013-01-17,204.95
2013-01-18,199.0
2013-01-21,194.55
2013-01-22,198.2
2013-01-23,192.45
2013-01-24,189.0
2013-01-25,185.35
2013-01-28,186.15
2013-01-29,184.9
2013-01-30,190.55
2013-01-31,196.65
2013-02-01,193.35
2013-02-04,189.5
2013-02-05,183.15
2013-02-06,195.15
2013-02-07,190.95
2013-02-08,197.2
2013-02-11,190.1
2013-02-12,192.35
2013-02-13,196.75
2013-02-14,188.5
2013-02-15,185.6
2013-02-18,184.45
2013-02-19,184.95
2013-02-20,184.7
2013-02-21,182.65
2013-02-22,181.8
2013-02-25,182.2
2013-02-26,176.9
2013-02-27,180.75
2013-02-28,180.5
2013-03-01,190.1
2013-03-04,183.75
2013-03-05,188.0
2013-03-06,184.35
2013-03-07,183.85
2013-03-08,183.5
2013-03-11,180.25
2013-03-12,176.2
2013-03-13,175.35
2013-03-14,174.15
2013-03-15,174.95
2013-03-18,179.85
2013-03-19,177.6
2013-03-20,175.7
2013-03-21,175.4
2013-03-22,175.05
2013-03-25,175.0
2013-03-26,174.75
2013-03-28,174.6
2013-04-01,172.6
2013-04-02,175.15
2013-04-03,173.8
2013-04-04,169.05
2013-04-05,168.05
2013-04-08,169.9
2013-04-09,165.2
2013-04-10,162.9
2013-04-11,163.15
2013-04-12,163.1
2013-04-15,167.0
2013-04-16,168.65
2013-04-17,167.55
2013-04-18,167.3
2013-04-22,168.8
2013-04-23,173.2
2013-04-25,180.35
2013-04-26,172.95
2013-04-29,175.1
2013-04-30,176.2
2013-05-02,176.15
2013-05-03,177.85
2013-05-06,178.95
2013-05-07,181.15
2013-05-08,177.25
2013-05-09,176.05
2013-05-10,176.15
2013-05-11,175.35
2013-05-13,172.2
2013-05-14,173.5
2013-05-15,174.6
2013-05-16,175.35
2013-05-17,178.55
2013-05-20,176.6
2013-05-21,172.5
2013-05-22,172.05
2013-05-23,169.15
2013-05-24,170.65
2013-05-27,169.2
2013-05-28,163.1
2013-05-29,164.2
2013-05-30,164.6
2013-05-31,162.75
2013-06-03,164.5
2013-06-04,163.05
2013-06-05,168.75
2013-06-06,171.7
2013-06-07,171.5
2013-06-10,170.8
2013-06-11,168.95
2013-06-12,167.3
2013-06-13,166.05
2013-06-14,167.3
2013-06-17,164.6
2013-06-18,163.5
2013-06-19,167.7
2013-06-20,165.4
2013-06-21,172.35
2013-06-24,173.6
2013-06-25,174.9
2013-06-26,172.8
2013-06-27,171.25
2013-06-28,172.4
2013-07-01,174.25
2013-07-02,174.65
2013-07-03,175.25
2013-07-04,177.55
2013-07-05,177.6
2013-07-08,175.65
2013-07-09,186.0
2013-07-10,189.05
2013-07-11,188.5
2013-07-12,192.55
2013-07-15,189.5
2013-07-16,183.95
2013-07-17,180.8
2013-07-18,182.75
2013-07-19,180.85
2013-07-22,177.35
2013-07-23,175.8
2013-07-24,177.4
2013-07-25,180.9
2013-07-26,179.8
2013-07-29,173.7
2013-07-30,170.65
2013-07-31,164.65
2013-08-01,163.35
2013-08-02,172.8
2013-08-05,178.05
2013-08-06,161.0
2013-08-07,159.05
2013-08-08,158.05
2013-08-12,160.25
2013-08-13,162.1
2013-08-14,165.6
2013-08-16,161.9
2013-08-19,161.0
2013-08-20,161.2
2013-08-21,161.55
2013-08-22,159.2
2013-08-23,159.05
2013-08-26,158.25
2013-08-27,157.4
2013-08-28,155.7
2013-08-29,156.85
2013-08-30,156.9
2013-09-02,157.95
2013-09-03,154.15
2013-09-04,152.95
2013-09-05,154.05
2013-09-06,156.05
2013-09-10,161.05
2013-09-11,168.55
2013-09-12,165.75
2013-09-13,164.45
2013-09-16,164.0
2013-09-17,162.55
2013-09-18,165.2
2013-09-19,166.2
2013-09-20,162.25
2013-09-23,162.05
2013-09-24,165.95
2013-09-25,164.55
2013-09-26,162.55
2013-09-27,162.65
2013-09-30,162.0
2013-10-01,162.95
2013-10-03,161.95
2013-10-04,161.0
2013-10-07,161.2
2013-10-08,158.5
2013-10-09,157.25
2013-10-10,159.65
2013-10-11,160.05
2013-10-14,161.2
2013-10-15,163.1
2013-10-17,162.6
2013-10-18,162.7
2013-10-21,161.45
2013-10-22,164.5
2013-10-23,163.85
2013-10-24,165.05
2013-10-25,162.85
2013-10-28,161.55
2013-10-29,161.35
2013-10-30,165.7
2013-10-31,165.0
2013-11-01,165.35
2013-11-03,171.75
2013-11-05,172.8
2013-11-06,172.05
2013-11-07,174.0
2013-11-08,174.55
2013-11-11,168.15
2013-11-12,159.2
2013-11-13,160.55
2013-11-14,161.3
2013-11-18,163.45
2013-11-19,159.6
2013-11-20,161.85
2013-11-21,160.45
2013-11-22,160.75
2013-11-25,162.15
2013-11-26,161.4
2013-11-27,162.6
2013-11-28,165.4
2013-11-29,167.85
2013-12-02,172.1
2013-12-03,171.65
2013-12-04,176.3
2013-12-05,177.05
2013-12-06,178.0
2013-12-09,178.65
2013-12-10,181.15
2013-12-11,182.25
2013-12-12,182.15
2013-12-13,179.95
