Date,ABB
2013-01-01,705.5
2013-01-02,703.3
2013-01-03,705.2
2013-01-04,725.7
2013-01-07,725.65
2013-01-08,725.55
2013-01-09,716.55
2013-01-10,706.45
2013-01-11,691.85
2013-01-14,698.7
2013-01-15,697.45
2013-01-16,691.9
2013-01-17,685.9
2013-01-18,687.55
2013-01-21,684.3
2013-01-22,682.25
2013-01-23,686.55
2013-01-24,670.2
2013-01-25,673.85
2013-01-28,669.4
2013-01-29,660.2
2013-01-30,653.7
2013-01-31,649.1
2013-02-01,646.85
2013-02-04,647.6
2013-02-05,660.1
2013-02-06,666.9
2013-02-07,655.85
2013-02-08,646.05
2013-02-11,650.1
2013-02-12,645.8
2013-02-13,636.2
2013-02-14,623.55
2013-02-15,607.3
2013-02-18,609.4
2013-02-19,609.85
2013-02-20,610.65
2013-02-21,583.0
2013-02-22,585.45
2013-02-25,587.45
2013-02-26,569.95
2013-02-27,581.85
2013-02-28,574.15
2013-03-01,571.7
2013-03-04,575.8
2013-03-05,575.15
2013-03-06,579.85
2013-03-07,590.3
2013-03-08,601.5
2013-03-11,624.05
2013-03-12,611.65
2013-03-13,591.45
2013-03-14,586.55
2013-03-15,574.9
2013-03-18,558.25
2013-03-19,549.75
2013-03-20,531.05
2013-03-21,522.2
2013-03-22,507.25
2013-03-25,491.8
2013-03-26,488.95
2013-03-28,488.75
2013-04-01,511.15
2013-04-02,506.7
2013-04-03,503.35
2013-04-04,496.2
2013-04-05,489.6
2013-04-08,486.9
2013-04-09,479.15
2013-04-10,473.55
2013-04-11,476.35
2013-04-12,475.0
2013-04-15,474.9
2013-04-16,476.5
2013-04-17,484.95
2013-04-18,488.4
2013-04-22,495.9
2013-04-23,507.3
2013-04-25,502.7
2013-04-26,497.65
2013-04-29,511.85
2013-04-30,521.2
2013-05-02,519.45
2013-05-03,526.25
2013-05-06,528.75
2013-05-07,526.35
2013-05-08,537.4
2013-05-09,529.95
2013-05-10,528.65
2013-05-11,526.6
2013-05-13,517.0
2013-05-14,518.25
2013-05-15,520.8
2013-05-16,545.25
2013-05-17,659.4
2013-05-20,664.7
2013-05-21,660.8
2013-05-22,646.25
2013-05-23,630.0
2013-05-24,663.3
2013-05-27,664.9
2013-05-28,680.9
2013-05-29,676.8
2013-05-30,671.6
2013-05-31,641.1
2013-06-03,642.1
2013-06-04,643.55
2013-06-05,640.85
2013-06-06,633.5
2013-06-07,627.05
2013-06-10,620.75
2013-06-11,602.75
2013-06-12,599.55
2013-06-13,590.15
2013-06-14,597.1
2013-06-17,614.6
2013-06-18,616.0
2013-06-19,616.1
2013-06-20,589.5
2013-06-21,610.1
2013-06-24,584.3
2013-06-25,582.4
2013-06-26,578.8
2013-06-27,581.85
