Date,MINDACORP
2013-03-01,308.7
2013-03-04,293.3
2013-03-05,300.0
2013-03-25,289.0
2013-04-01,303.0
2013-04-05,295.0
2013-04-08,280.5
2013-05-10,290.0
2013-05-13,304.0
2013-05-14,304.0
2013-05-20,309.0
2013-05-21,295.0
2013-06-24,290.0
2013-08-29,290.0
2013-09-17,275.5
2013-10-07,262.0
2013-10-08,274.45
2013-10-18,261.6
2013-10-22,255.0
2013-10-24,242.6
2013-10-31,240.0
2013-11-08,228.0
2013-11-11,220.0
2013-11-13,211.0
2013-11-14,212.0
2013-11-20,201.6
2013-11-21,192.0
2015-01-06,100.4
2015-01-07,95.4
2015-01-08,100.15
2015-01-09,100.9
2015-01-12,96.7
2015-01-13,94.25
2015-01-14,89.55
2015-01-15,91.8
2015-01-16,91.85
2015-01-19,90.35
2015-01-20,88.4
2015-01-21,85.3
2015-01-22,81.1
2015-01-23,77.05
2015-01-27,78.7
2015-01-28,81.1
2015-01-29,85.15
2015-01-30,88.9
2015-02-02,90.3
2015-02-03,86.2
2015-02-04,81.9
2015-02-05,80.55
2015-02-06,77.8
2015-02-09,78.0
2015-02-10,73.9
2015-02-11,78.4
2015-02-12,85.85
2015-02-13,94.4
2015-02-16,100.0
2015-02-18,99.75
2015-02-19,97.75
2015-02-20,95.05
2015-02-23,94.0
2015-02-24,94.75
2015-02-25,90.7
2015-02-26,89.8
2015-02-27,90.8
2015-02-28,90.65
2015-03-02,91.25
2015-03-03,91.0
2015-03-04,90.8
2015-03-05,92.95
2015-03-09,92.45
2015-03-10,94.15
2015-03-11,96.0
2015-03-12,93.5
2015-03-13,93.9
2015-03-16,95.1
2015-03-17,94.5
2015-03-18,96.9
2015-03-19,92.85
2015-03-20,91.45
2015-03-23,93.2
2015-03-24,93.95
2015-03-25,93.2
2015-03-26,93.15
2015-03-27,92.55
2015-03-30,94.4
2015-03-31,92.1
2015-04-01,91.2
2015-04-06,91.15
2015-04-07,89.6
2015-04-08,90.3
2015-04-09,87.5
2015-04-10,88.4
2015-04-13,89.2
2015-04-15,90.25
2015-04-16,87.2
2015-04-17,89.05
2015-04-20,86.45
2015-04-21,87.2
2015-04-22,88.25
2015-04-23,88.15
2015-04-24,91.7
