Date,ORIENTCEM
2013-07-26,41.75
2013-07-29,37.1
2013-07-30,34.7
2013-07-31,33.0
2013-08-01,35.5
2013-08-02,35.6
2013-08-05,34.85
2013-08-06,32.8
2013-08-07,33.2
2013-08-08,34.65
2013-08-12,35.85
2013-08-13,37.75
2013-08-14,37.05
2013-08-16,35.95
2013-08-19,34.05
2013-08-20,33.95
2013-08-21,34.0
2013-08-22,35.0
2013-08-23,33.95
2013-08-26,33.45
2013-08-27,33.15
2013-08-28,33.35
2013-08-29,33.0
2013-08-30,33.05
2013-09-02,33.15
2013-09-03,32.65
2013-09-04,33.5
2013-09-05,33.35
2013-09-06,33.4
2013-09-10,33.9
2013-09-11,35.4
2013-09-12,34.25
2013-09-13,34.45
2013-09-16,34.2
2013-09-17,34.55
2013-09-18,34.2
2013-09-19,37.95
2013-09-20,37.0
2013-09-23,35.65
2013-09-24,36.25
2013-09-25,38.0
2013-09-26,37.9
2013-09-27,37.8
2013-09-30,37.8
2013-10-01,38.0
2013-10-03,38.25
2013-10-04,38.35
2013-10-07,38.8
2013-10-08,39.0
2013-10-09,38.9
2013-10-10,39.85
2013-10-11,41.05
2013-10-14,43.6
2013-10-15,42.9
2013-10-17,40.6
2013-10-18,40.0
2013-10-21,40.0
2013-10-22,40.15
2013-10-23,39.65
2013-10-24,38.7
2013-10-25,38.15
2013-10-28,37.05
2013-10-29,38.2
2013-10-30,37.5
2013-10-31,37.5
2013-11-01,39.15
2013-11-03,38.65
2013-11-05,40.05
2013-11-06,41.6
2013-11-07,41.35
2013-11-08,40.9
2013-11-11,40.45
2013-11-12,40.3
2013-11-13,39.75
2013-11-14,39.3
2013-11-18,39.05
2013-11-19,38.3
2013-11-20,38.45
2013-11-21,38.55
2013-11-22,39.6
2013-11-25,39.9
2013-11-26,38.4
2013-11-27,38.9
2013-11-28,38.75
2013-11-29,39.0
2013-12-02,38.95
2013-12-03,39.7
2013-12-04,39.95
2013-12-05,41.5
2013-12-06,41.4
2013-12-09,42.6
2013-12-10,42.1
2013-12-11,41.75
2013-12-12,41.25
2013-12-13,41.0
2013-12-16,40.1
2013-12-17,39.35
2013-12-18,39.5
2013-12-19,38.8
2013-12-20,39.5
2013-12-23,38.9
2013-12-24,39.7
2013-12-26,40.25
2013-12-27,39.9
2013-12-30,39.2
2013-12-31,39.1
2014-01-01,40.45
2014-01-02,39.1
2014-01-03,38.95
2014-01-06,39.2
2014-01-07,39.35
2014-01-08,39.5
2014-01-09,39.45
2014-01-10,38.75
2014-01-13,38.3
2014-01-14,38.25
2014-01-15,38.35
2014-01-16,38.4
2014-01-17,36.95
2014-01-20,36.6
2014-01-21,36.8
2014-01-22,36.55
2014-01-23,36.45
2014-01-24,35.85
2014-01-27,35.9
2014-01-28,36.35
2014-01-29,36.35
2014-01-30,36.05
2014-01-31,35.9
2014-02-03,37.15
2014-02-04,37.35
2014-02-05,37.4
2014-02-06,38.15
2014-02-07,38.85
2014-02-10,39.15
2014-02-11,39.05
2014-02-12,39.25
2014-02-13,38.75
2014-02-14,37.45
2014-02-17,38.35
2014-02-18,38.45
2014-02-19,38.55
2014-02-20,38.05
2014-02-21,39.65
2014-02-24,39.5
2014-02-25,38.05
2014-02-26,37.95
2014-02-28,37.8
2014-03-03,38.3
2014-03-04,39.35
2014-03-05,40.05
2014-03-06,43.05
2014-03-07,42.6
2014-03-10,44.05
2014-03-11,44.0
2014-03-12,44.75
2014-03-13,44.5
2014-03-14,44.6
2014-03-18,45.25
2014-03-19,46.25
2014-03-20,47.05
2014-03-21,45.1
2014-03-22,45.0
2014-03-24,43.15
2014-03-25,41.55
2014-03-26,42.85
2014-03-27,44.85
2014-03-28,46.65
2014-03-31,47.5
2014-04-01,47.4
2014-04-02,45.95
2014-04-03,45.85
2014-04-04,47.1
2014-04-07,47.35
2014-04-09,49.05
2014-04-10,50.5
2014-04-11,49.9
2014-04-15,49.0
2014-04-16,47.55
2014-04-17,48.35
2014-04-21,48.4
2014-04-22,49.2
2014-04-23,51.55
2014-04-25,50.75
2014-04-28,49.95
2014-04-29,49.95
2014-04-30,49.3
2014-05-02,49.8
2014-05-05,49.0
2014-05-06,50.05
2014-05-07,51.45
2014-05-08,53.3
2014-05-09,54.0
2014-05-12,53.35
2014-05-13,52.9
2014-05-14,53.45
2014-05-15,56.85
2014-05-16,65.75
2014-05-19,77.1
2014-05-20,79.2
2014-05-21,78.25
2014-05-22,77.35
2014-05-23,75.9
2014-05-26,74.85
2014-05-27,76.85
2014-05-28,80.0
2014-05-29,81.95
2014-05-30,76.95
2014-06-02,80.3
2014-06-03,82.15
2014-06-04,89.5
2014-06-05,98.45
2014-06-06,103.95
2014-06-09,101.45
2014-06-10,99.15
2014-06-11,97.2
2014-06-12,99.7
