Date,BKMINDST
2015-04-16,12.25
2015-04-17,13.4
2015-04-20,10.95
2015-04-21,10.4
2015-04-22,12.2
2015-04-23,10.2
2015-04-24,8.8
2015-04-27,8.1
2015-04-28,8.35
2015-04-29,8.65
2015-04-30,8.9
2015-05-04,8.5
2015-05-05,8.55
2015-05-06,7.7
2015-05-07,6.95
2015-05-08,6.55
2015-05-11,6.35
2015-05-12,6.15
2015-05-13,5.85
2015-05-14,5.6
2015-05-15,5.35
2015-05-18,5.1
2015-05-19,5.3
2015-05-20,5.5
2015-05-21,5.75
2015-05-22,5.9
2015-05-25,5.9
2015-05-26,5.8
2015-05-27,5.75
2015-05-28,5.5
2015-05-29,5.35
2015-06-01,5.6
2015-06-02,5.85
2015-06-03,6.0
2015-06-04,5.7
2015-06-05,6.25
2015-06-08,6.85
2015-06-09,6.75
2015-06-10,7.4
2015-06-11,7.05
2015-06-12,7.35
2015-06-15,7.7
2015-06-16,8.05
2015-06-17,7.65
2015-06-18,7.3
2015-06-19,6.95
2015-06-22,6.65
2015-06-23,6.35
2015-06-24,6.05
2015-06-25,5.75
2015-06-26,5.5
2015-06-29,5.25
2015-06-30,5.0
2015-07-01,4.75
2015-07-02,4.55
2015-07-03,4.35
2015-07-06,4.2
2015-07-07,4.4
2015-07-08,4.6
2015-07-09,4.8
2015-07-10,5.0
2015-07-13,5.25
2015-07-14,5.5
2015-07-15,5.75
2015-07-16,5.6
2015-07-17,5.85
2015-07-20,6.1
2015-07-21,6.4
2015-07-22,6.7
2015-07-23,7.0
2015-07-24,6.65
2015-07-27,6.35
2015-07-28,6.1
2015-07-29,6.4
2015-07-30,6.7
2015-07-31,6.65
2015-08-03,6.9
2015-08-04,6.8
2015-08-05,6.6
2015-08-06,6.9
2015-08-07,7.2
2015-08-10,6.85
2015-09-08,6.1
2015-09-09,5.8
2015-09-10,5.55
2015-09-11,5.3
2015-09-14,5.1
2015-09-15,5.35
2015-09-16,5.6
2015-09-18,5.7
2015-09-21,5.95
2015-09-22,6.2
2015-09-23,6.4
2015-09-24,6.1
2015-09-28,6.35
2015-09-29,6.5
2015-09-30,6.2
2015-10-01,6.15
2015-10-05,6.05
2015-10-06,5.65
2015-10-07,6.15
2015-10-08,5.8
2015-10-09,5.65
2015-10-12,5.55
2015-10-13,5.3
2015-10-14,5.8
2015-10-15,6.2
2015-10-16,6.75
2015-10-19,6.15
2015-10-20,6.2
2015-10-21,6.0
2015-10-23,5.65
2015-10-26,5.75
2015-10-27,5.35
2015-10-28,5.4
2015-10-29,5.5
2015-10-30,5.4
2015-11-02,5.4
2015-11-03,5.0
2015-11-04,5.0
2015-11-05,5.3
2015-11-06,5.85
