Date,INDSWFTLAB
2013-01-01,47.25
2013-01-02,47.35
2013-01-03,51.5
2013-01-04,59.1
2013-01-07,57.7
2013-01-08,58.85
2013-01-09,58.15
2013-01-10,55.8
2013-01-11,53.5
2013-01-14,53.85
2013-01-15,53.55
2013-01-16,52.8
2013-01-17,52.3
2013-01-18,51.95
2013-01-21,51.8
2013-01-22,51.0
2013-01-23,50.5
2013-01-24,48.75
2013-01-25,47.85
2013-01-28,56.25
2013-01-29,52.85
2013-01-30,51.4
2013-01-31,51.4
2013-02-01,51.2
2013-02-04,49.4
2013-02-05,49.05
2013-02-06,48.3
2013-02-07,48.4
2013-02-08,48.25
2013-02-11,47.45
2013-02-12,46.85
2013-02-13,48.3
2013-02-14,47.85
2013-02-15,46.3
2013-02-18,47.25
2013-02-19,47.3
2013-02-20,47.6
2013-02-21,46.5
2013-02-22,46.6
2013-02-25,47.15
2013-02-26,47.15
2013-02-27,47.7
2013-02-28,46.45
2013-03-01,47.85
2013-03-04,45.0
2013-03-05,46.75
2013-03-06,46.9
2013-03-07,47.9
2013-03-08,50.9
2013-03-11,50.25
2013-03-12,49.3
2013-03-13,49.3
2013-03-14,49.45
2013-03-15,48.85
2013-03-18,48.4
2013-03-19,46.95
2013-03-20,45.6
2013-03-21,44.8
2013-03-22,46.45
2013-03-25,47.75
2013-03-26,45.4
2013-03-28,44.95
2013-04-01,45.75
2013-04-02,46.15
2013-04-03,47.1
2013-04-04,45.65
2013-04-05,45.2
2013-04-08,44.3
2013-04-09,44.15
2013-04-10,44.0
2013-04-11,44.2
2013-04-12,43.5
2013-04-15,43.35
2013-04-16,44.3
2013-04-17,44.3
2013-04-18,43.8
2013-04-22,43.8
2013-04-23,43.65
2013-04-25,43.95
2013-04-26,43.7
2013-04-29,45.0
2013-04-30,45.4
2013-05-02,45.9
2013-05-03,44.7
2013-05-06,44.25
2013-05-07,44.15
2013-05-08,44.05
2013-05-09,43.6
2013-05-10,43.6
2013-05-11,43.4
2013-05-13,43.05
2013-05-14,42.8
2013-05-15,43.4
2013-05-16,43.6
2013-05-17,42.8
2013-05-20,42.95
2013-05-21,42.85
2013-05-22,42.6
2013-05-23,41.55
2013-05-24,41.35
2013-05-27,41.45
2013-05-28,41.2
2013-05-29,41.25
2013-05-30,40.1
2013-05-31,39.1
2013-06-03,38.1
2013-06-04,37.95
2013-06-05,37.3
2013-06-06,37.6
2013-06-07,37.85
2013-06-10,42.1
2013-06-11,40.15
2013-06-12,39.95
2013-06-13,38.1
2013-06-14,37.95
2013-06-17,39.1
2013-06-18,38.3
2013-06-19,37.65
2013-06-20,37.0
2013-06-21,37.2
2013-06-24,36.95
2013-06-25,36.85
2013-06-26,36.75
2013-06-27,36.8
2013-06-28,36.6
2013-07-01,36.9
2013-07-02,37.7
2013-07-03,37.1
2013-07-04,37.2
2013-07-05,36.6
2013-07-08,36.85
2013-07-09,36.9
2013-07-10,37.1
2013-07-11,37.1
2013-07-12,36.85
2013-07-15,37.15
2013-07-16,36.7
2013-07-17,36.95
2013-07-18,36.7
2013-07-19,37.35
2013-07-22,36.65
2013-07-23,36.8
2013-07-24,36.4
2013-07-25,36.35
2013-07-26,35.85
2013-07-29,35.05
2013-07-30,34.6
2013-07-31,33.65
2013-08-01,32.1
2013-08-02,26.15
2013-08-05,21.75
2013-08-06,20.05
2013-08-07,21.15
2013-08-08,23.25
2013-08-12,25.5
2013-08-13,23.2
2013-08-14,23.1
2013-08-16,23.0
2013-08-19,22.65
2013-08-20,23.0
2013-08-21,22.55
2013-08-22,22.9
2013-08-23,23.75
2013-08-26,22.15
2013-08-27,21.35
2013-08-28,21.35
2013-08-29,21.75
2013-08-30,21.95
2013-09-02,22.2
2013-09-03,22.05
2013-09-04,21.85
2013-09-05,22.15
2013-09-06,23.7
2013-09-10,23.85
2013-09-11,23.7
2013-09-12,23.9
2013-09-13,23.15
2013-09-16,22.7
2013-09-17,27.0
2013-09-18,31.35
2013-09-19,31.2
2013-09-20,31.9
2013-09-23,32.5
2013-09-24,30.55
2013-09-25,27.6
2013-09-26,28.6
2013-11-29,28.85
2013-12-02,28.85
2013-12-03,27.95
2013-12-04,29.1
2013-12-05,28.85
2013-12-06,28.1
2013-12-09,27.2
2013-12-10,26.85
2013-12-11,27.2
2013-12-12,27.6
2013-12-13,27.4
2013-12-16,28.3
2013-12-17,29.55
2013-12-18,31.0
2013-12-19,32.55
2013-12-20,34.15
2013-12-23,35.85
2013-12-24,37.6
2013-12-26,39.45
2013-12-27,41.4
2013-12-30,39.35
2013-12-31,37.4
2014-01-01,39.25
2014-01-02,37.75
2014-03-03,32.6
2014-03-04,34.2
2014-03-05,34.7
2014-03-06,36.15
2014-03-07,35.75
2014-03-10,36.3
2014-03-11,35.4
2014-03-12,35.35
2014-03-13,36.9
2014-03-14,38.65
2014-03-18,42.3
2014-03-19,40.3
2014-03-20,38.95
2014-03-21,38.1
2014-03-22,38.55
2014-03-24,37.6
2014-03-25,37.4
2014-03-26,37.4
2014-03-27,38.2
2014-03-28,37.6
2014-03-31,38.65
2014-04-01,39.15
2014-04-02,40.1
2014-04-03,41.55
2014-04-04,42.2
2014-04-07,42.85
2014-04-09,43.5
2014-04-10,42.75
2014-04-11,42.0
2014-04-15,41.1
2014-04-16,39.15
2014-04-17,39.3
2014-04-21,40.3
2014-04-22,39.35
2014-04-23,38.75
2014-04-25,38.3
2014-04-28,42.1
2014-04-29,40.45
2014-04-30,36.95
2014-05-02,38.6
2014-05-05,37.9
2014-05-06,38.15
2014-05-07,37.95
2014-05-08,37.85
2014-05-09,38.4
2014-05-12,38.85
2014-05-13,42.5
2014-05-14,43.6
2014-05-15,42.1
2014-05-16,41.95
2014-05-19,44.95
2014-05-20,44.85
2014-05-21,49.9
2014-05-22,51.15
2014-05-23,50.55
2014-05-26,44.65
2014-05-27,44.35
2014-05-28,44.65
2014-05-29,41.5
2014-05-30,41.5
2014-06-02,42.75
2014-06-03,42.95
2014-06-04,44.8
2014-06-05,44.3
2014-06-06,45.5
2014-06-09,48.95
2014-06-10,49.2
2014-06-11,48.7
2014-06-12,49.5
2014-06-13,46.85
2014-06-16,46.6
2014-06-17,48.15
2014-06-18,47.6
2014-06-19,47.3
2014-06-20,46.05
2014-06-23,44.6
2014-06-24,44.9
2014-06-25,44.7
2014-06-26,46.55
2014-06-27,49.1
2014-06-30,50.3
2014-07-01,50.0
2014-07-02,48.3
2014-07-03,48.65
2014-07-04,47.75
2014-07-07,48.3
2014-07-08,46.0
2014-07-09,45.1
2014-07-10,47.45
2014-07-11,44.2
2014-07-14,43.9
2014-07-15,44.75
2014-07-16,45.15
2014-07-17,45.0
2014-07-18,44.7
2014-07-21,44.75
2014-07-22,49.25
2014-07-23,46.6
2014-07-24,45.1
2014-07-25,45.95
2014-07-28,44.15
2014-07-30,44.3
2014-07-31,42.3
2014-08-01,39.95
2014-08-04,37.9
2014-08-05,39.7
2014-08-06,38.3
2014-08-07,38.15
2014-08-08,36.2
2014-08-11,36.5
2014-08-12,36.9
2014-08-13,32.7
2014-08-14,32.6
2014-08-18,34.35
2014-08-19,33.6
2014-08-20,38.0
2014-08-21,36.7
2014-08-22,37.05
2014-08-25,34.35
2014-08-26,35.3
2014-08-27,34.5
2014-08-28,33.65
2014-09-01,32.5
2014-09-02,34.2
2014-09-03,33.6
2014-09-04,36.6
2014-09-05,36.0
2014-09-08,36.4
2014-09-09,36.3
2014-09-10,37.05
2014-09-11,37.3
2014-09-12,37.15
2014-09-15,38.4
2014-09-16,39.45
2014-09-17,39.9
2014-09-18,40.6
2014-09-19,39.3
2014-09-22,39.65
2014-09-23,37.55
2014-09-24,36.35
2014-09-25,36.45
2014-09-26,34.8
2014-09-29,37.6
2014-09-30,37.5
2014-10-01,36.9
2014-10-07,35.55
2014-10-08,34.7
2014-10-09,36.0
2014-10-10,34.35
2014-10-13,35.2
2014-10-14,34.6
2014-10-16,32.5
2014-10-17,32.4
2014-10-20,32.35
2014-10-21,32.4
2014-10-22,32.2
2014-10-23,32.5
2014-10-27,32.6
2014-10-28,32.7
2014-10-29,33.3
2014-10-30,32.75
2014-10-31,34.85
2014-11-03,33.6
2014-11-05,33.25
2014-11-07,33.5
2014-11-10,33.0
2014-11-11,32.45
2014-11-12,32.3
2014-11-13,32.15
2014-11-14,31.3
2014-11-17,31.5
2014-11-18,31.75
2014-11-19,31.4
2014-11-20,30.65
2014-11-21,30.3
2014-11-24,31.5
2014-11-25,29.15
2014-11-26,29.4
2014-11-27,29.0
2014-11-28,29.05
2014-12-01,28.6
2014-12-02,28.0
2014-12-03,29.25
2014-12-04,29.1
2014-12-05,29.55
2014-12-08,28.5
2014-12-09,27.9
2014-12-10,27.8
2014-12-11,27.65
2014-12-12,26.9
2014-12-15,26.15
2014-12-16,23.25
2014-12-17,23.25
2014-12-18,24.05
2014-12-19,25.75
2014-12-22,25.3
2014-12-23,24.75
2014-12-24,24.3
2014-12-26,24.7
2014-12-29,24.5
2014-12-30,24.3
2014-12-31,25.0
2015-01-01,30.0
2015-01-02,30.35
2015-01-05,29.95
2015-01-06,28.35
2015-01-07,28.25
2015-01-08,28.9
2015-01-09,28.65
2015-01-12,30.0
2015-01-13,30.05
2015-01-14,29.5
2015-01-15,30.2
2015-01-16,30.45
2015-01-19,32.05
2015-01-20,32.95
2015-01-21,31.5
2015-01-22,31.3
2015-01-23,30.7
2015-01-27,29.4
2015-01-28,28.75
2015-01-29,28.75
2015-01-30,28.35
2015-02-02,30.95
2015-02-03,30.35
2015-02-04,30.1
2015-02-05,30.7
2015-02-06,30.3
2015-02-09,29.05
2015-02-10,30.75
2015-02-11,32.95
2015-02-12,32.55
2015-02-13,34.1
2015-02-16,33.15
2015-02-18,32.3
2015-02-19,33.85
2015-02-20,33.75
2015-02-23,32.85
2015-02-24,31.6
2015-02-25,32.05
2015-02-26,32.3
2015-02-27,31.3
2015-02-28,31.65
2015-03-02,30.65
2015-03-03,31.75
2015-03-04,31.25
2015-03-05,31.3
2015-03-09,30.65
2015-03-10,31.35
2015-03-11,31.6
2015-03-12,31.55
2015-03-13,30.85
2015-03-16,31.05
2015-03-17,31.75
2015-03-18,31.2
2015-03-19,30.9
2015-03-20,31.1
2015-03-23,31.4
2015-03-24,30.65
2015-03-25,30.25
2015-03-26,29.7
2015-03-27,29.75
2015-03-30,31.85
2015-03-31,31.65
2015-04-01,33.25
2015-04-06,33.25
2015-04-07,33.4
