Date,ATUL
2013-01-01,426.55
2013-01-02,422.3
2013-01-03,423.25
2013-01-04,414.6
2013-01-07,416.1
2013-01-08,402.0
2013-01-09,406.8
2013-01-10,407.4
2013-01-11,386.75
2013-01-14,387.9
2013-01-15,384.15
2013-01-16,367.85
2013-01-17,396.1
2013-01-18,361.05
2013-01-21,350.8
2013-01-22,377.2
2013-01-23,378.8
2013-01-24,370.2
2013-01-25,367.9
2013-01-28,356.5
2013-01-29,355.0
2013-01-30,359.85
2013-01-31,361.65
2013-02-01,363.9
2013-02-04,369.0
2013-02-05,369.8
2013-02-06,368.0
2013-02-07,357.25
2013-02-08,353.3
2013-02-11,349.1
2013-02-12,342.3
2013-02-13,330.0
2013-02-14,329.7
2013-02-15,334.15
2013-02-18,328.1
2013-02-19,341.0
2013-02-20,339.55
2013-02-21,333.9
2013-02-22,327.85
2013-02-25,337.65
2013-02-26,325.75
2013-02-27,337.35
2013-02-28,319.95
2013-03-01,325.7
2013-03-04,306.2
2013-03-05,317.2
2013-03-06,322.3
2013-03-07,326.05
2013-03-08,332.55
2013-03-11,335.35
2013-03-12,334.05
2013-03-13,326.75
2013-03-14,331.0
2013-03-15,329.8
2013-03-18,327.85
2013-03-19,328.8
2013-03-20,327.35
2013-03-21,313.65
2013-03-22,304.9
2013-03-25,296.3
2013-03-26,298.3
2013-03-28,299.3
2013-04-01,308.6
2013-04-02,309.5
2013-04-03,317.8
2013-04-04,310.05
2013-04-05,310.35
2013-04-08,305.25
2013-04-09,299.05
2013-04-10,301.8
2013-04-11,307.4
2013-04-12,306.35
2013-04-15,310.3
2013-04-16,324.8
2013-04-17,348.1
2013-04-18,359.25
2013-04-22,350.9
2013-04-23,347.55
2013-04-25,345.95
2013-04-26,346.75
2013-04-29,372.8
2013-04-30,366.5
2013-05-02,372.85
2013-05-03,367.5
2013-05-06,381.7
2013-05-07,364.35
2013-05-08,360.9
2013-05-09,346.2
2013-05-10,351.2
2013-05-11,351.35
2013-05-13,348.5
2013-05-14,345.9
2013-05-15,356.15
2013-05-16,355.05
2013-05-17,346.7
2013-05-20,358.7
2013-05-21,364.85
2013-05-22,367.45
2013-05-23,352.9
2013-05-24,352.05
2013-05-27,350.4
2013-05-28,348.5
2013-05-29,347.5
2013-05-30,352.4
2013-05-31,348.15
2013-06-03,354.3
2013-06-04,349.9
2013-06-05,346.95
2013-06-06,343.45
2013-06-07,345.9
2013-06-10,352.35
2013-06-11,328.75
2013-06-12,325.1
2013-06-13,320.45
2013-06-14,321.45
2013-06-17,325.45
2013-06-18,331.7
2013-06-19,321.3
2013-06-20,315.1
2013-06-21,314.0
2013-06-24,301.95
2013-06-25,296.45
2013-06-26,285.0
2013-06-27,297.55
2013-06-28,299.8
2013-07-01,322.6
2013-07-02,326.15
2013-07-03,311.6
2013-07-04,316.4
2013-07-05,319.95
2013-07-08,317.05
2013-07-09,323.9
2013-07-10,332.0
2013-07-11,332.65
2013-07-12,326.8
2013-07-15,330.6
2013-07-16,329.6
2013-07-17,337.1
2013-07-18,342.25
2013-07-19,341.3
2013-07-22,330.75
2013-07-23,324.65
2013-07-24,346.35
2013-07-25,339.4
2013-07-26,324.95
2013-07-29,320.9
2013-07-30,309.15
2013-07-31,309.7
2013-08-01,298.5
2013-08-02,294.45
2013-08-05,314.5
2013-08-06,298.0
2013-08-07,299.25
2013-08-08,307.85
2013-08-12,307.1
2013-08-13,314.0
2013-08-14,309.65
2013-08-16,295.5
2013-08-19,299.3
2013-08-20,309.1
2013-08-21,301.5
2013-08-22,306.5
2013-08-23,305.35
2013-08-26,307.2
2013-08-27,294.8
2013-08-28,288.75
2013-08-29,295.85
2013-08-30,295.0
2013-09-02,293.3
2013-09-03,291.0
2013-09-04,293.45
2013-09-05,294.05
2013-09-06,295.95
2013-09-10,308.8
2013-09-11,316.95
2013-09-12,311.5
2013-09-13,316.65
2013-09-16,316.3
2013-09-17,324.1
2013-09-18,316.4
2013-09-19,327.35
2013-09-20,324.65
2013-09-23,323.15
2013-09-24,324.9
2013-09-25,330.35
2013-09-26,329.4
2013-09-27,338.35
2013-09-30,325.9
2013-10-01,330.55
2013-10-03,326.55
2013-10-04,329.0
2013-10-07,347.35
2013-10-08,344.0
2013-10-09,342.35
2013-10-10,350.3
2013-10-11,345.95
2013-10-14,345.2
2013-10-15,339.7
2013-10-17,336.1
2013-10-18,339.65
2013-10-21,360.45
2013-10-22,363.35
2013-10-23,356.05
2013-10-24,360.4
2013-10-25,383.05
2013-10-28,379.5
2013-10-29,379.2
2013-10-30,378.4
2013-10-31,376.95
2013-11-01,392.05
2013-11-03,399.7
2013-11-05,393.95
2013-11-06,390.6
2013-11-07,384.8
2013-11-08,381.8
2013-11-11,373.8
2013-11-12,378.45
2013-11-13,382.95
2013-11-14,384.75
2013-11-18,387.4
2013-11-19,389.25
2013-11-20,393.2
2013-11-21,385.55
2013-11-22,389.6
2013-11-25,406.4
2013-11-26,421.3
2013-11-27,413.2
2013-11-28,407.8
2013-11-29,412.15
2013-12-02,429.35
2013-12-03,425.7
2013-12-04,416.8
2013-12-05,412.7
2013-12-06,415.95
2013-12-09,407.2
2013-12-10,403.05
2013-12-11,405.05
2013-12-12,406.15
2013-12-13,402.6
2013-12-16,403.65
2013-12-17,399.35
2013-12-18,406.6
2013-12-19,416.95
2013-12-20,416.1
2013-12-23,413.15
2013-12-24,430.75
2013-12-26,435.35
2013-12-27,437.5
2013-12-30,447.4
2013-12-31,451.35
2014-01-01,467.5
2014-01-02,444.35
2014-01-03,455.1
