Date,A2ZINFRA
2013-01-01,57.65
2013-01-02,59.3
2013-01-03,60.15
2013-01-04,61.35
2013-01-07,61.25
2013-01-08,59.6
2013-01-09,58.7
2013-01-10,57.45
2013-01-11,56.3
2013-01-14,56.15
2013-01-15,55.9
2013-01-16,54.5
2013-01-17,53.25
2013-01-18,51.1
2013-01-21,47.85
2013-01-22,45.75
2013-01-23,43.0
2013-01-24,38.9
2013-01-25,41.75
2013-01-28,42.0
2013-01-29,40.3
2013-01-30,40.6
2013-01-31,40.55
2013-02-01,39.7
2013-02-04,39.05
2013-02-05,37.8
2013-02-06,36.3
2013-02-07,40.6
2013-02-08,36.75
2013-02-11,37.5
2013-02-12,36.3
2013-02-13,36.25
2013-02-14,34.7
2013-02-15,32.25
2013-02-18,33.7
2013-02-19,32.9
2013-02-20,32.8
2013-02-21,31.85
2013-02-22,31.8
2013-02-25,30.75
2013-02-26,29.3
2013-02-27,28.8
2013-02-28,28.65
2013-03-01,28.5
2013-03-04,27.2
2013-03-05,26.55
2013-03-06,27.85
2013-03-07,33.4
2013-03-08,28.15
2013-03-11,26.4
2013-03-12,26.0
2013-03-13,23.15
2013-03-14,23.85
2013-03-15,22.7
2013-03-18,21.9
2013-03-19,20.35
2013-03-20,18.35
2013-03-21,17.45
2013-03-22,16.6
2013-03-25,17.4
2013-03-26,18.25
2013-03-28,19.15
2013-04-01,20.1
2013-04-02,21.1
2013-04-03,22.15
2013-04-04,21.15
2013-04-05,20.2
2013-04-08,21.2
2013-04-09,20.15
2013-04-10,20.4
2013-04-11,20.05
2013-06-14,13.4
2013-06-17,13.6
2013-06-18,13.6
2013-06-19,13.7
2013-06-20,13.3
2013-06-21,13.05
2013-06-24,12.5
2013-06-25,12.25
2013-06-26,12.85
2013-06-27,13.2
2013-06-28,13.45
2013-07-01,13.8
2013-07-02,13.7
2013-07-03,13.25
2013-07-04,13.0
2013-07-05,12.85
2013-07-08,12.6
2013-07-09,12.8
2013-07-10,12.9
2013-07-11,12.8
2013-07-12,12.5
2013-07-15,12.5
2013-07-16,12.15
2013-07-17,12.05
2013-07-18,12.3
2013-07-19,11.95
2013-07-22,11.45
2013-07-23,11.45
2013-07-24,11.15
2013-07-25,10.9
2013-07-26,10.35
2013-07-29,10.2
2013-07-30,9.9
2013-07-31,9.25
2013-08-01,8.7
2013-08-02,8.35
2013-08-05,8.35
2013-08-06,8.1
2013-08-07,8.5
2013-08-08,8.9
2013-08-12,9.3
2013-08-13,9.75
2013-08-14,10.2
2013-08-16,10.0
2013-08-19,10.1
2013-08-20,10.55
2013-08-21,10.45
2013-08-22,9.95
2013-08-23,9.9
2013-08-26,9.75
2013-08-27,9.3
2013-08-28,8.95
2013-08-29,8.95
2013-08-30,8.9
2013-09-02,9.0
2013-09-03,8.85
2013-09-04,8.8
2013-09-05,8.8
2013-09-06,9.25
2013-09-10,9.5
2013-09-11,9.55
2013-09-12,10.1
2013-09-13,10.0
2013-09-16,10.1
2013-09-17,9.95
2013-09-18,9.8
2013-09-19,10.0
2013-09-20,9.8
2013-09-23,9.9
2013-09-24,9.75
2013-09-25,9.85
2013-09-26,9.9
2013-09-27,9.75
2013-09-30,9.4
2013-10-01,9.95
2013-10-03,9.8
2013-10-04,9.8
2013-10-07,9.6
2013-10-08,9.65
2013-10-09,9.7
2013-10-10,9.6
2013-10-11,9.6
2013-10-14,9.4
2013-10-15,9.45
2013-10-17,9.35
2013-10-18,9.3
2013-10-21,9.45
2013-10-22,10.35
2013-10-23,10.6
2013-10-24,10.75
2013-10-25,11.15
2013-10-28,10.05
2013-10-29,9.7
2013-10-30,9.5
2013-10-31,9.85
2013-11-01,9.75
2013-11-03,10.35
2013-11-05,10.35
2013-11-06,10.3
2013-11-07,10.1
2013-11-08,9.85
2013-11-11,9.5
2013-11-12,9.15
2013-11-13,9.2
2013-11-14,9.05
2013-11-18,9.2
2013-11-19,8.8
2013-11-20,8.7
2013-11-21,8.45
2013-11-22,8.3
2013-11-25,8.2
2013-11-26,8.15
2013-11-27,8.0
2013-11-28,7.95
2013-11-29,8.3
2013-12-02,8.3
2013-12-03,8.9
2013-12-04,8.95
2013-12-05,8.8
2013-12-06,8.4
2013-12-09,8.3
2013-12-10,7.95
2013-12-11,7.8
2013-12-12,7.95
2013-12-13,8.05
