Date,JAYAGROGN
2013-01-01,141.8
2013-01-02,138.15
2013-01-03,139.9
2013-01-04,138.45
2013-01-07,135.1
2013-01-08,133.5
2013-01-09,135.0
2013-01-10,135.0
2013-01-11,135.0
2013-01-14,137.85
2013-01-15,138.5
2013-01-16,134.95
2013-01-17,132.05
2013-01-18,129.8
2013-01-21,127.5
2013-01-22,127.45
2013-01-23,125.9
2013-01-24,120.35
2013-01-25,120.0
2013-01-28,118.7
2013-01-29,118.3
2013-01-30,116.25
2013-01-31,115.05
2013-02-01,113.9
2013-02-04,107.5
2013-02-05,106.35
2013-02-06,103.15
2013-02-07,101.15
2013-02-08,99.35
2013-02-11,98.65
2013-02-12,94.25
2013-02-13,96.05
2013-02-14,95.0
2013-02-15,98.25
2013-02-18,94.75
2013-02-19,95.7
2013-02-20,96.4
2013-02-21,97.0
2013-02-22,102.9
2013-02-25,103.95
2013-02-26,99.2
2013-02-27,100.3
2013-02-28,97.85
2013-03-01,99.0
2013-03-04,97.0
2013-03-05,95.65
2013-03-06,96.95
2013-03-07,95.05
2013-03-08,95.85
2013-03-11,97.0
2013-03-12,97.9
2013-03-13,94.8
2013-03-14,95.0
2013-03-15,95.55
2013-03-18,95.0
2013-03-19,93.0
2013-03-20,93.95
2013-03-21,92.15
2013-03-22,91.75
2013-03-25,89.0
2013-03-26,89.45
2013-03-28,88.9
2013-04-01,91.1
2013-04-02,92.1
2013-04-03,90.5
2013-04-04,89.0
2013-04-05,92.7
2013-04-08,90.15
2013-04-09,91.15
2013-04-10,90.0
2013-04-11,94.6
2013-04-12,93.25
2013-04-15,93.35
2013-04-16,94.5
2013-04-17,92.4
2013-04-18,93.0
2013-04-22,89.55
2013-04-23,90.0
2013-04-25,90.2
2013-04-26,92.3
2013-04-29,91.1
2013-04-30,92.05
2013-05-02,92.0
2013-05-03,91.45
2013-05-06,89.95
2013-05-07,89.6
2013-05-08,92.6
2013-05-09,89.8
2013-05-10,91.25
2013-05-11,93.0
2013-05-13,91.5
2013-05-14,91.1
2013-05-15,94.65
2013-05-16,95.8
2013-05-17,95.35
2013-05-20,94.9
2013-05-21,93.7
2013-05-22,91.9
2013-05-23,90.9
2013-05-24,90.05
2013-05-27,90.1
2013-05-28,87.8
2013-05-29,89.25
2013-05-30,88.15
2013-05-31,91.85
2013-06-03,87.85
2013-06-04,90.35
2013-06-05,88.5
2013-06-06,89.6
2013-06-07,88.4
2013-06-10,90.3
2013-06-11,89.15
2013-06-12,88.9
2013-06-13,87.25
2013-06-14,87.0
2013-06-17,87.0
2013-06-18,88.9
2013-06-19,87.4
2013-06-20,86.5
2013-06-21,85.75
2013-06-24,86.4
2013-06-25,85.15
2013-06-26,85.5
2013-06-27,84.85
2013-06-28,89.85
2013-07-01,89.45
2013-07-02,87.6
2013-07-03,86.5
2013-07-04,86.95
2013-07-05,87.0
2013-07-08,87.25
2013-07-09,87.95
2013-07-10,88.45
2013-07-11,89.0
2013-07-12,88.6
2013-07-15,89.65
2013-07-16,90.0
2013-07-17,90.0
2013-07-18,90.15
2013-07-19,89.65
2013-07-22,89.5
2013-07-23,91.15
2013-07-24,88.0
2013-07-25,87.0
2013-07-26,88.75
2013-07-29,86.0
2013-07-30,83.6
2013-07-31,83.3
2013-08-01,80.6
2013-08-02,77.05
2013-08-05,75.75
2013-08-06,72.65
2013-08-07,75.5
2013-08-08,78.25
2013-08-12,78.8
2013-08-13,78.25
2013-08-14,76.2
2013-08-16,74.9
2013-08-19,74.5
2013-08-20,73.8
2013-08-21,73.9
2013-08-22,73.55
2013-08-23,72.0
