Date,BANCOINDIA
2013-01-01,60.1
2013-01-02,59.6
2013-01-03,60.25
2013-01-04,58.95
2013-01-07,58.85
2013-01-08,58.95
2013-01-09,58.65
2013-01-10,58.25
2013-01-11,58.85
2013-01-14,58.15
2013-01-15,58.1
2013-01-16,58.0
2013-01-17,57.9
2013-01-18,57.35
2013-01-21,57.5
2013-01-22,57.05
2013-01-23,56.25
2013-01-24,56.05
2013-01-25,58.05
2013-01-28,59.15
2013-01-29,57.55
2013-01-30,57.8
2013-01-31,57.55
2013-02-01,57.6
2013-02-04,57.35
2013-02-05,56.65
2013-02-06,55.8
2013-02-07,55.2
2013-02-08,54.75
2013-02-11,49.55
2013-02-12,48.35
2013-02-13,48.75
2013-02-14,47.45
2013-02-15,45.85
2013-02-18,47.1
2013-02-19,46.85
2013-02-20,47.45
2013-02-21,46.7
2013-02-22,46.65
2013-02-25,47.05
2013-02-26,48.35
2013-02-27,48.15
2013-02-28,48.55
2013-03-01,47.05
2013-03-04,46.1
2013-03-05,45.65
2013-03-06,46.95
2013-03-07,47.85
2013-03-08,46.1
2013-03-11,46.55
2013-03-12,47.15
2013-03-13,46.85
2013-03-14,45.9
2013-03-15,45.9
2013-03-18,45.5
2013-03-19,45.1
2013-03-20,43.3
2013-03-21,43.2
2013-03-22,42.75
2013-03-25,43.1
2013-03-26,41.8
2013-03-28,40.75
2013-04-01,40.75
2013-04-02,41.0
2013-04-03,40.5
2013-04-04,39.3
2013-04-05,39.2
2013-04-08,38.2
2013-04-09,38.35
2013-04-10,37.95
2013-04-11,38.6
2013-04-12,38.95
2013-04-15,37.55
2013-04-16,37.35
2013-04-17,36.5
2013-04-18,36.45
2013-04-22,36.75
2013-04-23,36.95
2013-04-25,38.6
2013-04-26,37.75
2013-04-29,37.85
2013-04-30,38.6
2013-05-02,38.85
2013-05-03,39.9
2013-05-06,40.85
2013-05-07,40.95
2013-05-08,42.0
2013-05-09,41.95
2013-05-10,42.0
2013-05-11,42.05
2013-05-13,42.85
2013-05-14,43.15
2013-05-15,42.8
2013-05-16,42.0
2013-05-17,41.75
2013-05-20,42.15
2013-05-21,43.2
2013-05-22,42.65
2013-05-23,42.4
2013-05-24,42.15
2013-05-27,42.05
2013-05-28,42.7
2013-05-29,41.65
2013-05-30,40.65
2013-05-31,40.05
2013-06-03,39.15
2013-06-04,38.0
2013-06-05,38.0
2013-06-06,38.8
2013-06-07,38.1
2013-06-10,36.4
2013-06-11,36.5
2013-06-12,38.65
2013-06-13,39.7
2013-06-14,38.05
