Date,IVP
2013-01-02,40.2
2013-01-03,40.2
2013-01-07,40.4
2013-01-09,40.0
2013-01-10,40.0
2013-01-11,40.4
2013-01-14,41.05
2013-01-15,40.45
2013-01-16,40.25
2013-01-17,40.0
2013-01-18,40.45
2013-01-21,40.75
2013-01-22,39.3
2013-01-23,39.5
2013-01-24,39.8
2013-01-25,42.0
2013-01-29,41.3
2013-01-30,40.05
2013-01-31,40.0
2013-02-01,41.65
2013-02-04,40.95
2013-02-05,39.55
2013-02-06,39.15
2013-02-07,38.4
2013-02-08,38.05
2013-02-11,39.5
2013-02-12,39.45
2013-02-13,38.25
2013-02-14,38.75
2013-02-15,40.85
2013-02-18,37.35
2013-02-19,39.6
2013-02-20,39.5
2013-02-21,38.05
2013-02-22,39.5
2013-02-25,39.95
2013-02-26,40.0
2013-02-27,38.05
2013-03-01,37.7
2013-03-04,39.5
2013-03-06,39.9
2013-03-07,38.05
2013-03-08,39.9
2013-03-11,39.9
2013-03-12,39.15
2013-03-13,39.3
2013-03-15,39.0
2013-03-18,37.1
2013-03-19,38.0
2013-03-20,36.8
2013-03-21,36.0
2013-03-25,35.95
2013-03-26,34.0
2013-04-01,38.7
2013-04-02,35.9
2013-04-04,34.9
2013-04-05,34.9
2013-04-11,34.9
2013-04-12,40.0
2013-05-13,36.0
2013-05-16,33.35
2013-05-22,34.0
2013-05-30,34.9
2013-06-04,33.7
2013-06-05,34.0
2013-06-06,35.05
2013-06-10,35.0
2013-06-11,35.0
2013-06-13,35.0
2013-06-14,35.0
2013-06-18,35.0
2013-06-19,35.0
2013-06-25,33.3
2013-07-04,34.0
2013-07-15,33.0
2013-07-26,34.65
2013-07-29,35.15
2013-07-30,35.5
2013-08-16,34.0
2013-08-23,34.0
2013-08-29,34.0
2013-09-19,35.6
2013-10-07,33.85
2013-11-05,32.2
2013-11-22,31.25
2013-11-25,31.3
2013-12-03,31.6
2013-12-06,32.5
2013-12-09,32.05
2013-12-10,33.65
2013-12-12,34.05
2013-12-18,33.3
2013-12-30,34.95
2013-12-31,36.65
2014-01-07,36.0
2014-01-10,35.7
2014-01-13,35.65
2014-01-14,37.25
2014-01-15,38.0
2014-01-16,39.9
2014-01-17,40.0
2014-01-20,39.3
2014-01-21,40.0
2014-01-22,40.35
2014-01-23,39.0
2014-01-24,40.3
2014-01-27,39.0
2014-01-28,39.0
2014-01-31,37.2
2014-02-04,35.6
2014-02-06,36.8
2014-02-07,35.65
2014-02-11,36.5
2014-02-13,36.85
2014-02-14,37.0
2014-02-17,37.0
2014-02-18,37.0
2014-02-20,36.4
2014-02-21,37.45
2014-02-24,38.2
2014-02-28,37.85
2014-03-04,36.0
2014-03-05,34.9
2014-03-06,35.45
2014-03-07,34.9
2014-03-10,35.1
2014-03-11,34.75
2014-03-18,37.6
2014-03-19,34.85
2014-03-20,34.95
2014-03-25,35.35
2014-03-26,32.3
2014-03-27,34.05
2014-03-28,35.1
2014-04-02,36.0
2014-04-03,35.8
2014-04-04,36.5
2014-04-10,36.2
2014-04-11,37.75
2014-04-15,37.25
2014-04-16,36.5
2014-04-17,36.35
2014-04-21,36.85
2014-04-22,36.3
2014-04-23,37.25
2014-04-25,36.55
2014-04-28,36.5
2014-04-29,36.7
2014-04-30,37.1
2014-05-02,38.75
2014-05-05,38.85
2014-05-06,37.05
2014-05-07,38.5
2014-05-08,36.35
2014-05-12,38.35
2014-05-13,36.15
2014-05-14,36.5
2014-05-16,35.1
2014-05-19,38.0
2014-05-20,39.5
2014-05-21,39.15
2014-05-22,41.0
2014-05-23,41.0
2014-05-26,44.5
2014-05-27,40.65
2014-05-28,43.85
2014-05-29,40.0
2014-05-30,41.85
2014-06-03,39.65
2014-06-04,40.1
2014-06-05,40.15
2014-06-06,42.0
2014-06-09,43.0
2014-06-10,43.0
2014-06-11,44.05
2014-06-12,43.9
2014-06-13,43.55
2014-06-16,41.75
2014-06-17,42.75
2014-06-18,42.95
2014-06-19,43.25
2014-06-20,42.9
2014-06-23,42.2
2014-06-24,41.9
2014-06-25,42.7
2014-06-26,42.0
2014-06-27,41.35
2014-06-30,42.15
2014-07-01,44.0
2014-07-02,44.85
2014-07-03,44.25
2014-07-04,44.9
2014-07-07,53.85
2014-07-08,58.2
2014-07-09,56.8
2014-07-10,54.3
2014-07-11,49.8
2014-07-14,54.8
2014-07-15,52.85
2014-07-16,53.95
2014-07-17,53.5
2014-07-18,54.8
2014-07-21,53.75
2014-07-22,52.25
2014-07-23,54.05
2014-07-24,56.75
2014-07-25,56.85
2014-07-28,56.0
2014-07-30,55.45
2014-07-31,55.1
2014-08-01,55.3
2014-08-04,56.75
2014-08-05,57.45
2014-08-06,61.7
2014-08-07,66.35
2014-08-08,61.85
2014-08-11,63.0
2014-08-12,64.85
2014-08-13,57.8
2014-08-14,58.0
2014-08-18,58.25
2014-08-19,61.6
2014-08-20,58.7
2014-08-21,58.75
2014-08-22,59.05
2014-08-25,57.3
2014-08-26,57.4
2014-08-27,55.8
2014-08-28,60.25
2014-09-01,63.05
2014-09-02,65.5
2014-09-03,66.1
2014-09-04,68.2
2014-09-05,69.5
2014-09-08,68.0
2014-09-09,65.25
2014-09-10,65.1
2014-09-11,63.8
2014-09-12,61.0
2014-09-15,62.65
2014-09-16,61.1
2014-09-17,60.3
2014-09-18,61.3
2014-09-19,64.35
2014-09-22,65.0
2014-09-23,64.45
2014-09-24,61.55
2014-09-25,62.0
2014-09-26,61.45
2014-09-29,60.6
2014-09-30,60.1
2014-10-01,58.3
2014-10-07,58.5
2014-10-08,57.0
2014-10-09,56.1
2014-10-10,59.8
2014-10-13,59.75
2014-10-14,59.45
2014-10-16,55.85
2014-10-17,56.3
2014-10-20,55.25
2014-10-21,54.65
2014-10-22,57.0
2014-10-23,56.0
2014-10-28,55.5
2014-10-29,54.9
2014-10-30,54.25
2014-10-31,53.5
2014-11-03,54.5
2014-11-05,56.05
2014-11-07,57.45
2014-11-10,59.4
2014-11-11,56.35
2014-11-12,58.0
2014-11-13,57.75
2014-11-14,59.05
2014-11-17,62.05
2014-11-18,60.55
2014-11-19,60.5
2014-11-20,58.15
2014-11-21,58.1
2014-11-24,58.0
2014-11-25,54.75
2014-11-26,58.7
2014-11-27,59.0
2014-11-28,56.65
2014-12-01,58.75
2014-12-02,55.45
2014-12-03,56.95
2014-12-04,56.95
2014-12-05,55.6
2014-12-08,53.7
2014-12-09,54.95
2014-12-10,55.7
2014-12-11,53.15
2014-12-12,53.05
2014-12-15,52.65
2014-12-16,50.8
2014-12-17,49.55
2014-12-18,50.0
2014-12-19,51.5
2014-12-22,50.0
2014-12-23,49.1
2014-12-24,52.8
2014-12-26,50.15
2014-12-29,49.3
2014-12-30,48.1
2015-01-01,48.0
2015-01-02,50.0
2015-01-05,50.0
2015-01-06,47.85
2015-01-07,49.85
2015-01-08,50.0
2015-01-09,49.55
2015-01-12,48.45
2015-01-13,49.05
2015-01-14,49.0
2015-01-15,49.05
2015-01-19,51.95
2015-01-20,52.0
2015-01-21,53.95
2015-01-22,50.15
2015-01-23,50.5
2015-01-27,49.3
2015-01-30,51.65
2015-02-02,50.3
2015-02-03,49.9
2015-02-05,53.0
2015-02-06,49.35
2015-02-09,50.1
2015-02-10,49.75
2015-02-11,50.45
2015-02-12,56.05
2015-02-13,55.65
2015-02-16,54.5
2015-02-18,52.65
2015-02-19,53.8
2015-02-20,51.65
2015-02-23,52.0
2015-02-24,51.95
2015-02-25,51.75
2015-02-26,51.0
2015-02-27,52.15
2015-02-28,53.15
2015-03-02,51.3
2015-03-03,51.05
2015-03-04,52.35
2015-03-05,53.0
2015-03-09,53.45
2015-03-10,51.0
2015-03-12,52.0
2015-03-16,51.0
2015-03-17,53.8
2015-03-18,51.75
2015-03-19,49.9
2015-03-20,50.0
2015-03-23,47.8
2015-03-24,47.75
2015-03-25,47.0
2015-03-26,47.0
2015-03-27,45.75
2015-03-30,46.0
2015-03-31,52.5
2015-04-01,49.85
2015-04-06,49.0
2015-04-09,51.0
2015-04-10,50.9
2015-04-13,52.25
2015-04-15,53.85
2015-04-16,51.0
2015-04-17,49.95
2015-04-20,48.5
2015-04-21,48.3
2015-04-22,50.0
2015-04-23,51.3
2015-04-27,49.15
2015-04-28,49.0
2015-04-29,49.15
2015-04-30,51.0
2015-05-04,50.9
2015-05-05,49.15
2015-05-06,48.15
2015-05-07,48.15
2015-05-08,48.25
2015-05-11,51.3
2015-05-12,48.65
2015-05-13,49.95
2015-05-15,52.5
2015-05-18,50.55
2015-05-19,49.0
2015-05-20,49.05
2015-05-21,51.25
2015-05-22,50.05
2015-05-25,51.9
2015-05-26,50.1
2015-05-28,60.1
2015-05-29,57.95
2015-06-01,57.35
2015-06-02,56.2
2015-06-03,53.6
2015-06-04,53.7
