Date,ROLTA
2013-01-01,62.15
2013-01-02,63.4
2013-01-03,63.95
2013-01-04,65.25
2013-01-07,66.55
2013-01-08,65.8
2013-01-09,65.15
2013-01-10,64.85
2013-01-11,66.65
2013-01-14,67.0
2013-01-15,68.5
2013-01-16,66.95
2013-01-17,66.7
2013-01-18,65.05
2013-01-21,64.3
2013-01-22,63.45
2013-01-23,64.45
2013-01-24,63.55
2013-01-25,63.05
2013-01-28,63.85
2013-01-29,62.85
2013-01-30,63.35
2013-01-31,62.85
2013-02-01,63.25
2013-02-04,62.5
2013-02-05,62.05
2013-02-06,62.1
2013-02-07,61.7
2013-02-08,61.4
2013-02-11,61.25
2013-02-12,62.6
2013-02-13,62.45
2013-02-14,62.65
2013-02-15,64.35
2013-02-18,65.1
2013-02-19,66.05
2013-02-20,66.25
2013-02-21,66.3
2013-02-22,66.6
2013-02-25,66.4
2013-02-26,66.0
2013-02-27,66.4
2013-02-28,65.5
2013-03-01,64.3
2013-03-04,63.45
2013-03-05,63.8
2013-03-06,63.65
2013-03-07,65.25
2013-03-08,65.5
2013-03-11,65.9
2013-03-12,65.25
2013-03-13,65.65
2013-03-14,65.7
2013-03-15,68.5
2013-03-18,68.5
2013-03-19,66.95
2013-03-20,65.85
2013-03-21,65.3
2013-03-22,64.65
2013-03-25,64.6
2013-03-26,64.75
2013-03-28,65.9
2013-04-01,65.95
2013-04-02,67.2
2013-04-03,66.45
2013-04-04,65.85
2013-04-05,66.0
2013-04-08,66.1
2013-04-09,65.85
2013-04-10,65.75
2013-04-11,66.0
2013-04-12,65.15
2013-04-15,65.0
2013-04-16,65.5
2013-04-17,65.1
2013-04-18,64.95
2013-04-22,63.45
2013-04-23,62.65
2013-04-25,62.15
2013-04-26,60.5
2013-04-29,61.2
2013-04-30,61.1
2013-05-02,61.25
2013-05-03,60.65
2013-05-06,60.5
2013-05-07,60.3
2013-05-08,60.4
2013-05-09,59.9
2013-05-10,59.65
2013-05-11,59.75
2013-05-13,60.55
2013-05-14,60.2
2013-05-15,60.45
2013-05-16,60.5
2013-05-17,61.0
2013-05-20,61.05
2013-05-21,60.7
2013-05-22,60.15
2013-05-23,59.9
2013-05-24,59.9
2013-05-27,60.05
2013-05-28,59.95
2013-05-29,60.15
2013-05-30,60.05
2013-05-31,59.3
2013-06-03,58.7
2013-06-04,59.0
2013-06-05,58.85
2013-06-06,58.35
2013-06-07,57.9
2013-06-10,56.75
2013-06-11,54.75
2013-06-12,53.95
2013-06-13,53.6
2013-06-14,54.15
2013-06-17,60.2
2013-06-18,59.85
2013-06-19,59.15
2013-06-20,59.2
2013-06-21,56.8
2013-06-24,56.55
2013-06-25,56.05
2013-06-26,59.25
2013-06-27,61.55
2013-06-28,62.7
2013-07-01,62.9
2013-07-02,62.35
2013-07-03,61.65
2013-07-04,62.15
2013-07-05,59.8
2013-07-08,58.35
2013-07-09,57.9
2013-07-10,60.45
2013-07-11,61.4
2013-07-12,60.45
2013-07-15,59.85
2013-07-16,58.65
2013-07-17,57.95
2013-07-18,59.0
2013-07-19,59.15
2013-07-22,58.7
2013-07-23,58.4
2013-07-24,57.5
2013-07-25,58.1
2013-07-26,58.0
2013-07-29,57.05
2013-07-30,56.5
2013-07-31,56.25
2013-08-01,55.5
2013-08-02,54.7
2013-08-05,54.55
2013-08-06,54.15
2013-08-07,54.1
2013-08-08,54.45
2013-08-12,54.9
2013-08-13,56.1
2013-08-14,57.9
2013-08-16,56.8
2013-08-19,58.05
2013-08-20,58.4
2013-08-21,57.7
2013-08-22,57.95
2013-08-23,58.15
2013-08-26,59.6
2013-08-27,58.55
2013-08-28,59.85
2013-08-29,59.8
2013-08-30,62.15
2013-09-02,61.6
2013-09-03,60.95
2013-09-04,60.65
2013-09-05,60.6
2013-09-06,60.95
2013-09-10,61.25
2013-09-11,61.95
2013-09-12,61.4
2013-09-13,61.2
2013-09-16,60.8
2013-09-17,61.0
2013-09-18,60.7
2013-09-19,61.35
2013-09-20,59.4
2013-09-23,58.55
2013-09-24,58.0
2013-09-25,56.4
2013-09-26,56.45
2013-09-27,56.4
2013-09-30,55.55
2013-10-01,56.25
2013-10-03,56.35
2013-10-04,56.0
2013-10-07,55.95
2013-10-08,58.8
2013-10-09,58.1
2013-10-10,57.8
2013-10-11,61.1
2013-10-14,61.85
2013-10-15,60.15
2013-10-17,59.3
2013-10-18,59.2
2013-10-21,58.9
2013-10-22,59.1
2013-10-23,58.7
2013-10-24,58.6
2013-10-25,59.35
2013-10-28,59.0
2013-10-29,60.85
2013-10-30,62.25
2013-10-31,62.7
2013-11-01,63.0
2013-11-03,73.9
2013-11-05,71.8
2013-11-06,70.35
2013-11-07,70.55
2013-11-08,67.7
2013-11-11,65.35
2013-11-12,63.55
2013-11-13,64.95
2013-11-14,65.75
2013-11-18,68.35
2013-11-19,68.15
2013-11-20,66.0
2013-11-21,63.6
2013-11-22,64.95
2013-11-25,65.35
2013-11-26,61.05
2013-11-27,59.8
2013-11-28,62.1
2013-11-29,63.8
2013-12-02,63.45
2013-12-03,65.0
2013-12-04,63.3
2013-12-05,64.0
2013-12-06,64.55
2013-12-09,65.65
2013-12-10,63.75
2013-12-11,65.7
2013-12-12,64.05
2013-12-13,62.85
2013-12-16,61.85
2013-12-17,62.25
2013-12-18,62.75
2013-12-19,64.0
2013-12-20,66.0
2013-12-23,65.85
2013-12-24,68.55
2013-12-26,67.3
2013-12-27,68.0
2013-12-30,67.2
2013-12-31,67.2
2014-01-01,69.55
2014-01-02,69.6
2014-01-03,71.75
2014-01-06,73.8
2014-01-07,71.55
2014-01-08,71.7
2014-01-09,69.9
2014-01-10,72.35
2014-01-13,73.65
2014-01-14,75.5
2014-01-15,76.7
2014-01-16,76.65
2014-01-17,72.1
2014-01-20,74.05
2014-01-21,73.8
2014-01-22,72.8
2014-01-23,71.9
2014-01-24,69.5
2014-01-27,65.8
2014-01-28,64.3
2014-01-29,64.25
2014-01-30,62.95
2014-01-31,64.45
2014-02-03,64.55
2014-02-04,64.7
2014-02-05,64.35
2014-02-06,63.8
2014-02-07,64.0
2014-02-10,64.55
2014-02-11,67.2
2014-02-12,67.15
2014-02-13,67.6
2014-02-14,68.75
2014-02-17,67.45
2014-02-18,71.15
2014-02-19,72.6
2014-02-20,71.85
2014-02-21,74.0
2014-02-24,74.5
2014-02-25,73.5
2014-02-26,76.4
2014-02-28,75.8
2014-03-03,75.5
2014-03-04,75.85
2014-03-05,75.85
2014-03-06,78.4
2014-03-07,75.7
2014-03-10,74.8
2014-03-11,74.65
2014-03-12,71.6
2014-03-13,70.4
2014-03-14,71.2
2014-03-18,71.35
2014-03-19,73.0
2014-03-20,72.95
2014-03-21,72.45
2014-03-22,72.4
2014-03-24,74.0
2014-03-25,73.45
2014-03-26,72.35
2014-03-27,71.9
2014-03-28,72.25
2014-03-31,73.3
2014-04-01,73.9
2014-04-02,76.4
2014-04-03,77.0
2014-04-04,76.75
2014-04-07,75.25
2014-04-09,76.85
2014-04-10,75.65
2014-04-11,77.1
2014-04-15,77.9
2014-04-16,79.65
2014-04-17,80.55
2014-04-21,81.0
2014-04-22,79.35
2014-04-23,79.3
2014-04-25,77.25
2014-04-28,77.25
2014-04-29,76.5
2014-04-30,74.85
2014-05-02,74.35
2014-05-05,74.1
2014-05-06,73.95
2014-05-07,73.35
2014-05-08,73.3
2014-05-09,74.5
2014-05-12,73.9
2014-05-13,75.1
2014-05-14,76.3
2014-05-15,74.3
2014-05-16,74.6
2014-05-19,74.85
2014-05-20,81.65
2014-05-21,87.0
2014-05-22,90.95
2014-05-23,90.6
2014-05-26,101.05
2014-05-27,109.8
2014-05-28,105.25
2014-05-29,103.2
2014-05-30,106.8
2014-06-02,104.0
2014-06-03,102.95
2014-06-04,104.8
2014-06-05,109.8
2014-06-06,113.05
2014-06-09,112.1
2014-06-10,114.2
2014-06-11,111.95
2014-06-12,113.05
2014-06-13,106.8
2014-06-16,112.45
2014-06-17,111.55
2014-06-18,109.75
2014-06-19,108.8
2014-06-20,102.7
2014-06-23,103.2
2014-06-24,106.1
2014-06-25,107.8
2014-06-26,105.75
2014-06-27,110.25
2014-06-30,112.45
2014-07-01,112.55
2014-07-02,112.4
2014-07-03,110.6
2014-07-04,117.55
2014-07-07,119.35
2014-07-08,109.55
2014-07-09,107.25
2014-07-10,107.95
2014-07-11,104.6
2014-07-14,104.15
2014-07-15,105.1
2014-07-16,106.05
2014-07-17,105.9
2014-07-18,110.15
2014-07-21,114.65
2014-07-22,113.1
2014-07-23,112.4
2014-07-24,111.35
2014-07-25,106.95
2014-07-28,105.65
2014-07-30,104.95
2014-07-31,106.65
2014-08-01,105.95
2014-08-04,107.45
2014-08-05,108.8
2014-08-06,111.55
2014-08-07,111.65
2014-08-08,108.25
2014-08-11,104.55
2014-08-12,103.9
2014-08-13,103.15
2014-08-14,102.6
2014-08-18,103.65
2014-08-19,105.9
2014-08-20,106.65
