Date,PRAKASHCON
2013-01-01,17.85
2013-01-02,18.25
2013-01-03,18.15
2013-01-04,18.25
2013-01-07,18.45
2013-01-08,18.75
2013-01-09,18.6
2013-01-10,18.2
2013-01-11,17.95
2013-01-14,18.3
2013-01-15,18.2
2013-01-16,20.0
2013-01-17,20.95
2013-01-18,21.0
2013-01-21,21.3
2013-01-22,21.1
2013-01-23,20.5
2013-01-24,19.5
2013-01-25,19.55
2013-01-28,20.65
2013-01-29,20.8
2013-01-30,20.8
2013-01-31,22.85
2013-02-01,23.1
2013-02-04,23.15
2013-02-05,23.25
2013-02-06,23.3
2013-02-07,23.95
2013-02-08,23.15
2013-02-11,23.35
2013-02-12,22.6
2013-02-13,20.35
2013-02-14,18.35
2013-06-14,0.95
2013-06-17,0.9
2013-06-18,0.85
2013-06-19,0.9
2013-06-20,0.95
2013-06-21,1.0
2013-06-24,1.0
2013-06-25,0.95
2013-06-26,0.9
2013-06-27,0.85
2013-06-28,0.9
2013-07-01,0.9
2013-07-02,0.95
2013-07-03,1.0
2013-07-04,1.05
2013-07-05,1.15
2013-07-08,1.25
2013-07-09,1.15
2013-07-10,1.25
2013-07-11,1.2
2013-07-12,1.2
2013-07-15,1.2
2013-07-16,1.25
2013-07-17,1.2
2013-07-18,1.2
2013-07-19,1.2
2013-07-22,1.2
2013-07-23,1.2
2013-07-24,1.15
2013-07-25,1.1
2013-07-26,1.1
2013-07-29,1.15
2013-07-30,1.1
2013-07-31,1.05
2013-08-01,1.05
2013-08-02,1.0
2013-08-05,0.95
2013-08-06,0.9
2013-08-07,0.95
2013-08-08,1.0
2013-08-12,1.0
2013-08-13,0.95
2013-08-14,1.0
2013-08-16,1.0
2013-08-19,0.95
2013-08-20,1.0
2013-08-21,1.0
2013-08-22,0.95
2013-08-23,0.9
2013-08-26,0.85
2013-08-27,0.8
2013-08-28,0.8
2013-08-29,0.85
2013-08-30,0.85
2013-09-02,0.9
2013-09-04,0.9
2013-09-05,0.85
2013-09-06,0.9
2013-09-10,0.9
2013-09-11,0.9
2013-09-12,0.85
2013-09-13,0.9
2013-09-16,0.9
2013-09-17,0.85
2013-09-18,0.9
2013-09-19,0.9
2013-09-20,0.85
2013-09-23,0.85
2013-09-24,0.85
2013-09-25,0.85
2013-09-26,0.85
2013-09-27,0.85
2013-09-30,0.9
2013-10-01,0.85
2013-10-03,0.85
2013-10-04,0.8
2013-10-07,0.85
2013-10-08,0.85
2013-10-09,0.85
2013-10-10,0.85
2013-10-11,0.85
2013-10-14,0.9
2013-10-15,0.85
2013-10-17,0.85
2013-10-18,0.8
2013-10-21,0.8
2013-10-22,0.8
2013-10-23,0.75
2013-10-24,0.8
2013-10-25,0.8
2013-10-28,0.8
2013-10-29,0.75
2013-10-30,0.8
2013-10-31,0.75
2013-11-01,0.75
2013-11-03,0.8
2013-11-05,0.8
2013-11-06,0.85
2013-11-07,0.9
2013-11-08,1.05
2013-11-11,0.85
2013-11-12,0.8
2013-11-13,0.8
2013-11-14,0.8
2013-11-18,0.85
2013-11-19,0.85
2013-11-20,0.9
2013-11-21,0.9
2013-11-22,0.85
2013-11-25,0.75
2013-11-26,0.85
2013-11-27,0.8
2013-11-28,0.75
2013-11-29,0.75
2013-12-02,0.85
2013-12-03,0.75
2013-12-04,0.8
2013-12-05,0.8
2013-12-06,0.8
2013-12-09,0.8
2013-12-10,0.75
2013-12-11,0.65
2013-12-12,0.7
2013-12-13,0.7
2013-12-16,0.75
2013-12-17,0.7
2013-12-18,0.7
2013-12-19,0.75
2013-12-20,0.7
2013-12-23,0.75
2013-12-24,0.8
2013-12-26,0.8
2013-12-27,0.8
2013-12-30,0.8
2013-12-31,0.75
2014-01-01,0.8
2014-01-02,0.8
2014-01-03,0.85
2014-01-06,0.8
2014-01-07,0.8
2014-01-08,0.8
2014-01-09,0.75
2014-01-10,0.75
2014-01-13,0.75
2014-01-14,0.65
2014-01-15,0.7
2014-01-16,0.7
2014-01-17,0.7
2014-01-20,0.7
2014-01-21,0.65
2014-01-22,0.65
2014-01-23,0.7
2014-01-24,0.7
2014-01-27,0.65
2014-01-28,0.65
2014-01-29,0.6
2014-01-30,0.6
2014-01-31,0.6
2014-02-03,0.6
2014-02-04,0.55
2014-02-05,0.55
2014-02-06,0.55
2014-02-07,0.6
2014-02-10,0.7
2014-02-11,0.8
2014-02-12,0.75
2014-02-13,0.7
2014-02-14,0.7
2014-02-17,0.75
2014-02-18,0.75
2014-02-19,0.75
2014-02-20,0.75
2014-02-21,0.7
2014-02-24,0.7
2014-02-25,0.7
2014-02-26,0.7
2014-02-28,0.65
2014-03-03,0.7
2014-03-04,0.65
2014-03-05,0.7
2014-03-06,0.7
2014-03-07,0.7
2014-03-10,0.7
2014-03-11,0.65
2014-03-12,0.65
2014-03-13,0.7
2014-03-14,0.7
2014-03-18,0.75
2014-03-19,0.9
2014-03-20,0.95
2014-03-21,1.0
2014-03-22,1.1
2014-03-24,1.15
2014-03-25,1.1
2014-03-26,1.05
2014-03-27,1.0
2014-03-28,1.05
2014-03-31,1.0
2014-04-01,1.05
2014-04-02,1.1
2014-04-03,1.15
2014-04-04,1.2
2014-04-07,1.2
2014-04-09,1.15
2014-04-10,1.1
2014-04-11,1.05
2014-04-15,1.1
2014-04-16,1.1
2014-04-17,1.15
2014-04-21,1.15
2014-04-22,1.15
2014-04-23,1.1
2014-04-25,1.05
2014-04-28,1.0
2014-04-29,0.95
2014-04-30,1.0
2014-05-02,1.05
2014-05-05,1.0
2014-05-06,1.05
2014-05-07,1.0
2014-05-08,1.0
2014-05-09,0.95
2014-05-12,0.9
2014-05-13,0.9
2014-05-14,0.95
2014-05-15,0.9
2014-05-16,0.95
2014-05-19,1.0
2014-05-20,1.05
2014-05-21,1.1
2014-05-22,1.15
2014-05-23,1.2
2014-05-26,1.25
2014-05-27,1.2
2014-05-28,1.25
2014-05-29,1.3
2014-05-30,1.35
2014-06-02,1.4
2014-06-03,1.45
2014-06-04,1.5
2014-06-05,1.55
2014-06-06,1.6
2014-06-09,1.65
2014-06-10,1.7
2014-06-11,1.75
2014-06-12,1.8
2014-06-13,1.85
2014-06-16,1.9
2014-06-17,1.95
2014-06-18,2.0
2014-06-19,2.1
2014-06-20,2.2
2014-06-23,2.3
2014-06-24,2.4
2014-06-25,2.5
2014-06-26,2.6
2014-06-27,2.7
2014-09-09,2.65
2014-09-10,2.55
2014-09-11,2.65
2014-09-12,2.75
2014-09-15,2.85
2014-09-16,2.95
2014-09-17,3.05
2014-09-18,3.2
2014-09-19,3.35
2014-09-22,3.5
2014-09-23,3.35
2014-09-24,3.2
2014-09-25,3.05
2014-09-26,2.9
2014-09-29,2.95
2014-09-30,2.85
2014-10-01,2.85
2014-10-07,2.8
2014-10-08,2.85
2014-10-09,2.75
2014-10-10,2.65
2014-10-13,2.6
2014-10-14,2.55
2014-10-16,2.5
2014-10-17,2.6
2014-10-20,2.65
2014-10-21,2.65
2014-10-22,2.55
2014-10-23,2.45
2014-10-27,2.35
2014-10-28,2.25
2014-10-29,2.15
2014-10-30,2.25
2014-10-31,2.35
2014-11-03,2.45
2014-11-05,2.55
2014-11-07,2.65
2014-11-10,2.75
2014-11-11,2.7
2014-11-12,2.6
2014-11-13,2.6
2014-11-14,2.7
2014-11-17,2.75
2014-11-18,2.65
2014-11-19,2.6
2014-11-20,2.5
2014-11-21,2.4
2014-11-24,2.35
2014-11-25,2.25
2014-11-26,2.25
2014-11-27,2.15
2014-11-28,2.1
2014-12-01,2.2
2014-12-02,2.3
2014-12-03,2.4
2014-12-04,2.5
2014-12-05,2.6
2014-12-08,2.5
2014-12-09,2.4
2014-12-10,2.3
2014-12-11,2.25
2014-12-12,2.3
2014-12-15,2.2
2014-12-16,2.1
2014-12-17,2.0
2014-12-18,1.9
2014-12-19,1.9
2014-12-22,1.9
2014-12-23,1.95
2014-12-24,2.0
2014-12-26,2.05
2014-12-29,2.15
2014-12-30,2.25
2014-12-31,2.35
2015-01-01,2.3
2015-01-02,2.4
2015-01-05,2.45
2015-01-06,2.35
2015-01-07,2.35
2015-01-08,2.4
2015-01-09,2.3
2015-01-12,2.2
2015-01-13,2.2
2015-01-14,2.15
2015-01-15,2.15
2015-01-16,2.1
2015-01-19,2.05
2015-01-20,2.15
2015-01-21,2.05
2015-01-22,2.0
2015-01-23,1.95
2015-01-27,1.9
