Date,GREENLAM
2015-03-17,449.2
2015-03-18,469.75
2015-03-19,463.0
2015-03-20,452.0
2015-03-23,450.45
2015-03-24,441.6
2015-03-25,436.6
2015-03-26,416.2
2015-03-27,429.45
2015-03-30,439.35
2015-03-31,439.45
2015-04-01,431.85
2015-04-06,436.3
2015-04-07,439.95
2015-04-08,428.9
2015-04-09,438.9
2015-04-10,440.0
2015-04-13,449.9
2015-04-15,433.55
2015-04-16,434.85
2015-04-17,425.35
2015-04-20,416.35
2015-04-21,411.35
2015-04-22,418.7
2015-04-23,410.8
2015-04-24,409.45
2015-04-27,400.05
2015-04-28,400.95
2015-04-29,385.85
2015-04-30,397.55
2015-05-04,402.1
2015-05-05,409.8
2015-05-06,387.3
2015-05-07,376.55
2015-05-08,380.0
2015-05-11,402.75
2015-05-12,401.25
2015-05-13,404.5
2015-05-14,396.3
2015-05-15,394.95
2015-05-18,404.25
2015-05-19,421.05
2015-05-20,436.55
2015-05-21,429.2
2015-05-22,433.8
2015-05-25,436.2
2015-05-26,420.0
2015-05-27,412.45
2015-05-28,419.1
2015-05-29,414.8
2015-06-01,423.35
2015-06-02,411.5
2015-06-03,391.4
2015-06-04,394.5
2015-06-05,375.2
2015-06-08,364.75
2015-06-09,344.85
2015-06-10,349.4
2015-06-11,380.6
2015-06-12,360.2
2015-06-15,351.05
2015-06-16,347.35
2015-06-17,350.0
2015-06-18,349.65
2015-06-19,345.05
2015-06-22,334.55
2015-06-23,339.55
2015-06-24,335.45
2015-06-25,335.05
2015-06-26,333.7
2015-06-29,322.8
2015-06-30,316.2
2015-07-01,312.6
2015-07-02,316.75
2015-07-03,328.95
2015-07-06,315.1
2015-07-07,312.5
2015-07-08,308.45
2015-07-09,314.9
2015-07-10,333.4
2015-07-13,350.9
2015-07-14,353.1
2015-07-15,331.6
2015-07-16,325.3
2015-07-17,324.65
2015-07-20,331.95
2015-07-21,329.75
2015-07-22,329.05
2015-07-23,336.0
2015-07-24,333.6
2015-07-27,329.1
2015-07-28,333.8
2015-07-29,336.8
2015-07-30,339.7
2015-07-31,352.65
2015-08-03,367.05
2015-08-04,403.3
2015-08-05,405.25
2015-08-06,391.75
2015-08-07,386.15
2015-08-10,389.3
2015-08-11,380.5
2015-08-12,374.15
2015-08-13,375.0
2015-08-14,375.0
2015-08-17,378.25
2015-08-18,375.0
2015-08-19,381.55
2015-08-20,379.25
2015-08-21,378.2
2015-08-24,359.55
2015-08-25,368.15
2015-08-26,368.3
2015-08-27,372.85
2015-08-28,361.25
2015-08-31,375.0
2015-09-01,375.75
2015-09-02,375.25
2015-09-03,377.65
2015-09-04,371.85
2015-09-07,358.6
2015-09-08,356.05
2015-09-09,367.95
2015-09-10,376.15
2015-09-11,384.95
2015-09-14,391.05
2015-09-15,387.2
2015-09-16,391.25
2015-09-18,380.65
2015-09-21,382.3
2015-09-22,400.0
2015-09-23,396.05
2015-09-24,399.95
2015-09-28,408.8
2015-09-29,395.9
2015-09-30,390.05
2015-10-01,394.0
2015-10-05,397.1
2015-10-06,391.9
2015-10-07,388.55
2015-10-08,399.8
2015-10-09,402.15
2015-10-12,392.5
2015-10-13,410.0
2015-10-14,407.6
2015-10-15,408.5
2015-10-16,410.35
2015-10-19,416.75
2015-10-20,412.75
2015-10-21,426.1
2015-10-23,411.8
2015-10-26,409.0
2015-10-27,416.65
2015-10-28,407.0
2015-10-29,410.5
2015-10-30,405.55
2015-11-02,420.55
2015-11-03,420.2
2015-11-04,414.4
2015-11-05,408.0
2015-11-06,413.65
2015-11-09,413.3
2015-11-10,400.2
2015-11-11,420.0
2015-11-13,405.45
2015-11-16,410.1
2015-11-17,422.05
2015-11-18,411.45
2015-11-19,410.25
2015-11-20,419.95
2015-11-23,433.6
2015-11-24,439.3
2015-11-26,432.15
2015-11-27,432.0
2015-11-30,434.9
2015-12-01,440.05
2015-12-02,456.65
2015-12-03,458.7
2015-12-04,484.45
2015-12-07,512.95
2015-12-08,532.3
2015-12-09,515.45
2015-12-10,522.8
2015-12-11,529.35
2015-12-14,517.2
2015-12-15,528.45
2015-12-16,526.2
2015-12-17,528.55
2015-12-18,536.0
2015-12-21,557.2
2015-12-22,570.2
2015-12-23,612.75
2015-12-24,594.55
2015-12-28,567.3
2015-12-29,573.35
2015-12-30,563.55
2015-12-31,570.35
2016-01-01,617.6
2016-01-04,604.1
2016-01-05,599.0
2016-01-06,580.4
2016-01-07,570.2
2016-01-08,595.2
2016-01-11,588.05
2016-01-12,627.35
2016-01-13,599.1
2016-01-14,596.2
2016-01-15,572.2
2016-01-18,555.9
2016-01-19,596.65
2016-01-20,556.25
2016-01-21,557.0
2016-01-22,572.9
2016-01-25,573.65
2016-01-27,571.05
2016-01-28,557.3
2016-01-29,556.75
2016-02-01,538.05
2016-02-02,532.9
2016-02-03,503.0
2016-02-04,498.55
2016-02-05,512.65
2016-02-08,510.7
2016-02-09,520.55
2016-02-10,507.35
2016-02-11,454.8
2016-02-12,463.55
2016-02-15,481.35
2016-02-16,475.85
2016-02-17,482.2
2016-02-18,477.65
2016-02-19,463.75
2016-02-22,502.7
2016-02-23,483.1
2016-02-24,485.0
2016-02-25,459.05
2016-02-26,465.55
2016-02-29,492.25
2016-03-01,512.55
2016-03-02,503.0
2016-03-03,509.0
2016-03-04,489.75
2016-03-08,473.7
2016-03-09,484.75
2016-03-10,484.95
2016-03-11,475.45
2016-03-14,478.45
2016-03-15,478.2
2016-03-16,488.0
2016-03-17,487.0
2016-03-18,485.95
2016-03-21,490.05
2016-03-22,480.5
2016-03-23,480.15
2016-03-28,484.55
2016-03-29,493.3
2016-03-30,478.2
2016-03-31,497.9
2016-04-01,523.8
2016-04-04,549.75
2016-04-05,572.45
2016-04-06,558.65
2016-04-07,575.6
2016-04-08,566.2
2016-04-11,561.8
2016-04-12,564.45
2016-04-13,578.55
2016-04-18,606.65
2016-04-20,597.0
2016-04-21,603.35
2016-04-22,598.0
2016-04-25,596.3
2016-04-26,594.7
2016-04-27,590.7
2016-04-28,593.45
2016-04-29,602.45
2016-05-02,618.3
2016-05-03,593.2
2016-05-04,610.95
2016-05-05,590.9
2016-05-06,603.15
2016-05-09,602.0
2016-05-10,600.3
2016-05-11,605.35
2016-05-12,602.5
2016-05-13,616.8
2016-05-16,599.25
2016-05-17,608.85
2016-05-18,612.8
2016-05-19,598.55
2016-05-20,592.0
2016-05-23,616.15
2016-05-24,615.1
2016-05-25,595.5
2016-05-26,633.45
2016-05-27,630.0
2016-05-30,611.25
2016-05-31,615.75
2016-06-01,623.4
2016-06-02,626.75
2016-06-03,619.75
2016-06-06,599.95
2016-06-07,612.35
2016-06-08,619.05
2016-06-09,639.1
2016-06-10,629.05
2016-06-13,628.4
2016-06-14,615.45
2016-06-15,657.75
2016-06-16,633.35
2016-06-17,625.7
2016-06-20,643.75
2016-06-21,629.55
2016-06-22,633.75
2016-06-23,615.8
2016-06-24,647.7
2016-06-27,625.6
2016-06-28,605.4
2016-06-29,612.8
2016-06-30,618.25
2016-07-01,630.3
2016-07-04,627.0
2016-07-05,625.25
2016-07-07,625.05
2016-07-08,650.9
2016-07-11,658.0
2016-07-12,646.95
2016-07-13,635.2
2016-07-14,635.15
2016-07-15,654.9
2016-07-18,658.55
2016-07-19,654.8
2016-07-20,685.45
2016-07-21,674.5
2016-07-22,697.5
2016-07-25,717.35
2016-07-26,701.55
2016-07-27,738.85
2016-07-28,740.15
2016-07-29,737.1
2016-08-01,735.45
2016-08-02,735.6
2016-08-03,742.45
2016-08-04,748.55
2016-08-05,743.95
2016-08-08,749.55
2016-08-09,740.15
2016-08-10,717.45
2016-08-11,720.25
2016-08-12,719.35
2016-08-16,718.6
2016-08-17,715.0
2016-08-18,723.85
2016-08-19,716.25
2016-08-22,712.0
2016-08-23,695.6
2016-08-24,704.95
2016-08-25,708.65
2016-08-26,713.0
2016-08-29,700.0
2016-08-30,703.5
2016-08-31,679.65
2016-09-01,690.25
2016-09-02,701.35
2016-09-06,691.55
2016-09-07,700.9
2016-09-08,700.0
2016-09-09,717.0
2016-09-12,720.9
2016-09-14,714.55
2016-09-15,731.15
2016-09-16,723.35
2016-09-19,721.95
2016-09-20,703.5
2016-09-21,720.15
2016-09-22,727.8
2016-09-23,720.2
2016-09-26,725.95
2016-09-27,728.0
2016-09-28,749.55
2016-09-29,737.3
2016-09-30,734.75
2016-10-03,728.0
2016-10-04,755.0
2016-10-05,765.25
2016-10-06,793.6
2016-10-07,787.0
2016-10-10,783.4
2016-10-13,786.1
2016-10-14,843.85
2016-10-17,848.95
2016-10-18,800.0
2016-10-19,758.7
2016-10-20,733.7
2016-10-21,729.3
2016-10-24,731.9
2016-10-25,734.95
2016-10-26,716.45
2016-10-27,734.8
2016-10-28,722.0
2016-10-30,747.85
2016-11-01,745.95
2016-11-02,723.45
2016-11-03,721.05
2016-11-04,707.9
2016-11-07,712.0
2016-11-08,714.0
2016-11-09,726.8
2016-11-10,712.0
2016-11-11,720.75
2016-11-15,607.05
2016-11-16,620.5
2016-11-17,605.0
2016-11-18,603.75
2016-11-21,597.5
2016-11-22,615.95
2016-11-23,620.8
2016-11-24,663.1
2016-11-25,654.05
2016-11-28,670.0
2016-11-29,677.15
2016-11-30,657.85
2016-12-01,686.1
2016-12-02,700.35
2016-12-05,678.65
2016-12-06,668.6
2016-12-07,638.3
2016-12-08,643.0
2016-12-09,643.95
2016-12-12,644.2
2016-12-13,630.15
2016-12-14,639.4
2016-12-15,643.4
2016-12-16,607.6
2016-12-19,625.85
2016-12-20,609.0
2016-12-21,612.7
2016-12-22,594.8
2016-12-23,580.7
2016-12-26,606.9
2016-12-27,605.7
2016-12-28,597.4
2016-12-29,602.75
2016-12-30,596.1
2017-01-02,623.7
2017-01-03,636.8
2017-01-04,610.3
2017-01-05,624.8
2017-01-06,624.5
2017-01-09,623.0
2017-01-10,614.55
2017-01-11,615.0
2017-01-12,615.0
2017-01-13,616.0
2017-01-16,616.55
2017-01-17,627.0
2017-01-18,629.0
2017-01-19,622.5
2017-01-20,625.0
2017-01-23,626.45
2017-01-24,627.7
2017-01-25,630.4
2017-01-27,643.8
2017-01-30,647.3
2017-01-31,630.8
2017-02-01,633.85
2017-02-02,640.15
2017-02-03,680.25
2017-02-06,669.7
2017-02-07,661.9
2017-02-08,660.6
2017-02-09,655.9
2017-02-10,662.9
2017-02-13,670.95
2017-02-14,668.6
2017-02-15,652.55
2017-02-16,672.05
2017-02-17,669.6
2017-02-20,671.25
2017-02-21,676.65
2017-02-22,660.9
2017-02-23,647.0
2017-02-27,637.75
2017-02-28,630.15
2017-03-01,649.85
2017-03-02,649.85
2017-03-03,632.5
2017-03-06,648.85
2017-03-07,646.4
2017-03-08,637.45
2017-03-09,650.2
2017-03-10,639.2
2017-03-14,647.7
2017-03-15,653.3
2017-03-16,654.1
2017-03-17,660.05
2017-03-20,659.75
2017-03-21,650.6
2017-03-22,650.75
2017-03-23,646.8
2017-03-24,649.95
2017-03-27,650.0
2017-03-28,647.2
2017-03-29,652.95
2017-03-30,657.15
2017-03-31,658.0
2017-04-03,675.75
2017-04-05,688.75
2017-04-06,664.65
2017-04-07,670.35
2017-04-10,678.05
2017-04-11,677.55
2017-04-12,680.25
2017-04-13,672.25
2017-04-17,675.65
2017-04-18,669.8
2017-04-19,660.4
2017-04-20,660.05
2017-04-21,661.95
2017-04-24,669.7
2017-04-25,683.6
2017-04-26,680.95
2017-04-27,681.05
2017-04-28,674.6
2017-05-02,676.6
2017-05-03,662.0
2017-05-04,653.65
2017-05-05,642.65
2017-05-08,645.35
2017-05-09,641.05
2017-05-10,642.0
2017-05-11,652.45
2017-05-12,650.9
2017-05-15,664.7
2017-05-16,660.3
2017-05-17,665.65
2017-05-18,667.3
2017-05-19,665.1
2017-05-22,682.15
2017-05-23,728.35
2017-05-24,724.3
2017-05-25,730.2
2017-05-26,776.85
2017-05-29,774.95
2017-05-30,765.15
2017-05-31,770.9
2017-06-01,786.1
2017-06-02,816.0
2017-06-05,846.85
2017-06-06,846.8
2017-06-07,844.4
2017-06-08,869.45
2017-06-09,871.65
2017-06-12,889.45
2017-06-13,854.25
2017-06-14,828.3
2017-06-15,802.55
2017-06-16,803.65
2017-06-19,838.35
2017-06-20,813.25
2017-06-21,854.65
2017-06-22,855.0
2017-06-23,831.35
2017-06-27,804.7
2017-06-28,803.9
2017-06-29,804.85
2017-06-30,824.15
2017-07-03,848.45
2017-07-04,860.45
2017-07-05,892.95
2017-07-06,875.0
2017-07-07,904.4
2017-07-10,914.45
2017-07-11,937.5
2017-07-12,936.5
2017-07-13,937.65
2017-07-14,947.3
2017-07-17,941.6
2017-07-18,920.1
2017-07-19,916.65
2017-07-20,935.9
2017-07-21,933.55
2017-07-24,931.15
2017-07-25,946.55
2017-07-26,931.65
2017-07-27,936.95
2017-07-28,905.05
2017-07-31,900.25
2017-08-01,902.3
2017-08-02,905.0
2017-08-03,895.05
