Date,MARKSANS
2013-06-14,5.7
2013-06-17,5.95
2013-06-18,5.7
2013-06-19,5.65
2013-06-20,5.85
2013-06-21,5.8
2013-06-24,6.05
2013-06-25,6.35
2013-06-26,6.65
2013-06-27,6.95
2013-06-28,7.25
2013-07-01,7.5
2013-07-02,7.85
2013-07-03,8.2
2013-07-04,8.6
2013-07-05,9.0
2013-07-08,9.45
2013-07-09,9.9
2013-07-10,10.35
2013-07-11,10.85
2013-07-12,10.35
2013-07-15,9.85
2013-07-16,9.4
2013-07-17,8.95
2013-07-18,8.55
2013-07-19,8.95
2013-07-22,9.3
2013-07-23,9.75
2013-07-24,10.05
2013-07-25,9.55
2013-07-26,9.1
2013-07-29,9.55
2013-07-30,9.1
2013-07-31,8.85
2013-08-01,8.45
2013-08-02,8.05
2013-08-05,7.65
2013-08-06,7.3
2013-08-07,6.95
2013-08-08,7.25
2013-08-12,7.6
2013-08-13,7.95
2013-08-14,8.3
2013-08-16,7.9
2013-08-19,7.55
2013-08-20,7.7
2013-08-21,7.35
2013-08-22,7.6
2013-08-23,7.35
2013-08-26,7.3
2013-08-27,6.95
2013-08-28,6.7
2013-08-29,6.5
2013-08-30,6.25
2013-09-02,6.55
2013-09-03,6.4
2013-09-04,6.7
2013-09-05,7.0
2013-09-06,7.7
2013-09-10,7.65
2013-09-11,8.35
2013-09-12,7.85
2013-09-13,7.95
2013-09-16,7.8
2013-09-17,8.05
2013-09-18,7.9
2013-09-19,7.75
2013-09-20,7.45
2013-09-23,7.7
2013-09-24,7.75
2013-09-25,7.6
2013-09-26,7.75
2013-09-27,8.0
2013-09-30,8.8
2013-10-01,9.65
2013-10-03,10.1
2013-10-04,9.6
2013-10-07,9.15
2013-10-08,9.6
2013-10-09,9.85
2013-10-10,9.65
2013-10-11,10.05
2013-10-14,9.95
2013-10-15,9.65
2013-10-17,9.35
2013-10-18,9.8
2013-10-21,9.55
2013-10-22,9.6
2013-10-23,9.4
2013-10-24,9.45
2013-10-25,9.4
2013-10-28,9.3
2013-10-29,9.1
2013-10-30,9.5
2013-10-31,9.2
2013-11-01,9.15
2013-11-03,9.6
2013-11-05,10.05
2013-11-06,10.55
2013-11-07,10.6
2013-11-08,11.45
2013-11-11,12.55
2013-11-12,12.0
2013-11-13,11.8
2013-11-14,11.95
2013-11-18,12.85
2013-11-19,13.05
2013-11-20,12.75
2013-11-21,12.1
2013-11-22,11.45
2013-11-25,11.85
2013-11-26,11.5
2013-11-27,11.9
2013-11-28,11.7
2013-11-29,12.25
2013-12-02,13.45
2013-12-03,13.85
2013-12-04,13.75
2013-12-05,13.35
2013-12-06,13.4
2013-12-09,13.05
2013-12-10,13.4
2013-12-11,13.0
2013-12-12,13.25
2013-12-13,13.2
2013-12-16,14.45
2013-12-17,14.9
2013-12-18,16.0
2013-12-19,17.05
2013-12-20,17.1
2013-12-23,17.95
2013-12-24,18.8
2013-12-26,19.7
2013-12-27,19.2
2013-12-30,18.25
2013-12-31,17.6
2014-01-01,18.45
2014-01-02,18.55
2014-01-03,19.4
2014-01-06,20.0
2014-01-07,20.15
2014-01-08,19.15
2014-01-09,18.45
2014-01-10,18.0
