Date,RAMKY
2013-01-01,99.7
2013-01-02,111.05
2013-01-03,125.1
2013-01-04,122.6
2013-01-07,127.35
2013-01-08,127.85
2013-01-09,120.8
2013-01-10,112.6
2013-01-11,103.55
2013-01-14,109.9
2013-01-15,114.25
2013-01-16,113.0
2013-01-17,115.35
2013-01-18,111.0
2013-01-21,107.8
2013-01-22,109.8
2013-01-23,106.45
2013-01-24,100.85
2013-01-25,100.85
2013-01-28,101.1
2013-01-29,100.45
2013-01-30,98.65
2013-01-31,97.45
2013-02-01,98.65
2013-02-04,97.75
2013-02-05,94.7
2013-02-06,92.25
2013-02-07,89.25
2013-02-08,85.3
2013-02-11,83.3
2013-02-12,82.05
2013-02-13,81.65
2013-02-14,76.75
2013-02-15,74.25
2013-02-18,77.7
2013-02-19,79.8
2013-02-20,80.0
2013-02-21,76.7
2013-02-22,75.55
2013-02-25,73.65
2013-02-26,70.7
2013-02-27,70.8
2013-02-28,69.65
2013-03-01,68.7
2013-03-04,64.35
2013-03-05,63.6
2013-03-06,67.35
2013-03-07,69.0
2013-03-08,67.9
2013-03-11,68.6
2013-03-12,67.75
2013-03-13,67.1
2013-03-14,67.15
2013-03-15,66.15
2013-03-18,65.2
2013-03-19,62.2
2013-03-20,58.5
2013-03-21,57.95
2013-03-22,54.2
2013-03-25,52.3
2013-03-26,54.1
2013-03-28,55.5
2013-04-01,54.2
2013-04-02,63.7
2013-04-03,66.7
2013-04-04,63.5
2013-04-05,62.2
2013-04-08,61.75
2013-04-09,62.15
2013-04-10,61.4
2013-04-11,61.05
2013-04-12,59.25
2013-04-15,59.2
2013-04-16,64.0
2013-04-17,63.8
2013-04-18,63.75
2013-04-22,63.6
2013-04-23,66.65
2013-04-25,67.05
2013-04-26,64.25
2013-04-29,63.9
2013-04-30,64.95
2013-05-02,66.0
2013-05-03,65.2
2013-05-06,66.3
2013-05-07,66.45
2013-05-08,66.25
2013-05-09,66.25
2013-05-10,66.0
2013-05-11,65.95
2013-05-13,63.85
2013-05-14,65.8
2013-05-15,71.9
2013-05-16,67.9
2013-05-17,68.6
2013-05-20,66.95
2013-05-21,66.05
2013-05-22,64.9
2013-05-23,63.2
2013-05-24,63.0
2013-05-27,62.75
2013-05-28,63.65
2013-05-29,62.35
2013-05-30,61.2
2013-05-31,58.55
2013-06-03,58.15
2013-06-04,58.15
2013-06-05,58.3
2013-06-06,57.1
2013-06-07,56.4
2013-06-10,55.7
2013-06-11,52.6
2013-06-12,50.2
2013-06-13,50.5
2013-06-14,52.1
2013-06-17,52.45
2013-06-18,51.9
2013-06-19,51.1
2013-06-20,50.35
2013-06-21,49.55
2013-06-24,48.05
2013-06-25,47.95
2013-06-26,46.25
2013-06-27,45.15
2013-06-28,46.05
2013-07-01,48.85
2013-07-02,49.05
2013-07-03,47.05
2013-07-04,47.85
2013-07-05,47.5
2013-07-08,45.95
2013-07-09,47.9
2013-07-10,47.5
2013-07-11,48.15
2013-07-12,52.1
2013-07-15,51.6
2013-07-16,49.3
2013-07-17,49.3
2013-07-18,48.55
2013-07-19,48.05
2013-07-22,47.2
2013-07-23,47.3
2013-07-24,47.15
2013-07-25,46.15
2013-07-26,43.95
2013-07-29,42.05
2013-07-30,40.3
2013-07-31,38.95
2013-08-01,39.45
2013-08-02,37.65
2013-08-05,37.8
2013-08-06,35.0
2013-08-07,36.15
2013-08-08,37.0
2013-08-12,37.7
2013-08-13,39.95
2013-08-14,39.35
2013-08-16,35.45
2013-08-19,33.9
2013-08-20,34.25
2013-08-21,33.95
2013-08-22,32.45
2013-08-23,32.5
2013-08-26,32.95
2013-08-27,32.45
2013-08-28,31.6
2013-08-29,32.65
2013-08-30,32.45
2013-09-02,32.3
2013-09-03,31.5
2013-09-04,31.7
2013-09-05,34.75
2013-09-06,33.95
2013-09-10,34.9
2013-09-11,39.25
2013-09-12,38.45
2013-09-13,38.5
2013-09-16,37.65
2013-09-17,37.7
2013-09-18,37.6
2013-09-19,39.15
2013-09-20,37.5
