Date,CHROMATIC
2013-01-01,124.8
2013-01-02,125.4
2013-01-03,125.35
2013-01-04,130.25
2013-01-07,129.85
2013-01-08,125.15
2013-01-09,125.2
2013-01-10,124.85
2013-01-11,125.8
2013-01-14,124.9
2013-01-15,126.4
2013-01-16,126.7
2013-01-17,126.3
2013-01-18,125.35
2013-01-21,126.0
2013-01-22,124.7
2013-01-23,130.6
2013-01-24,130.9
2013-01-25,129.9
2013-01-28,137.15
2013-01-29,135.65
2013-01-30,142.6
2013-01-31,137.85
2013-02-01,139.8
2013-02-04,138.5
2013-02-05,139.25
2013-02-06,138.2
2013-02-07,138.3
2013-02-08,140.7
2013-02-11,146.8
2013-02-12,144.85
2013-02-13,143.75
2013-02-14,140.3
2013-02-15,131.05
2013-02-18,104.85
2013-02-19,94.4
2013-02-20,85.0
2013-02-21,76.5
2013-02-22,72.7
2013-02-25,69.1
2013-02-26,65.65
2013-02-27,62.4
2013-02-28,59.3
2013-03-01,56.35
2013-03-04,53.55
2013-03-05,50.9
2013-03-06,48.4
2013-03-07,46.0
2013-03-08,43.7
2013-03-11,41.55
2013-03-12,39.5
2013-03-13,37.55
2013-03-14,35.7
2013-03-15,33.95
2013-03-18,32.3
2013-03-19,30.7
2013-03-20,29.2
2013-03-21,27.75
2013-03-22,26.4
2013-03-25,25.1
2013-03-26,23.85
2013-03-28,22.7
2013-04-01,21.6
2013-04-02,20.55
2013-04-03,19.55
2013-04-04,18.6
2013-04-05,17.7
2013-04-08,16.85
2013-04-09,16.05
2013-04-10,15.25
2013-04-11,14.5
2013-04-12,13.8
2013-04-15,13.15
2013-04-16,12.5
2013-04-17,11.9
2013-04-18,11.35
2013-04-22,10.8
2013-04-23,10.3
2013-04-25,9.8
2013-04-26,9.35
2013-04-29,8.9
2013-04-30,8.5
2013-05-02,8.1
2013-05-03,7.7
2013-05-06,7.35
2013-05-07,7.0
2013-05-08,6.65
2013-05-09,6.35
2013-05-10,6.05
2013-05-11,5.75
2013-05-13,5.5
2013-05-14,5.25
2013-05-15,5.0
2013-05-16,4.95
2013-05-17,5.15
2013-05-20,4.9
2013-05-21,4.7
2013-05-22,4.5
2013-05-23,4.3
2013-05-24,4.1
2013-05-27,4.3
2013-05-28,4.5
2013-05-29,4.7
2013-05-30,4.75
2013-05-31,4.55
2013-06-03,4.35
2013-06-04,4.15
2013-06-05,4.1
2013-06-06,4.2
2013-06-07,4.4
2013-06-10,4.2
2013-06-11,4.15
2013-06-12,4.3
2013-06-13,4.4
2013-06-14,4.55
2013-06-17,4.6
2013-06-18,4.4
2013-06-19,4.25
2013-06-20,4.2
2013-06-21,4.35
2013-06-24,4.15
2013-06-25,4.2
2013-06-26,4.05
2013-06-27,4.0
2013-06-28,4.2
2013-07-01,4.2
2013-07-02,4.2
2013-07-03,4.05
2013-07-04,4.2
2013-07-05,4.25
2013-07-08,4.05
2013-07-09,4.1
2013-07-10,3.9
2013-07-11,3.9
2013-07-12,3.85
2013-07-15,3.8
2013-07-16,4.15
2013-07-17,4.55
2013-07-18,4.85
2013-07-19,5.2
2013-07-22,4.95
2013-07-23,4.95
2013-07-24,4.75
2013-07-25,4.55
2013-07-26,4.35
2013-07-29,4.2
2013-07-30,4.3
2013-07-31,4.25
2013-08-01,4.05
2013-08-02,3.85
2013-08-05,3.95
2013-08-06,4.05
2013-08-07,3.95
2013-08-08,4.0
2013-08-12,4.1
2013-08-13,4.3
2013-08-14,4.5
2013-08-16,4.65
2013-08-19,4.8
2013-08-20,4.95
2013-08-21,4.9
2013-08-22,4.9
2013-08-23,4.95
2013-08-26,5.05
2013-08-27,4.95
2013-08-28,5.15
2013-08-29,5.35
2013-11-29,4.9
2013-12-02,4.7
2013-12-03,4.8
2013-12-04,4.7
2013-12-05,4.75
2013-12-06,4.9
2013-12-09,5.1
2013-12-10,5.35
2013-12-11,5.6
2013-12-12,5.85
2013-12-13,6.1
2013-12-16,6.4
2013-12-17,6.7
2013-12-18,6.4
2013-12-19,6.1
2014-03-03,3.6
2014-03-04,3.75
2014-03-05,3.9
2014-03-06,4.05
2014-03-07,4.25
2014-03-10,4.45
2014-03-11,4.65
2014-03-12,4.45
2014-03-13,4.25
2014-03-14,4.1
2014-03-18,4.3
2014-03-19,4.3
2014-03-20,4.25
2014-03-21,4.25
2014-03-22,4.4
2014-03-24,4.2
2014-03-25,4.25
2014-03-26,4.1
2014-03-27,4.0
2014-03-28,3.85
2014-03-31,3.7
2014-04-01,3.85
2014-04-02,4.0
2014-04-03,3.95
2014-04-04,4.0
2014-04-07,4.15
2014-04-09,4.05
2014-04-10,3.95
2014-04-11,3.9
2014-04-15,3.9
2014-04-16,3.95
2014-04-17,4.0
2014-04-21,4.05
2014-04-22,4.25
2014-04-23,4.45
2014-04-25,4.65
2014-04-28,4.85
2014-04-29,5.05
2014-04-30,5.3
2014-05-02,5.55
2014-05-05,5.8
2014-05-06,6.05
2014-05-07,5.95
2014-05-08,5.7
2014-06-13,5.25
2014-06-16,5.05
2014-06-17,5.25
2014-06-18,5.1
2014-06-19,4.95
2014-06-20,5.0
2014-06-23,4.85
2014-06-24,5.05
2014-06-25,4.9
2014-06-26,4.75
2014-06-27,4.85
2014-06-30,5.0
2014-07-01,5.2
2014-07-02,4.95
2014-07-03,4.85
2014-07-04,4.9
2014-07-07,5.1
2014-07-08,4.95
2014-07-09,4.6
2014-07-10,4.65
2014-07-11,4.5
2014-07-14,4.15
2014-07-15,4.25
2014-07-16,4.5
2014-07-17,4.4
2014-07-18,4.25
2014-07-21,4.1
2014-07-22,4.0
2014-07-23,4.05
2014-07-24,4.45
2014-07-25,4.85
2014-07-28,4.6
2014-07-30,4.65
2014-07-31,4.45
2014-08-01,4.3
2014-08-04,5.15
2014-08-05,5.1
2014-08-06,5.0
2014-08-07,4.9
2014-08-08,4.9
2014-08-11,5.05
2014-08-12,4.95
2014-08-13,4.8
2014-08-14,4.2
2014-08-18,4.1
2014-08-19,4.5
2014-08-20,4.6
2014-08-21,4.75
2014-08-22,4.5
2014-08-25,4.4
2014-08-26,4.15
2014-08-27,4.15
2014-08-28,4.15
2014-09-01,4.4
2014-09-02,4.3
2014-09-03,4.25
2014-09-04,4.25
2014-09-05,4.25
2014-09-08,5.1
2014-09-09,5.4
2014-09-10,5.1
2014-09-11,5.2
2014-09-12,5.25
2014-09-15,5.5
2014-09-16,5.1
2014-09-17,5.15
2014-09-18,4.9
2014-09-19,4.95
2014-09-22,4.85
2014-09-23,4.75
2014-09-24,4.55
2014-09-25,4.55
2014-09-26,4.3
2014-09-29,4.65
2014-09-30,4.6
2014-10-01,4.4
2014-10-07,4.3
2014-10-08,4.5
2014-10-09,4.5
2014-10-10,4.3
2014-10-13,4.45
2014-10-14,4.35
2014-10-16,4.2
2014-10-17,4.15
2014-10-20,4.15
2014-10-21,4.0
2014-10-22,4.45
2014-10-23,4.55
2014-10-27,4.25
2014-10-28,4.55
2014-10-29,4.7
2014-10-30,4.85
2014-10-31,5.65
2014-11-03,5.7
2014-11-05,5.2
2014-11-07,5.1
2014-11-10,5.05
2014-11-11,4.8
2014-11-12,5.05
2014-11-13,4.85
2014-11-14,5.15
2014-11-17,5.2
2014-11-18,5.1
2014-11-19,5.0
2014-11-20,5.0
2014-11-21,4.9
2014-11-24,4.85
2014-11-25,4.8
2014-11-26,4.7
2014-11-27,4.6
2014-11-28,4.5
2014-12-01,4.55
2014-12-02,4.5
2014-12-03,4.3
2014-12-04,4.35
2014-12-05,4.4
2014-12-08,4.3
2014-12-09,4.25
2014-12-10,4.35
2014-12-11,4.2
2014-12-12,4.1
2014-12-15,4.0
2014-12-16,3.75
2014-12-17,3.65
2014-12-18,3.95
2014-12-19,3.95
2014-12-22,3.9
2014-12-23,3.6
2014-12-24,3.8
2014-12-26,3.9
2014-12-29,3.75
2014-12-30,3.6
2014-12-31,3.65
2015-01-01,3.9
2015-01-02,3.95
2015-01-05,4.0
2015-01-06,3.7
2015-01-07,3.7
