Date,LGBBROSLTD
2013-01-01,250.6
2013-01-02,257.25
2013-01-03,261.0
2013-01-04,260.0
2013-01-07,255.0
2013-01-08,254.95
2013-01-09,257.7
2013-01-10,257.1
2013-01-11,253.55
2013-01-14,252.5
2013-01-15,254.9
2013-01-16,251.15
2013-01-17,252.0
2013-01-18,249.2
2013-01-21,248.9
2013-01-22,246.4
2013-01-23,243.85
2013-01-24,244.35
2013-01-25,249.6
2013-01-28,250.0
2013-01-29,252.0
2013-01-30,243.8
2013-01-31,242.25
2013-02-01,243.55
2013-02-04,245.2
2013-02-05,243.55
2013-02-06,245.65
2013-02-07,242.15
2013-02-08,239.95
2013-02-11,231.35
2013-02-12,230.45
2013-02-13,230.35
2013-02-14,224.5
2013-02-15,225.05
2013-02-18,233.55
2013-02-19,234.0
2013-02-20,233.0
2013-02-21,232.15
2013-02-22,227.05
2013-02-25,218.95
2013-02-26,224.95
2013-02-27,222.0
2013-02-28,218.25
2013-03-01,224.15
2013-03-04,218.35
2013-03-05,219.6
2013-03-06,217.25
2013-03-07,216.9
2013-03-08,217.25
2013-03-11,210.25
2013-03-12,213.4
2013-03-13,210.2
2013-03-14,212.35
2013-03-15,209.05
2013-03-18,211.95
2013-03-19,207.2
2013-03-20,202.85
2013-03-21,200.1
2013-03-22,198.65
2013-03-25,199.0
2013-03-26,190.45
2013-03-28,182.15
2013-04-01,191.9
2013-04-02,195.65
2013-04-03,193.4
2013-04-04,192.1
2013-04-05,192.8
2013-04-08,197.9
2013-04-09,197.65
2013-04-10,190.55
2013-04-11,194.0
2013-04-12,194.0
2013-04-15,188.75
2013-04-16,188.2
2013-04-17,190.45
2013-04-18,192.05
2013-04-22,193.65
2013-04-23,193.25
2013-04-25,197.8
2013-04-26,194.9
2013-04-29,192.1
2013-04-30,190.25
2013-05-02,192.7
2013-05-03,188.85
2013-05-06,190.1
2013-05-07,189.25
2013-05-08,189.15
2013-05-09,186.55
2013-05-10,192.8
2013-05-11,194.85
2013-05-13,190.0
2013-05-14,190.5
2013-05-15,188.6
2013-05-16,188.0
2013-05-17,189.0
2013-05-20,190.5
2013-05-21,190.25
2013-05-22,192.0
2013-05-23,191.95
2013-05-24,189.15
2013-05-27,190.0
2013-05-28,190.85
2013-05-29,188.25
2013-05-30,189.6
2013-05-31,188.05
2013-06-03,185.0
2013-06-04,188.7
2013-06-05,186.15
2013-06-06,188.95
2013-06-07,185.45
2013-06-10,185.0
2013-06-11,180.2
2013-06-12,180.15
2013-06-13,180.1
2013-06-14,181.9
2013-06-17,185.0
2013-06-18,183.0
2013-06-19,182.45
2013-06-20,182.0
2013-06-21,181.1
2013-06-24,178.1
2013-06-25,177.0
2013-06-26,177.0
2013-06-27,177.0
2013-06-28,179.75
2013-07-01,176.9
2013-07-02,177.0
2013-07-03,173.05
2013-07-04,169.5
2013-07-05,169.45
2013-07-08,160.1
2013-07-09,171.0
2013-07-10,171.0
2013-07-11,169.0
2013-07-12,172.0
2013-07-15,168.25
2013-07-16,170.05
2013-07-17,178.0
2013-07-18,173.95
2013-07-19,179.0
2013-07-22,170.1
2013-07-23,167.55
2013-07-24,170.0
2013-07-25,170.9
2013-07-26,161.2
2013-07-29,170.0
2013-07-30,166.1
2013-07-31,160.0
2013-08-01,169.75
2013-08-05,170.0
2013-08-06,155.0
2013-08-07,155.0
2013-08-08,155.0
2013-08-12,162.95
2013-08-14,170.0
2013-08-16,162.0
2013-08-19,157.0
2013-08-20,158.0
2013-08-22,161.0
2013-08-23,165.85
2013-08-26,166.0
2013-08-27,165.0
2013-08-29,167.0
2013-08-30,152.2
2013-09-03,159.95
2013-09-04,166.85
2013-09-05,172.0
2013-09-06,170.0
2013-09-10,163.0
2013-09-11,163.5
2013-09-12,170.0
2013-09-13,175.0
2013-09-16,170.0
2013-09-17,170.0
2013-09-18,165.0
2013-09-19,170.0
2013-09-20,170.0
2013-09-23,170.1
2013-09-24,171.1
2013-09-25,170.15
2013-09-26,170.1
2013-09-27,170.1
2013-09-30,170.1
2013-10-01,177.0
2013-10-03,177.0
2013-10-04,176.4
2013-10-08,177.0
2013-10-09,177.0
2013-10-10,179.0
2013-10-11,178.0
2013-10-14,179.0
2013-10-15,179.3
2013-10-17,180.1
2013-10-18,190.0
2013-10-21,190.0
2013-10-22,192.0
2013-10-23,192.05
2013-10-24,190.1
2013-10-28,190.05
2013-10-29,190.05
2013-10-30,190.0
2013-10-31,213.0
2013-11-01,217.0
2013-11-03,225.0
2013-11-05,230.0
2013-11-06,223.0
2013-11-07,226.0
2013-11-08,224.0
2013-11-11,222.1
2013-11-12,222.1
2013-11-13,220.0
2013-11-14,220.0
2013-11-18,225.0
2013-11-19,230.0
2013-11-20,225.0
2013-11-21,225.0
2013-11-22,225.0
2013-11-25,225.0
2013-11-26,225.1
2013-11-27,225.0
2013-11-29,226.25
2013-12-02,230.0
2013-12-03,226.0
2013-12-04,230.0
2013-12-05,230.0
2013-12-06,249.95
2013-12-09,228.9
2013-12-10,220.0
2013-12-11,223.0
2013-12-12,222.5
2013-12-13,228.25
2013-12-16,228.25
2013-12-17,227.95
2013-12-18,226.6
2013-12-19,228.9
2013-12-20,240.0
2013-12-23,253.25
2013-12-24,258.0
2013-12-26,255.0
2013-12-27,240.0
2013-12-30,252.5
2013-12-31,256.0
2014-01-01,262.0
2014-01-02,264.75
2014-01-03,263.0
2014-01-06,264.0
2014-01-07,271.0
2014-01-08,275.0
2014-01-09,277.9
2014-01-10,275.3
2014-01-13,276.55
2014-01-14,275.55
2014-01-15,275.3
2014-01-16,280.85
2014-01-17,283.4
2014-01-20,286.65
2014-01-21,287.45
2014-01-22,286.2
2014-01-23,287.35
2014-01-24,286.95
2014-01-27,285.85
2014-01-28,286.65
2014-01-29,287.1
2014-01-30,291.4
2014-01-31,295.65
2014-02-03,294.35
2014-02-04,286.35
2014-02-05,283.9
2014-02-06,315.15
2014-02-07,304.3
2014-02-10,303.65
2014-02-11,307.05
2014-02-12,310.1
2014-02-13,311.55
2014-02-14,312.75
2014-02-17,312.6
2014-02-18,325.55
2014-02-19,321.4
2014-02-20,320.2
2014-02-21,321.8
2014-02-24,324.75
2014-02-25,321.9
2014-02-26,322.95
2014-02-28,322.5
2014-03-03,320.2
2014-03-04,323.85
2014-03-05,322.5
2014-03-06,321.45
2014-03-07,322.3
2014-03-10,318.75
2014-03-11,317.4
2014-03-12,323.35
2014-03-13,319.1
2014-03-14,313.35
2014-03-18,324.25
2014-03-19,328.4
2014-03-20,325.75
2014-03-21,330.2
2014-03-22,331.65
2014-03-24,337.1
2014-03-25,356.85
2014-03-26,356.25
2014-03-27,357.15
2014-03-28,368.05
2014-03-31,404.45
2014-04-01,416.6
2014-04-02,442.3
2014-04-03,419.35
2014-04-04,418.15
2014-04-07,437.3
2014-04-09,445.0
2014-04-10,443.35
2014-04-11,447.15
2014-04-15,445.5
2014-04-16,428.7
2014-04-17,441.5
2014-04-21,437.45
2014-04-22,432.75
2014-04-23,428.7
2014-04-25,425.05
2014-04-28,434.1
2014-04-29,431.7
2014-04-30,428.0
2014-05-02,424.9
2014-05-05,418.95
2014-05-06,449.7
2014-05-07,443.2
2014-05-08,453.75
2014-05-09,469.3
2014-05-12,461.0
2014-05-13,470.35
2014-05-14,470.6
2014-05-15,558.6
2014-05-16,532.75
2014-05-19,552.25
2014-05-20,576.4
2014-05-21,578.2
2014-05-22,585.85
2014-05-23,578.85
2014-05-26,579.0
2014-05-27,576.7
2014-05-28,579.3
2014-05-29,584.9
2014-05-30,596.55
2014-06-02,607.8
2014-06-03,615.5
2014-06-04,620.15
2014-06-05,635.85
2014-06-06,670.1
2014-06-09,727.15
2014-06-10,755.45
2014-06-11,758.65
2014-06-12,745.3
2014-06-13,736.55
2014-06-16,742.3
2014-06-17,753.8
2014-06-18,754.45
2014-06-19,750.35
2014-06-20,746.7
2014-06-23,748.95
2014-06-24,749.1
2014-06-25,750.2
2014-06-26,758.15
2014-06-27,887.45
2014-06-30,882.8
2014-07-01,880.35
