Date,GTNTEX
2013-01-01,7.3
2013-01-02,7.2
2013-01-03,7.25
2013-01-04,7.4
2013-01-07,7.2
2013-01-08,7.35
2013-01-09,7.5
2013-01-10,7.6
2013-01-11,7.4
2013-01-14,7.2
2013-01-15,7.65
2013-01-16,7.8
2013-01-17,7.8
2013-01-18,7.8
2013-01-21,8.0
2013-01-22,7.7
2013-01-23,7.7
2013-01-25,8.05
2013-01-28,8.35
2013-01-29,7.7
2013-01-30,7.0
2013-01-31,7.0
2013-02-01,7.15
2013-02-04,6.9
2013-02-05,7.1
2013-02-06,7.25
2013-02-07,6.95
2013-02-08,7.0
2013-02-11,6.85
2013-02-12,7.35
2013-02-13,7.25
2013-02-14,6.95
2013-02-15,7.25
2013-02-18,7.1
2013-02-19,6.9
2013-02-20,7.35
2013-02-21,7.0
2013-02-25,6.6
2013-02-26,6.65
2013-02-27,6.5
2013-02-28,6.5
2013-03-01,6.3
2013-03-04,6.15
2013-03-05,6.75
2013-03-08,6.25
2013-03-11,6.25
2013-03-12,7.0
2013-03-13,6.6
2013-03-14,6.4
2013-03-15,6.2
2013-03-18,5.75
2013-03-19,5.2
2013-03-20,5.45
2013-03-21,5.3
2013-03-22,5.35
2013-03-25,5.25
2013-03-26,5.65
2013-03-28,5.65
2013-04-01,5.2
2013-04-02,5.65
2013-04-03,5.5
2013-04-04,5.5
2013-04-05,5.45
2013-06-20,5.3
2013-07-09,5.55
2013-07-11,5.5
2013-07-12,5.75
2013-07-24,6.0
2013-07-29,5.7
2013-07-30,5.95
2013-07-31,6.0
2013-08-01,6.0
2013-08-02,6.0
2013-08-05,6.0
2013-08-06,6.0
2013-08-13,6.0
2013-08-14,6.0
2013-08-16,6.0
2013-08-19,5.7
2013-08-21,5.9
2013-08-23,6.15
2013-08-26,6.05
2013-08-27,6.1
2013-08-29,5.8
2013-08-30,5.55
2013-09-03,5.4
2013-09-11,5.65
2013-09-13,5.8
2013-09-17,5.55
2013-09-19,5.8
2013-09-20,5.8
2013-09-23,5.8
2013-09-25,6.05
2013-09-30,6.35
2013-10-01,6.65
2013-10-08,6.95
2013-10-09,6.75
2013-10-11,6.6
2013-10-15,6.9
2013-10-17,7.2
2013-10-18,7.25
2013-10-21,6.95
2013-10-30,6.8
2013-10-31,6.85
2013-11-05,6.65
2013-11-07,6.5
2013-11-12,6.5
2013-11-13,6.2
2013-11-18,6.0
2013-11-20,6.3
2013-11-22,6.5
2013-11-26,6.2
2013-11-29,5.95
2013-12-02,5.75
2013-12-03,5.55
2013-12-04,5.8
2013-12-05,6.05
2013-12-06,6.3
2013-12-10,6.6
2013-12-12,6.3
2013-12-13,6.5
2013-12-16,6.2
2013-12-17,5.95
2013-12-19,6.2
2013-12-23,6.05
2013-12-24,6.2
2013-12-26,6.45
2013-12-27,6.7
2013-12-30,6.95
2013-12-31,7.15
2014-01-01,7.0
2014-01-03,7.3
2014-01-06,7.0
2014-01-09,7.35
2014-01-13,7.35
2014-01-14,7.4
2014-01-15,7.05
2014-01-16,7.15
2014-01-17,7.45
2014-01-23,7.1
2014-01-24,7.35
