Date,ZEELEARN
2013-01-01,30.7
2013-01-02,30.55
2013-01-03,30.5
2013-01-04,30.0
2013-01-07,30.25
2013-01-08,30.9
2013-01-09,30.2
2013-01-10,30.0
2013-01-11,29.45
2013-01-14,29.25
2013-01-15,29.9
2013-01-16,29.5
2013-01-17,29.35
2013-01-18,28.95
2013-01-21,28.9
2013-01-22,28.75
2013-01-23,29.0
2013-01-24,28.45
2013-01-25,28.25
2013-01-28,28.15
2013-01-29,27.8
2013-01-30,27.3
2013-01-31,27.75
2013-02-01,27.0
2013-02-04,27.1
2013-02-05,26.5
2013-02-06,26.9
2013-02-07,26.85
2013-02-08,26.5
2013-02-11,26.05
2013-02-12,26.8
2013-02-13,26.3
2013-02-14,25.85
2013-02-15,25.2
2013-02-18,25.8
2013-02-19,25.8
2013-02-20,25.8
2013-02-21,25.3
2013-02-22,26.15
2013-02-25,25.45
2013-02-26,24.2
2013-02-27,24.35
2013-02-28,23.85
2013-03-01,23.3
2013-03-04,23.55
2013-03-05,24.6
2013-03-06,25.4
2013-03-07,25.85
2013-03-08,25.45
2013-03-11,26.35
2013-03-12,26.25
2013-03-13,25.2
2013-03-14,25.25
2013-03-15,24.8
2013-03-18,24.3
2013-03-19,23.65
2013-03-20,23.4
2013-03-21,23.05
2013-03-22,23.15
2013-03-25,22.25
2013-03-26,22.6
2013-03-28,21.9
2013-04-01,21.95
2013-04-02,22.0
2013-04-03,21.2
2013-04-04,20.85
2013-04-05,20.55
2013-04-08,21.4
2013-04-09,20.65
2013-04-10,20.75
2013-04-11,20.8
2013-04-12,20.45
2013-04-15,20.65
2013-04-16,20.5
2013-04-17,19.95
2013-04-18,18.95
2013-04-22,19.1
2013-04-23,19.0
2013-04-25,18.75
2013-04-26,18.45
2013-04-29,18.25
2013-04-30,17.6
2013-05-02,17.5
2013-05-03,18.4
2013-05-06,19.55
2013-05-07,20.35
2013-05-08,20.6
2013-05-09,19.9
2013-05-10,19.5
2013-05-11,19.6
2013-05-13,19.15
2013-05-14,19.15
2013-05-15,19.45
2013-05-16,19.5
2013-05-17,19.4
2013-05-20,19.05
2013-05-21,18.95
2013-05-22,18.85
2013-05-23,19.1
2013-05-24,18.4
2013-05-27,17.85
2013-05-28,17.7
2013-05-29,17.3
2013-05-30,17.55
2013-05-31,17.1
2013-06-03,17.2
