Date,HIMATSEIDE
2013-01-01,40.75
2013-01-02,40.95
2013-01-03,41.0
2013-01-04,40.85
2013-01-07,41.0
2013-01-08,40.65
2013-01-09,40.7
2013-01-10,40.1
2013-01-11,40.1
2013-01-14,40.6
2013-01-15,40.5
2013-01-16,40.5
2013-01-17,40.1
2013-01-18,39.85
2013-01-21,40.05
2013-01-22,39.45
2013-01-23,39.15
2013-01-24,38.7
2013-01-25,39.65
2013-01-28,40.05
2013-01-29,38.7
2013-01-30,38.15
2013-01-31,37.5
2013-02-01,37.45
2013-02-04,36.95
2013-02-05,37.4
2013-02-06,37.8
2013-02-07,36.95
2013-02-08,36.1
2013-02-11,36.1
2013-02-12,35.35
2013-02-13,35.6
2013-02-14,34.8
2013-02-15,34.55
2013-02-18,34.5
2013-02-19,34.2
2013-02-20,34.9
2013-02-21,34.65
2013-02-22,33.95
2013-02-25,34.4
2013-02-26,33.2
2013-02-27,33.0
2013-02-28,31.95
2013-03-01,31.5
2013-03-04,30.6
2013-03-05,31.25
2013-03-06,31.8
2013-03-07,31.9
2013-03-08,32.45
2013-03-11,32.1
2013-03-12,33.1
2013-03-13,34.6
2013-03-14,34.7
2013-03-15,34.6
2013-03-18,34.3
2013-03-19,33.05
2013-03-20,32.6
2013-03-21,32.35
2013-03-22,31.55
2013-03-25,30.45
2013-03-26,30.05
2013-03-28,29.3
2013-04-01,31.3
2013-04-02,33.6
2013-04-03,33.05
2013-04-04,31.95
2013-04-05,31.65
2013-04-08,31.55
2013-04-09,31.55
2013-04-10,31.8
2013-04-11,31.2
2013-04-12,32.0
2013-04-15,34.2
2013-04-16,33.45
2013-04-17,34.85
2013-04-18,34.05
2013-04-22,33.35
2013-04-23,33.5
2013-04-25,33.15
2013-04-26,32.2
2013-04-29,31.95
2013-04-30,32.55
2013-05-02,32.55
2013-05-03,33.0
2013-05-06,32.85
2013-05-07,33.4
2013-05-08,33.6
2013-05-09,33.55
2013-05-10,33.6
2013-05-11,34.2
2013-05-13,34.0
2013-05-14,33.7
2013-05-15,34.95
2013-05-16,34.85
2013-05-17,34.75
2013-05-20,33.85
2013-05-21,33.55
2013-05-22,32.75
2013-05-23,32.15
2013-05-24,32.45
2013-05-27,35.15
2013-05-28,34.8
2013-05-29,34.25
2013-05-30,34.35
2013-05-31,34.45
2013-06-03,33.4
2013-06-04,35.45
2013-06-05,35.2
2013-06-06,34.7
2013-06-07,35.0
2013-06-10,33.9
2013-06-11,32.1
2013-06-12,32.1
2013-06-13,31.7
2013-06-14,33.25
2013-06-17,33.75
2013-06-18,33.8
2013-06-19,34.2
2013-06-20,33.05
2013-06-21,33.4
2013-06-24,32.75
2013-06-25,32.05
2013-06-26,31.25
2013-06-27,32.0
2013-06-28,32.05
2013-07-01,32.7
2013-07-02,32.95
2013-07-03,33.0
2013-07-04,32.7
2013-07-05,32.3
2013-07-08,31.8
2013-07-09,31.7
2013-07-10,32.0
2013-07-11,32.0
2013-07-12,32.25
2013-07-15,31.75
2013-07-16,31.65
2013-07-17,30.45
2013-07-18,30.9
2013-07-19,30.75
2013-07-22,30.65
2013-07-23,30.9
2013-07-24,30.8
2013-07-25,30.95
2013-07-26,30.65
2013-07-29,30.1
2013-07-30,28.95
2013-07-31,28.35
2013-08-01,27.8
2013-08-02,27.0
2013-08-05,27.05
2013-08-06,26.5
2013-08-07,26.75
2013-08-08,27.7
2013-08-12,29.85
2013-08-13,30.75
2013-08-14,32.9
2013-08-16,31.85
2013-08-19,31.95
2013-08-20,31.95
2013-08-21,31.3
2013-08-22,31.15
2013-08-23,31.55
2013-08-26,31.95
2013-08-27,31.3
2013-08-28,31.75
2013-08-29,31.95
2013-08-30,32.7
2013-09-02,32.25
2013-09-03,31.4
2013-09-04,31.25
2013-09-05,31.9
2013-09-06,32.65
