Date,VINYLINDIA
2013-01-01,9.7
2013-01-02,10.15
2013-01-03,10.25
2013-01-04,10.05
2013-01-07,9.9
2013-01-08,10.5
2013-01-09,10.9
2013-01-10,10.0
2013-01-11,10.3
2013-01-14,9.95
2013-01-15,9.85
2013-01-16,10.0
2013-01-17,9.9
2013-01-18,9.8
2013-01-21,9.8
2013-01-22,9.75
2013-01-23,9.55
2013-01-24,9.95
2013-01-25,9.7
2013-01-28,9.5
2013-01-29,9.5
2013-01-30,9.5
2013-01-31,9.7
2013-02-01,9.45
2013-02-04,9.4
2013-02-05,9.55
2013-02-06,9.6
2013-02-07,9.45
2013-02-08,9.4
2013-02-11,9.55
2013-02-12,9.2
2013-02-13,9.15
2013-02-14,9.5
2013-02-15,9.25
2013-02-19,9.95
2013-02-20,9.6
2013-02-21,10.2
2013-02-22,10.2
2013-02-25,10.1
2013-02-26,10.1
2013-02-27,9.55
2013-02-28,10.05
2013-03-01,9.95
2013-03-04,9.25
2013-03-05,9.85
2013-03-06,9.95
2013-03-07,9.65
2013-03-08,10.0
2013-03-11,9.6
2013-03-12,9.75
2013-03-14,9.7
2013-03-15,9.8
2013-03-18,9.95
2013-03-19,9.75
2013-03-20,9.45
2013-03-21,9.15
2013-03-22,8.9
2013-03-25,9.3
2013-03-28,9.05
2013-04-01,9.5
2013-04-02,9.3
2013-04-03,9.9
2013-04-04,9.9
2013-04-05,9.8
2013-04-08,10.25
2013-04-10,10.0
2013-04-16,11.0
2013-04-17,10.5
2013-04-18,10.0
2013-04-22,9.3
2013-04-23,9.75
2013-04-25,9.45
2013-04-29,9.45
2013-04-30,9.75
2013-05-06,9.3
2013-05-07,9.3
2013-05-08,9.05
2013-05-09,10.4
2013-05-10,11.0
2013-05-11,11.0
2013-05-15,9.35
2013-05-16,9.35
2013-05-17,9.05
2013-05-20,9.1
2013-05-21,9.1
2013-05-22,9.1
2013-05-23,9.0
2013-05-27,10.75
2013-05-28,10.7
2013-05-29,11.05
2013-05-30,11.6
2013-05-31,11.2
2013-06-04,11.6
2013-06-05,11.0
2013-06-06,9.5
2013-06-07,11.25
2013-06-11,10.6
2013-06-14,10.8
2013-06-17,10.9
2013-06-18,11.0
2013-06-19,11.2
2013-06-27,10.55
2013-07-01,10.05
2013-07-04,11.0
2013-07-09,10.0
2013-07-10,10.0
2013-07-11,11.25
2013-07-16,11.45
2013-07-18,12.7
2013-07-23,10.3
2013-07-26,11.0
2013-07-29,11.9
2013-07-30,11.0
2013-08-02,11.6
2013-08-05,11.95
2013-08-06,11.0
2013-08-07,12.15
2013-08-08,10.0
2013-08-12,10.9
2013-08-13,10.95
2013-08-14,11.9
2013-08-16,10.6
2013-08-19,10.7
2013-08-20,10.55
2013-08-22,9.25
2013-08-23,10.5
2013-08-26,9.55
2013-08-27,10.5
2013-08-28,9.0
2013-08-29,10.0
2013-08-30,9.9
2013-09-02,9.0
2013-09-04,10.5
2013-09-05,10.0
2013-09-06,9.55
2013-09-10,9.6
2013-09-12,10.0
2013-09-16,10.5
2013-09-18,11.0
2013-09-19,9.95
2013-09-24,9.95
2013-09-26,11.0
2013-09-27,10.5
2013-10-03,11.0
2013-10-08,10.85
2013-10-09,10.0
2013-10-10,10.0
2013-10-14,10.0
2013-10-15,10.0
2013-10-17,11.0
2013-10-21,10.0
2013-10-22,8.0
2013-10-24,9.6
2013-10-25,10.0
2013-10-28,11.0
2013-10-29,12.4
2013-10-30,12.0
2013-10-31,12.25
2013-11-01,12.25
2013-11-05,12.0
2013-11-06,12.0
2013-11-07,11.9
2013-11-08,11.0
2013-11-11,11.95
2013-11-12,12.3
2013-11-13,11.7
2013-11-14,11.7
2013-11-18,11.7
2013-11-19,11.0
2013-11-20,12.1
2013-11-21,12.0
2013-11-22,11.75
2013-11-25,11.5
2013-11-26,11.3
2013-11-28,10.9
2013-11-29,10.9
2013-12-02,11.05
2013-12-04,12.15
2013-12-05,13.0
2013-12-09,13.5
2013-12-10,14.75
2013-12-11,15.45
