Date,DHAMPURSUG
2013-01-01,51.6
2013-01-02,52.2
2013-01-03,52.1
2013-01-04,52.0
2013-01-07,53.25
2013-01-08,53.1
2013-01-09,52.1
2013-01-10,51.25
2013-01-11,50.3
2013-01-14,50.55
2013-01-15,51.25
2013-01-16,50.05
2013-01-17,50.9
2013-01-18,50.6
2013-01-21,50.15
2013-01-22,48.8
2013-01-23,48.3
2013-01-24,47.3
2013-01-25,46.8
2013-01-28,45.7
2013-01-29,45.3
2013-01-30,45.65
2013-01-31,46.15
2013-02-01,47.3
2013-02-04,46.55
2013-02-05,45.6
2013-02-06,45.9
2013-02-07,43.2
2013-02-08,43.05
2013-02-11,41.7
2013-02-12,42.8
2013-02-13,43.0
2013-02-14,43.1
2013-02-15,44.45
2013-02-18,47.85
2013-02-19,49.0
2013-02-20,48.0
2013-02-21,47.3
2013-02-22,47.0
2013-02-25,46.8
2013-02-26,44.5
2013-02-27,45.75
2013-02-28,44.5
2013-03-01,44.2
2013-03-04,43.65
2013-03-05,44.8
2013-03-06,47.9
2013-03-07,47.7
2013-03-08,47.6
2013-03-11,49.65
2013-03-12,51.8
2013-03-13,50.8
2013-03-14,49.3
2013-03-15,47.25
2013-03-18,48.6
2013-03-19,46.75
2013-03-20,43.85
2013-03-21,43.1
2013-03-22,42.3
2013-03-25,41.2
2013-03-26,40.9
2013-03-28,41.65
2013-04-01,42.7
2013-04-02,44.4
2013-04-03,42.95
2013-04-04,45.85
2013-04-05,49.05
2013-04-08,49.45
2013-04-09,47.85
2013-04-10,46.05
2013-04-11,45.5
2013-04-12,45.5
2013-04-15,46.05
2013-04-16,45.7
2013-04-17,44.55
2013-04-18,44.75
2013-04-22,45.65
2013-04-23,45.9
2013-04-25,45.85
2013-04-26,44.8
2013-04-29,44.8
2013-04-30,43.95
2013-05-02,44.25
2013-05-03,43.5
2013-05-06,43.4
2013-05-07,44.85
2013-05-08,45.25
2013-05-09,44.7
2013-05-10,44.25
2013-05-11,44.6
2013-05-13,43.9
2013-05-14,43.3
2013-05-15,43.4
2013-05-16,43.3
2013-05-17,43.4
2013-05-20,43.15
2013-05-21,43.2
2013-05-22,42.85
2013-05-23,42.0
2013-05-24,42.6
2013-05-27,42.55
2013-05-28,42.95
2013-05-29,42.15
2013-05-30,41.95
2013-05-31,41.05
2013-06-03,40.4
2013-06-04,40.1
2013-06-05,40.35
2013-06-06,40.3
2013-06-07,40.15
2013-06-10,39.6
2013-06-11,39.0
2013-06-12,38.65
2013-06-13,37.5
2013-06-14,37.7
2013-06-17,37.7
2013-06-18,38.0
2013-06-19,39.3
2013-06-20,38.15
2013-06-21,37.45
2013-06-24,36.1
2013-06-25,35.8
2013-06-26,35.6
2013-06-27,35.05
2013-06-28,35.55
2013-07-01,36.75
2013-07-02,37.35
2013-07-03,36.25
2013-07-04,36.7
2013-07-05,38.1
2013-07-08,37.6
2013-07-09,38.8
2013-07-10,39.3
2013-07-11,39.4
2013-07-12,38.6
2013-07-15,38.55
2013-07-16,37.25
2013-07-17,40.2
2013-07-18,41.9
2013-07-19,39.95
2013-07-22,38.25
2013-07-23,37.5
2013-07-24,36.8
2013-07-25,36.85
2013-07-26,35.15
2013-07-29,34.6
2013-07-30,33.6
2013-07-31,32.5
2013-08-01,32.6
2013-08-02,32.4
2013-08-05,31.0
2013-08-06,31.15
2013-08-07,29.95
2013-08-08,30.2
2013-08-12,29.95
2013-08-13,29.75
2013-08-14,29.9
2013-08-16,29.15
2013-08-19,28.7
2013-08-20,28.8
2013-08-21,28.95
2013-08-22,28.9
2013-08-23,29.45
2013-08-26,29.8
2013-08-27,29.0
2013-08-28,28.25
2013-08-29,28.9
2013-08-30,29.4
2013-09-02,32.15
2013-09-03,30.25
2013-09-04,30.6
2013-09-05,30.9
2013-09-06,30.8
2013-09-10,31.45
2013-09-11,30.9
2013-09-12,30.75
2013-09-13,32.0
2013-09-16,31.3
2013-09-17,31.35
2013-09-18,31.2
2013-09-19,31.1
2013-09-20,30.5
2013-09-23,30.35
2013-09-24,30.35
2013-09-25,31.4
2013-09-26,31.4
2013-09-27,30.9
2013-09-30,30.8
2013-10-01,31.4
2013-10-03,31.75
2013-10-04,31.5
2013-10-07,31.25
2013-10-08,31.15
2013-10-09,30.8
2013-10-10,31.2
2013-10-11,31.2
2013-10-14,31.15
2013-10-15,31.1
2013-10-17,32.2
2013-10-18,31.25
2013-10-21,32.0
2013-10-22,33.1
2013-10-23,33.05
2013-10-24,32.0
2013-10-25,30.85
2013-10-28,31.05
2013-10-29,30.25
2013-10-30,30.2
2013-10-31,30.2
2013-11-01,30.65
2013-11-03,30.85
2013-11-05,31.1
2013-11-06,31.2
2013-11-07,30.65
2013-11-08,31.0
2013-11-11,30.75
2013-11-12,29.9
2013-11-13,29.2
2013-11-14,28.9
2013-11-18,28.0
2013-11-19,28.5
2013-11-20,33.9
2013-11-21,35.75
2013-11-22,38.15
2013-11-25,41.2
2013-11-26,42.0
2013-11-27,39.5
2013-11-28,41.0
2013-11-29,39.35
2013-12-02,38.45
2013-12-03,37.5
2013-12-04,36.55
2013-12-05,34.3
2014-03-03,31.4
2014-03-04,32.85
2014-03-05,34.4
2014-03-06,36.05
2014-03-07,34.85
2014-03-10,34.55
2014-03-11,34.7
2014-03-12,36.85
2014-03-13,39.05
2014-03-14,38.0
2014-03-18,39.9
2014-03-19,39.75
2014-03-20,39.65
2014-03-21,39.25
2014-03-22,39.9
2014-03-24,39.55
2014-03-25,39.55
2014-03-26,39.2
2014-03-27,39.95
