Date,GSFC
2013-01-01,67.15
2013-01-02,66.95
2013-01-03,66.7
2013-01-04,70.8
2013-01-07,71.55
2013-01-08,72.25
2013-01-09,72.0
2013-01-10,69.65
2013-01-11,69.95
2013-01-14,68.9
2013-01-15,68.35
2013-01-16,66.05
2013-01-17,66.7
2013-01-18,68.85
2013-01-21,68.85
2013-01-22,67.25
2013-01-23,65.4
2013-01-24,64.8
2013-01-25,64.75
2013-01-28,64.65
2013-01-29,65.2
2013-01-30,65.75
2013-01-31,66.4
2013-02-01,64.95
2013-02-04,64.0
2013-02-05,63.85
2013-02-06,63.4
2013-02-07,64.1
2013-02-08,62.6
2013-02-11,63.4
2013-02-12,63.45
2013-02-13,64.35
2013-02-14,64.25
2013-02-15,64.05
2013-02-18,64.1
2013-02-19,64.45
2013-02-20,64.9
2013-02-21,63.2
2013-02-22,61.15
2013-02-25,61.25
2013-02-26,59.75
2013-02-27,59.9
2013-02-28,59.2
2013-03-01,59.25
2013-03-04,56.45
2013-03-05,56.65
2013-03-06,59.9
2013-03-07,59.9
2013-03-08,61.15
2013-03-11,62.95
2013-03-12,62.4
2013-03-13,59.9
2013-03-14,61.8
2013-03-15,60.75
2013-03-18,61.85
2013-03-19,60.1
2013-03-20,61.55
2013-03-21,59.8
2013-03-22,59.0
2013-03-25,59.0
2013-03-26,58.55
2013-03-28,58.5
2013-04-01,58.65
2013-04-02,58.35
2013-04-03,58.9
2013-04-04,59.95
2013-04-05,58.8
2013-04-08,57.95
2013-04-09,54.55
2013-04-10,54.85
2013-04-11,56.7
2013-04-12,56.0
2013-04-15,57.1
2013-04-16,57.6
2013-04-17,57.25
2013-04-18,56.9
2013-04-22,57.05
2013-04-23,57.95
2013-04-25,57.0
2013-04-26,55.65
2013-04-29,55.35
2013-04-30,54.95
2013-05-02,54.15
2013-05-03,53.45
2013-05-06,55.75
2013-05-07,54.9
2013-05-08,57.55
2013-05-09,55.9
2013-05-10,55.75
2013-05-11,56.4
2013-05-13,55.5
2013-05-14,55.5
2013-05-15,57.45
2013-05-16,57.05
2013-05-17,56.55
2013-05-20,58.95
2013-05-21,58.9
2013-05-22,57.85
2013-05-23,56.45
2013-05-24,56.25
2013-05-27,56.8
2013-05-28,56.65
2013-05-29,57.0
2013-05-30,56.65
2013-05-31,56.75
2013-06-03,56.55
2013-06-04,57.15
2013-06-05,57.05
2013-06-06,56.2
2013-06-07,57.55
2013-06-10,59.55
2013-06-11,58.2
2013-06-12,59.6
2013-06-13,58.45
2013-06-14,59.0
2013-06-17,58.85
2013-06-18,60.0
2013-06-19,60.75
2013-06-20,60.0
2013-06-21,59.9
2013-06-24,60.35
2013-06-25,60.05
2013-06-26,60.0
2013-06-27,60.15
2013-06-28,61.05
2013-07-01,61.25
2013-07-02,61.6
2013-07-03,60.9
2013-07-04,61.7
2013-07-05,62.15
2013-07-08,61.9
2013-07-09,61.2
2013-07-10,59.25
2013-07-11,60.45
2013-07-12,60.15
2013-07-15,60.45
2013-07-16,58.2
2013-07-17,58.6
2013-07-18,55.5
2013-07-19,55.5
2013-07-22,53.35
2013-07-23,53.05
2013-07-24,52.95
2013-07-25,53.75
2013-07-26,53.45
2013-07-29,54.0
2013-07-30,53.9
2013-07-31,54.65
2013-08-01,54.95
2013-08-02,54.2
2013-08-05,52.65
2013-08-06,52.6
2013-08-07,51.6
2013-08-08,50.95
2013-08-12,51.0
2013-08-13,50.0
2013-08-14,50.15
2013-08-16,48.6
2013-08-19,48.95
2013-08-20,47.9
2013-08-21,47.0
2013-08-22,47.5
2013-08-23,47.85
2013-08-26,47.2
2013-08-27,45.8
2013-08-28,44.8
2013-08-29,48.55
2013-08-30,49.2
2013-09-02,48.15
2013-09-03,47.15
2013-09-04,47.8
2013-09-05,47.95
2013-09-06,50.7
2013-09-10,52.15
2013-09-11,50.25
2013-09-12,49.4
2013-09-13,50.15
2013-09-16,50.85
2013-09-17,50.0
2013-09-18,52.05
2013-09-19,53.0
2013-09-20,49.85
2013-09-23,49.65
2013-09-24,50.25
2013-09-25,51.25
2013-09-26,51.6
2013-09-27,51.45
2013-09-30,52.7
2013-10-01,53.0
2013-10-03,50.65
2013-10-04,52.7
2013-10-07,53.55
2013-10-08,53.3
2013-10-09,53.7
2013-10-10,52.75
2013-10-11,54.55
2013-10-14,55.9
2013-10-15,54.0
2013-10-17,53.1
2013-10-18,53.35
2013-10-21,52.75
2013-10-22,53.6
2013-10-23,54.15
2013-10-24,54.05
2013-10-25,53.55
2013-10-28,55.5
2013-10-29,58.3
2013-10-30,57.8
2013-10-31,59.6
2013-11-01,60.05
2013-11-03,60.5
2013-11-05,60.5
2013-11-06,60.85
2013-11-07,61.9
2013-11-08,60.95
2013-11-11,58.6
2013-11-12,56.25
2013-11-13,57.15
2013-11-14,57.25
2013-11-18,57.0
2013-11-19,57.3
2013-11-20,57.95
2013-11-21,58.25
2013-11-22,57.55
2013-11-25,56.4
2013-11-26,56.4
2013-11-27,56.45
2013-11-28,57.75
2013-11-29,57.2
2013-12-02,57.95
2013-12-03,58.5
2013-12-04,58.8
2013-12-05,58.5
2013-12-06,57.7
2013-12-09,57.0
2013-12-10,57.15
2013-12-11,57.25
2013-12-12,55.9
2013-12-13,55.15
2013-12-16,54.3
2013-12-17,52.9
2013-12-18,53.25
2013-12-19,53.55
2013-12-20,56.95
2013-12-23,54.85
2013-12-24,54.8
2013-12-26,54.9
2013-12-27,54.8
2013-12-30,54.95
2013-12-31,54.0
2014-01-01,54.95
2014-01-02,53.85
2014-01-03,53.5
2014-01-06,53.5
2014-01-07,53.55
2014-01-08,53.7
2014-01-09,52.95
2014-01-10,53.15
2014-01-13,53.1
2014-01-14,53.0
2014-01-15,52.95
2014-01-16,52.15
2014-01-17,51.75
2014-01-20,51.7
2014-01-21,51.8
2014-01-22,52.0
2014-01-23,51.15
2014-01-24,49.85
2014-01-27,48.2
2014-01-28,49.35
2014-01-29,48.5
2014-01-30,47.45
2014-01-31,46.8
2014-02-03,47.0
2014-02-04,46.6
2014-02-05,46.4
2014-02-06,45.65
2014-02-07,46.4
2014-02-10,46.55
2014-02-11,46.1
2014-02-12,45.35
2014-02-13,45.3
2014-02-14,46.0
2014-02-17,45.35
2014-02-18,47.1
2014-02-19,48.65
2014-02-20,48.5
2014-02-21,47.35
2014-02-24,45.95
2014-02-25,45.7
2014-02-26,45.0
2014-02-28,44.5
2014-03-03,44.4
2014-03-04,44.2
2014-03-05,44.05
2014-03-06,44.45
2014-03-07,47.35
2014-03-10,47.75
2014-03-11,48.05
2014-03-12,51.35
2014-03-13,51.15
2014-03-14,51.6
2014-03-18,52.1
2014-03-19,51.7
2014-03-20,51.75
2014-03-21,52.55
2014-03-22,51.95
2014-03-24,54.3
2014-03-25,54.75
2014-03-26,55.7
2014-03-27,54.75
2014-03-28,53.75
2014-03-31,56.75
2014-04-01,55.1
2014-04-02,55.85
2014-04-03,54.65
2014-04-04,55.45
2014-04-07,53.65
2014-04-09,56.8
2014-04-10,56.35
2014-04-11,58.6
2014-04-15,56.2
2014-04-16,54.35
2014-04-17,56.0
2014-04-21,57.45
2014-04-22,57.75
2014-04-23,59.0
2014-04-25,57.9
2014-04-28,57.6
2014-04-29,56.85
2014-04-30,55.15
2014-05-02,55.05
2014-05-05,55.0
2014-05-06,55.25
2014-05-07,56.55
2014-05-08,57.0
2014-05-09,56.95
2014-05-12,57.3
2014-05-13,61.8
2014-05-14,66.3
2014-05-15,69.0
2014-05-16,67.95
2014-05-19,71.5
2014-05-20,73.9
2014-05-21,75.75
2014-05-22,75.95
2014-05-23,76.0
2014-05-26,71.9
2014-05-27,68.85
2014-05-28,71.2
2014-05-29,70.85
2014-05-30,74.6
2014-06-02,75.05
2014-06-03,76.2
2014-06-04,79.95
2014-06-05,80.2
2014-06-06,78.8
2014-06-09,78.9
2014-06-10,78.1
2014-06-11,76.7
2014-06-12,76.95
2014-06-13,73.4
2014-06-16,73.9
2014-06-17,77.45
2014-06-18,75.55
2014-06-19,75.75
2014-06-20,76.05
2014-06-23,77.95
2014-06-24,79.55
2014-06-25,80.4
2014-06-26,79.95
2014-06-27,81.35
2014-06-30,80.2
2014-07-01,84.6
2014-07-02,85.25
2014-07-03,84.45
2014-07-04,82.3
2014-07-07,81.65
2014-07-08,78.9
2014-07-09,76.6
2014-07-10,79.1
2014-07-11,79.8
2014-07-14,78.05
2014-07-15,78.45
2014-07-16,77.95
2014-07-17,78.1
2014-07-18,77.65
2014-07-21,79.8
2014-07-22,79.9
2014-07-23,80.15
2014-07-24,77.8
2014-07-25,75.85
2014-07-28,76.25
2014-07-30,76.8
2014-07-31,76.65
2014-08-01,74.15
2014-08-04,74.3
2014-08-05,74.0
2014-08-06,72.85
2014-08-07,77.2
2014-08-08,78.2
2014-08-11,75.1
2014-08-12,72.8
2014-08-13,69.45
2014-08-14,69.85
2014-08-18,72.3
2014-08-19,72.25
2014-08-20,70.1
2014-08-21,69.95
2014-08-22,68.1
2014-08-25,66.9
2014-08-26,65.65
2014-08-27,66.75
2014-08-28,67.5
2014-09-01,67.85
2014-09-02,66.05
2014-09-03,66.85
2014-09-04,65.85
2014-09-05,69.1
2014-09-08,71.35
2014-09-09,72.0
2014-09-10,74.0
2014-09-11,88.8
2014-09-12,94.7
2014-09-15,107.25
2014-09-16,96.7
2014-09-17,97.4
2014-09-18,101.3
2014-09-19,101.55
2014-09-22,110.5
2014-09-23,108.0
2014-09-24,103.65
2014-09-25,103.65
2014-09-26,105.6
2014-09-29,111.05
2014-09-30,114.55
2014-10-01,114.0
2014-10-07,112.25
2014-10-08,118.65
2014-10-09,117.4
2014-10-10,118.0
2014-10-13,121.35
2014-10-14,120.8
2014-10-16,108.1
2014-10-17,106.75
2014-10-20,111.0
2014-10-21,112.5
2014-10-22,111.95
2014-10-23,112.5
2014-10-27,116.1
2014-10-28,116.45
2014-10-29,120.8
2014-10-30,119.9
2014-10-31,121.1
2014-11-03,123.55
2014-11-05,117.05
2014-11-07,113.75
2014-11-10,116.55
2014-11-11,116.65
2014-11-12,113.6
2014-11-13,113.0
2014-11-14,116.45
2014-11-17,118.9
2014-11-18,116.25
2014-11-19,112.05
2014-11-20,111.05
2014-11-21,108.35
2014-11-24,107.2
2014-11-25,103.5
2014-11-26,106.85
2014-11-27,104.6
2014-11-28,103.6
2014-12-01,100.55
2014-12-02,104.8
2014-12-03,104.4
2014-12-04,102.9
2014-12-05,105.05
2014-12-08,101.85
2014-12-09,100.05
2014-12-10,104.95
2014-12-11,101.95
2014-12-12,100.15
2014-12-15,97.9
2014-12-16,97.25
2014-12-17,96.7
2014-12-18,99.85
2014-12-19,102.65
2014-12-22,104.95
2014-12-23,109.15
2014-12-24,108.7
2014-12-26,104.55
2014-12-29,102.65
2014-12-30,99.45
2014-12-31,105.0
2015-01-01,106.55
2015-01-02,105.95
2015-01-05,104.65
2015-01-06,102.55
2015-01-07,103.05
2015-01-08,103.3
2015-01-09,101.7
2015-01-12,102.8
2015-01-13,104.5
2015-01-14,105.55
2015-01-15,103.75
2015-01-16,102.85
2015-01-19,105.05
2015-01-20,103.8
2015-01-21,103.6
2015-01-22,116.75
2015-01-23,122.3
2015-01-27,107.55
2015-01-28,101.9
2015-01-29,101.4
2015-01-30,100.35
2015-02-02,98.15
2015-02-03,99.15
2015-02-04,97.35
2015-02-05,95.75
2015-02-06,93.3
2015-02-09,91.7
2015-02-10,90.75
2015-02-11,93.9
2015-02-12,93.85
2015-02-13,93.1
2015-02-16,91.35
2015-02-18,94.75
2015-02-19,95.2
2015-02-20,92.45
2015-02-23,91.2
2015-02-24,93.9
2015-02-25,94.0
2015-02-26,92.65
