Date,RUCHISOYA
2013-01-01,65.3
2013-01-02,66.0
2013-01-03,66.8
2013-01-04,68.95
2013-01-07,70.4
2013-01-08,72.55
2013-01-09,73.25
2013-01-10,72.65
2013-01-11,70.45
2013-01-14,72.05
2013-01-15,72.75
2013-01-16,71.0
2013-01-17,70.95
2013-01-18,70.3
2013-01-21,69.6
2013-01-22,70.45
2013-01-23,71.05
2013-01-24,70.0
2013-01-25,70.2
2013-01-28,69.9
2013-01-29,68.75
2013-01-30,69.75
2013-01-31,69.65
2013-02-01,68.8
2013-02-04,68.3
2013-02-05,68.2
2013-02-06,69.25
2013-02-07,68.15
2013-02-08,68.0
2013-02-11,67.05
2013-02-12,66.55
2013-02-13,66.05
2013-02-14,67.15
2013-02-15,67.6
2013-02-18,67.25
2013-02-19,66.85
2013-02-20,66.0
2013-02-21,65.3
2013-02-22,64.45
2013-02-25,64.05
2013-02-26,64.8
2013-02-27,62.95
2013-02-28,61.05
2013-03-01,62.05
2013-03-04,58.15
2013-03-05,62.3
2013-03-06,60.65
2013-03-07,59.95
2013-03-08,61.1
2013-03-11,60.8
2013-03-12,60.95
2013-03-13,60.45
2013-03-14,59.85
2013-03-15,57.1
2013-03-18,61.55
2013-03-19,60.9
2013-03-20,65.5
2013-03-21,69.65
2013-03-22,63.1
2013-03-25,64.5
2013-03-26,63.1
2013-03-28,62.6
2013-04-01,69.3
2013-04-02,67.9
2013-04-03,68.0
2013-04-04,65.75
2013-04-05,68.0
2013-04-08,67.85
2013-04-09,67.5
2013-04-10,67.6
2013-04-11,66.7
2013-04-12,66.25
2013-04-15,71.65
2013-04-16,68.25
2013-04-17,69.2
2013-04-18,68.5
2013-04-22,67.55
2013-04-23,66.95
2013-04-25,68.35
2013-04-26,69.1
2013-04-29,69.5
2013-04-30,68.95
2013-05-02,67.95
2013-05-03,66.75
2013-05-06,66.75
2013-05-07,69.05
2013-05-08,68.85
2013-05-09,68.95
2013-05-10,68.85
2013-05-11,68.3
2013-05-13,68.0
2013-05-14,68.15
2013-05-15,68.0
2013-05-16,68.05
