Date,CEBBCO
2013-01-01,91.4
2013-01-02,91.0
2013-01-03,90.65
2013-01-04,92.6
2013-01-07,92.85
2013-01-08,92.65
2013-01-09,91.75
2013-01-10,90.9
2013-01-11,91.05
2013-01-14,90.25
2013-01-15,90.05
2013-01-16,90.35
2013-01-17,85.5
2013-01-18,89.1
2013-01-21,87.45
2013-01-22,85.2
2013-01-23,84.1
2013-01-24,78.8
2013-01-25,75.25
2013-01-28,78.3
2013-01-29,77.85
2013-01-30,74.8
2013-01-31,73.85
2013-02-01,59.65
2013-02-04,47.75
2013-02-05,49.25
2013-02-06,52.3
2013-02-07,47.1
2013-02-08,45.6
2013-02-11,45.95
2013-02-12,44.65
2013-02-13,43.65
2013-02-14,39.35
2013-02-15,36.75
2013-02-18,37.0
2013-02-19,36.95
2013-02-20,36.9
2013-02-21,33.95
2013-02-22,32.45
2013-02-25,32.05
2013-02-26,32.35
2013-02-27,32.7
2013-02-28,31.3
2013-03-01,29.75
2013-03-04,28.3
2013-03-05,27.9
2013-03-06,29.25
2013-03-07,30.7
2013-03-08,32.2
2013-03-11,33.8
2013-03-12,34.5
2013-03-13,33.2
2013-03-14,33.75
2013-03-15,32.85
2013-03-18,31.75
2013-03-19,30.2
2013-03-20,28.7
2013-03-21,28.9
2013-03-22,27.5
2013-03-25,28.85
2013-03-26,30.2
2013-03-28,29.55
2013-04-01,31.0
2013-04-02,32.5
2013-04-03,33.3
2013-04-04,31.65
2013-04-05,30.1
2013-04-08,29.25
2013-04-09,29.15
2013-04-10,29.1
2013-04-11,29.6
2013-04-12,29.1
2013-04-15,29.0
2013-04-16,28.95
2013-04-17,28.8
2013-04-18,29.95
2013-04-22,30.9
2013-04-23,30.5
2013-04-25,29.95
2013-04-26,28.5
2013-04-29,27.1
2013-04-30,25.75
2013-05-02,24.5
2013-05-03,23.3
2013-05-06,24.45
2013-05-07,23.6
2013-05-08,23.25
2013-05-09,24.15
2013-05-10,23.65
2013-05-11,23.0
2013-05-13,22.15
2013-05-14,21.55
2013-05-15,21.7
2013-05-16,21.65
2013-05-17,20.6
2013-05-20,19.6
2013-05-21,18.65
2013-05-22,17.75
2013-05-23,16.9
2013-05-24,17.7
2013-05-27,18.55
2013-05-28,19.45
2013-05-29,18.5
2013-05-30,17.65
2013-05-31,16.8
2013-06-03,16.0
2013-06-04,15.2
2013-06-05,15.45
2013-06-06,15.75
2013-06-07,15.0
2013-06-10,14.3
2013-06-11,13.8
2013-06-12,13.5
2013-06-13,12.9
2013-06-14,13.5
2013-06-17,14.15
2013-06-18,14.85
2013-06-19,15.55
2013-06-20,16.2
2013-06-21,15.75
2013-06-24,15.2
2013-06-25,14.45
2013-06-26,13.75
2013-06-27,13.35
2013-06-28,13.95
2013-07-01,14.6
2013-07-02,14.15
2013-07-03,13.9
2013-07-04,13.65
2013-07-05,13.95
2013-07-08,14.0
2013-07-09,14.5
2013-07-10,14.5
2013-07-11,14.6
2013-07-12,14.75
2013-07-15,14.55
2013-07-16,14.25
2013-07-17,14.25
2013-07-18,14.55
2013-07-19,14.65
2013-07-22,13.85
2013-07-23,13.75
2013-07-24,13.25
2013-07-25,13.0
2013-07-26,12.35
2013-07-29,11.9
2013-07-30,11.75
2013-07-31,10.65
2013-08-01,9.6
2013-08-02,9.15
2013-08-05,8.7
2013-08-06,8.3
2013-08-07,8.2
2013-08-08,8.6
2013-08-12,9.0
2013-08-13,9.45
2013-08-14,9.9
2013-08-16,9.55
2013-08-19,9.1
2013-08-20,8.9
2013-08-21,8.6
2013-08-22,8.75
2013-08-23,8.85
2013-08-26,8.7
2013-08-27,8.3
2013-08-28,8.15
2013-08-29,8.2
2013-08-30,8.35
2013-09-02,8.25
2013-09-03,7.95
2013-09-04,8.1
2013-09-05,8.5
2013-09-06,9.35
2013-09-10,10.15
2013-09-11,10.1
2013-09-12,9.95
2013-09-13,9.95
2013-09-16,10.1
2013-09-17,10.15
2013-09-18,10.25
2013-09-19,9.75
2013-09-20,9.2
2013-09-23,8.75
2013-09-24,8.55
2013-09-25,8.6
2013-09-26,8.5
2013-09-27,8.4
2013-09-30,8.4
2013-10-01,8.5
2013-10-03,8.7
2013-10-04,9.15
2013-10-07,9.2
2013-10-08,9.15
2013-10-09,8.95
2013-10-10,9.05
2013-10-11,9.15
2013-10-14,8.9
2013-10-15,8.7
2013-10-17,8.9
2013-10-18,8.75
2013-10-21,9.25
2013-10-22,10.05
2013-10-23,10.75
2013-10-24,11.5
2013-10-25,11.55
2013-10-28,11.0
2013-10-29,10.45
2013-10-30,9.95
2013-10-31,9.55
2013-11-01,9.35
2013-11-03,9.5
2013-11-05,9.75
2013-11-06,9.95
2013-11-07,10.0
2013-11-08,9.95
2013-11-11,9.75
2013-11-12,9.3
2013-11-13,9.1
2013-11-14,9.1
2013-11-18,9.1
2013-11-19,9.0
2013-11-20,9.0
2013-11-21,8.85
2013-11-22,9.0
2013-11-25,9.45
2013-11-26,9.15
2013-11-27,8.95
2013-11-28,8.85
2013-11-29,9.25
2013-12-02,9.6
2013-12-03,10.05
2013-12-04,9.8
2013-12-05,9.8
2013-12-06,9.75
2013-12-09,9.3
2013-12-10,9.05
2013-12-11,9.35
2013-12-12,9.0
2013-12-13,8.95
2013-12-16,8.6
2013-12-17,8.45
2013-12-18,8.85
2013-12-19,8.7
2013-12-20,8.85
2013-12-23,8.75
2013-12-24,8.9
2013-12-26,9.3
2013-12-27,9.75
2013-12-30,10.2
2013-12-31,10.7
2014-01-01,11.2
2014-01-02,11.75
2014-01-03,12.3
2014-01-06,12.9
2014-01-07,13.5
2014-01-08,13.3
2014-01-09,12.65
