Date,DBREALTY
2013-01-01,162.2
2013-01-02,158.7
2013-01-03,161.15
2013-01-04,158.8
2013-01-07,162.2
2013-01-08,161.15
2013-01-09,159.3
2013-01-10,157.45
2013-01-11,150.05
2013-01-14,154.95
2013-01-15,154.6
2013-01-16,156.2
2013-01-17,157.75
2013-01-18,158.95
2013-01-21,157.95
2013-01-22,151.95
2013-01-23,150.9
2013-01-24,135.75
2013-01-25,142.7
2013-01-28,143.35
2013-01-29,138.5
2013-01-30,139.05
2013-01-31,136.65
2013-02-01,138.6
2013-02-04,135.4
2013-02-05,134.8
2013-02-06,135.05
2013-02-07,131.5
2013-02-08,127.75
2013-02-11,123.45
2013-02-12,101.3
2013-02-13,83.3
2013-02-14,86.95
2013-02-15,88.15
2013-02-18,87.7
2013-02-19,90.1
2013-02-20,87.5
2013-02-21,84.9
2013-02-22,84.65
2013-02-25,76.2
2013-02-26,70.35
2013-02-27,73.7
2013-02-28,70.8
2013-03-01,69.85
2013-03-04,66.4
2013-03-05,69.7
2013-03-06,73.15
2013-03-07,76.65
2013-03-08,78.65
2013-03-11,79.8
2013-03-12,76.05
2013-03-13,73.2
2013-03-14,74.15
2013-03-15,73.95
2013-03-18,70.55
2013-03-19,67.05
2013-03-20,63.7
2013-03-21,60.55
2013-03-22,57.7
2013-03-25,58.55
2013-03-26,56.8
2013-03-28,59.6
2013-04-01,62.55
2013-04-02,65.65
2013-04-03,62.8
2013-04-04,61.85
2013-04-05,62.5
2013-04-08,60.95
2013-04-09,58.0
2013-04-10,60.6
2013-04-11,59.5
2013-04-12,58.2
2013-04-15,59.55
2013-04-16,62.5
2013-04-17,61.5
2013-04-18,62.5
2013-04-22,65.6
2013-04-23,65.0
2013-04-25,67.5
2013-04-26,64.15
2013-04-29,64.95
2013-04-30,64.05
2013-05-02,64.9
2013-05-03,64.85
2013-05-06,65.15
2013-05-07,67.35
2013-05-08,72.45
2013-05-09,70.65
2013-05-10,69.4
2013-05-11,75.45
2013-05-13,72.05
2013-05-14,72.25
2013-05-15,76.85
2013-05-16,78.55
2013-05-17,77.55
2013-05-20,74.55
2013-05-21,75.7
2013-05-22,74.7
2013-05-23,71.5
2013-05-24,75.8
2013-05-27,77.95
2013-05-28,76.8
2013-05-29,73.95
