Date,MONSANTO
2013-01-01,633.25
2013-01-02,634.55
2013-01-03,639.1
2013-01-04,634.0
2013-01-07,653.15
2013-01-08,649.2
2013-01-09,666.4
2013-01-10,656.75
2013-01-11,649.95
2013-01-14,644.95
2013-01-15,651.3
2013-01-16,640.9
2013-01-17,646.85
2013-01-18,639.7
2013-01-21,640.0
2013-01-22,637.3
2013-01-23,636.7
2013-01-24,630.65
2013-01-25,634.1
2013-01-28,648.05
2013-01-29,643.95
2013-01-30,649.95
2013-01-31,643.05
2013-02-01,636.6
2013-02-04,637.55
2013-02-05,626.4
2013-02-06,631.5
2013-02-07,629.75
2013-02-08,626.05
2013-02-11,620.95
2013-02-12,615.9
2013-02-13,619.3
2013-02-14,611.35
2013-02-15,603.7
2013-02-18,617.75
2013-02-19,609.9
2013-02-20,609.25
2013-02-21,605.75
2013-02-22,609.45
2013-02-25,610.2
2013-02-26,610.1
2013-02-27,605.9
2013-02-28,598.1
2013-03-01,593.25
2013-03-04,582.75
2013-03-05,589.85
2013-03-06,583.5
2013-03-07,593.85
2013-03-08,596.7
2013-03-11,592.2
2013-03-12,594.4
2013-03-13,589.65
2013-03-14,587.15
2013-03-15,584.8
2013-03-18,582.85
2013-03-19,570.5
2013-03-20,570.1
2013-03-21,596.15
2013-03-22,602.3
2013-03-25,599.65
2013-03-26,587.45
2013-03-28,572.45
2013-04-01,588.85
2013-04-02,596.25
2013-04-03,584.55
2013-04-04,583.15
2013-04-05,581.45
2013-04-08,583.0
2013-04-09,580.75
2013-04-10,579.95
2013-04-11,578.75
2013-04-12,570.4
2013-04-15,567.15
2013-04-16,564.75
2013-04-17,578.45
2013-04-18,572.75
2013-04-22,582.45
2013-04-23,594.9
2013-04-25,591.0
2013-04-26,579.4
2013-04-29,585.35
2013-04-30,578.8
2013-05-02,580.55
2013-05-03,584.9
2013-05-06,571.2
2013-05-07,578.4
2013-05-08,575.65
2013-05-09,582.85
2013-05-10,587.65
2013-05-11,579.4
2013-05-13,587.45
2013-05-14,586.05
2013-05-15,583.6
2013-05-16,591.0
2013-05-17,594.4
2013-05-20,628.1
2013-05-21,627.1
2013-05-22,601.65
2013-05-23,587.3
2013-05-24,595.5
2013-05-27,586.55
2013-05-28,601.5
2013-05-29,611.6
2013-05-30,640.9
2013-05-31,692.3
2013-06-03,698.15
