Date,UNIENTER
2013-01-01,23.85
2013-01-02,23.65
2013-01-03,23.95
2013-01-04,25.15
2013-01-07,24.65
2013-01-08,24.1
2013-01-09,24.0
2013-01-10,26.5
2013-01-11,25.05
2013-01-14,25.2
2013-01-15,25.1
2013-01-16,24.85
2013-01-17,24.1
2013-01-18,24.95
2013-01-21,24.6
2013-01-22,24.5
2013-01-23,24.0
2013-01-24,23.2
2013-01-25,22.85
2013-01-28,23.7
2013-01-29,23.65
2013-01-30,23.15
2013-01-31,23.65
2013-02-01,22.9
2013-02-04,22.85
2013-02-05,22.9
2013-02-06,22.5
2013-02-07,22.4
2013-02-08,22.4
2013-02-11,22.2
2013-02-12,22.0
2013-02-13,23.2
2013-02-14,21.9
2013-02-15,21.3
2013-02-18,21.7
2013-02-19,21.4
2013-02-20,21.15
2013-02-21,21.3
2013-02-22,21.0
2013-02-25,21.0
2013-02-26,20.2
2013-02-27,19.85
2013-02-28,19.4
2013-03-01,19.15
2013-03-04,19.4
2013-03-05,19.5
2013-03-06,18.9
2013-03-07,19.3
2013-03-08,19.15
2013-03-11,20.35
2013-03-12,19.7
2013-03-13,19.4
2013-03-14,19.55
2013-03-15,19.15
2013-03-18,19.2
2013-03-19,19.0
2013-03-20,18.0
2013-03-21,18.5
2013-03-22,18.5
2013-03-25,17.6
2013-03-26,17.1
2013-03-28,18.15
2013-04-01,18.0
2013-04-02,18.45
2013-04-03,18.95
2013-04-04,18.05
2013-04-05,17.9
2013-04-11,19.95
2013-04-12,17.5
2013-04-15,16.05
2013-04-17,17.05
2013-04-22,16.5
2013-04-23,19.5
2013-04-25,17.65
2013-04-26,18.05
2013-04-30,17.55
2013-05-02,18.2
2013-05-06,18.5
2013-05-07,18.5
2013-05-08,19.05
2013-05-09,20.45
2013-05-10,20.5
2013-05-15,19.65
2013-05-16,19.2
2013-05-17,21.0
2013-05-20,20.15
2013-05-21,20.95
2013-05-22,19.5
2013-05-27,19.5
2013-05-28,19.15
2013-05-29,19.1
2013-06-03,19.55
2013-06-04,20.0
2013-06-06,20.0
2013-06-10,19.5
2013-06-11,20.45
2013-06-12,19.5
2013-06-14,18.55
2013-06-18,18.15
2013-06-20,18.5
2013-06-21,19.4
2013-06-28,18.0
2013-07-02,18.0
2013-07-03,19.95
2013-07-10,19.0
2013-07-11,19.8
2013-07-12,18.85
2013-07-15,18.05
2013-07-17,18.0
2013-07-24,18.9
2013-07-29,18.0
2013-07-30,17.5
2013-07-31,18.3
2013-08-02,17.55
2013-08-05,16.7
2013-08-08,17.5
2013-08-12,18.25
2013-08-21,17.35
2013-08-23,16.5
2013-08-28,17.2
2013-08-29,16.35
2013-08-30,17.15
2013-09-02,17.45
2013-09-05,18.3
2013-09-06,17.4
2013-09-10,16.6
2013-09-11,17.35
2013-09-13,17.95
2013-09-17,17.1
2013-09-20,16.5
2013-09-25,16.5
2013-09-26,16.6
2013-09-27,16.75
2013-09-30,16.95
2013-10-01,17.0
2013-10-03,17.1
2013-10-04,17.05
2013-10-07,17.15
2013-10-08,17.25
2013-10-09,17.25
2013-10-10,17.25
2013-10-11,17.25
2013-10-14,17.25
2013-10-15,17.5
2013-10-17,17.0
2013-10-18,17.75
2013-10-21,17.4
2013-10-22,17.5
2013-10-23,17.75
2013-10-24,17.75
2013-10-25,17.75
2013-10-28,17.75
2013-10-29,17.75
2013-10-30,18.0
2013-11-01,18.0
2013-11-05,18.8
2013-11-06,17.9
2013-11-07,17.8
2013-11-08,17.8
2013-11-11,17.8
2013-11-12,17.1
2013-11-13,17.15
2013-11-14,17.1
2013-11-18,17.45
2013-11-19,17.15
2013-11-20,17.15
2013-11-21,16.6
2013-11-25,17.0
2013-11-26,17.0
2013-11-27,17.0
2013-11-29,17.0
2013-12-02,17.0
2013-12-03,17.0
2013-12-04,16.95
2013-12-05,16.3
2013-12-06,17.0
2013-12-10,17.0
2013-12-11,17.95
2013-12-12,17.25
2013-12-13,17.25
2013-12-16,17.25
2013-12-17,17.5
2013-12-19,17.6
2013-12-20,18.5
2013-12-23,18.05
2013-12-24,18.6
2013-12-26,18.5
2013-12-27,19.0
2013-12-30,19.1
2013-12-31,19.5
2014-01-01,20.0
2014-01-02,20.0
2014-01-03,20.0
2014-01-06,19.95
2014-01-07,19.8
2014-01-08,20.1
2014-01-10,20.0
2014-01-13,18.8
2014-01-14,19.5
2014-01-15,23.4
2014-01-16,21.2
2014-01-17,20.55
2014-01-20,19.4
2014-01-21,21.15
2014-01-22,22.3
2014-01-23,21.05
2014-01-24,19.4
2014-01-27,18.95
2014-01-28,19.0
2014-01-29,18.8
2014-01-30,18.75
2014-01-31,18.5
2014-02-03,18.5
2014-02-04,19.2
2014-02-05,19.3
2014-02-06,18.6
2014-02-07,19.15
2014-02-10,19.05
2014-02-11,19.1
2014-02-12,19.2
2014-02-13,19.65
2014-02-14,21.7
2014-02-17,22.1
2014-02-18,22.05
2014-02-19,20.95
2014-02-20,21.2
2014-02-21,20.95
2014-02-24,21.1
2014-02-25,20.9
2014-02-26,20.75
2014-02-28,20.0
2014-03-03,20.45
2014-03-04,19.75
2014-03-05,20.15
2014-03-06,20.95
2014-03-07,20.65
2014-03-10,19.55
2014-03-11,20.45
2014-03-12,20.1
2014-03-13,19.9
2014-03-14,20.15
2014-03-18,20.65
2014-03-19,20.05
2014-03-20,20.05
2014-03-21,19.8
2014-03-22,19.7
2014-03-24,20.1
2014-03-25,19.55
2014-03-26,18.9
2014-03-27,19.05
2014-03-28,19.15
2014-03-31,18.85
2014-04-01,19.5
2014-04-02,19.3
2014-04-03,19.3
2014-04-04,19.75
2014-04-07,20.45
2014-04-09,20.6
2014-04-10,20.55
2014-04-11,21.0
2014-04-15,21.8
2014-04-16,20.75
2014-04-17,20.5
2014-04-21,21.05
2014-04-22,21.2
2014-04-23,20.65
2014-04-25,23.15
2014-04-28,27.75
2014-04-29,26.3
2014-04-30,25.4
2014-05-02,28.0
2014-05-05,27.2
2014-05-06,26.1
2014-05-07,27.3
2014-05-08,25.85
2014-06-13,27.0
2014-06-16,26.3
2014-06-17,26.85
2014-06-18,26.55
2014-06-19,27.0
2014-06-20,28.35
2014-06-23,28.45
2014-06-24,28.5
2014-06-25,28.1
2014-06-26,29.5
2014-06-27,30.95
2014-06-30,32.1
2014-07-01,32.3
2014-07-02,32.25
2014-07-03,31.85
2014-07-04,32.05
2014-07-07,31.1
2014-07-08,28.8
2014-07-09,27.6
2014-07-10,28.35
2014-07-11,27.2
2014-07-14,26.15
2014-07-15,27.0
2014-07-16,27.25
2014-07-17,28.0
2014-07-18,27.45
2014-07-21,28.0
2014-07-22,28.4
2014-07-23,27.15
2014-07-24,28.4
2014-07-25,27.1
2014-07-28,27.85
2014-07-30,28.5
2014-07-31,28.15
2014-08-01,27.55
2014-08-04,28.15
2014-08-05,28.2
2014-08-06,27.9
2014-08-07,27.45
2014-08-08,26.95
2014-08-11,25.0
2014-08-12,26.0
2014-08-13,25.1
2014-08-14,26.0
2014-08-18,26.0
2014-08-19,26.0
2014-08-20,24.65
2014-08-21,27.2
2014-08-22,27.2
2014-08-25,26.7
2014-08-26,25.4
2014-08-27,26.65
2014-08-28,26.2
2014-09-01,25.75
2014-09-02,26.2
2014-09-03,27.0
2014-09-04,31.7
2014-09-05,32.8
2014-09-08,33.2
2014-09-09,32.4
2014-09-10,33.25
2014-09-11,32.25
2014-09-12,31.15
2014-09-15,30.85
2014-09-16,28.65
2014-09-17,29.05
2014-09-18,29.8
2014-09-19,30.4
2014-09-22,29.8
2014-09-23,29.6
2014-09-24,29.1
2014-09-25,27.85
2014-09-26,27.8
2014-09-29,28.75
2014-09-30,28.9
2014-10-01,28.85
2014-10-07,27.5
2014-10-08,26.75
2014-10-09,29.8
2014-10-10,29.5
2014-10-13,29.1
2014-10-14,29.5
2014-10-16,28.45
2014-10-17,27.3
2014-10-20,27.0
2014-10-21,27.6
2014-10-22,27.15
2014-10-23,28.2
2014-10-27,28.15
2014-10-28,28.0
2014-10-29,28.0
2014-10-30,28.5
2014-10-31,28.25
2014-11-03,28.55
2014-11-05,28.45
2014-11-07,28.2
2014-11-10,28.95
2014-11-11,28.7
2014-11-12,29.8
2014-11-13,29.7
2014-11-14,29.3
2014-11-17,28.4
2014-11-18,28.5
2014-11-19,29.35
2014-11-20,28.5
2014-11-21,28.6
2014-11-24,29.0
2014-11-25,28.4
2014-11-26,27.95
2014-11-27,27.9
2014-11-28,28.2
2014-12-01,27.6
2014-12-02,27.5
2014-12-03,28.0
2014-12-04,28.2
2014-12-05,27.5
2014-12-08,27.1
2014-12-09,27.0
2014-12-10,26.1
2014-12-11,26.25
2014-12-12,26.25
2014-12-15,24.95
2014-12-16,24.8
2014-12-17,24.1
2014-12-18,25.2
2014-12-19,25.6
2014-12-22,25.6
2014-12-23,25.05
2014-12-24,26.45
2014-12-26,26.65
2014-12-29,26.0
2014-12-30,27.05
2014-12-31,27.15
2015-01-01,27.95
2015-01-02,27.9
2015-01-05,28.0
2015-01-06,26.4
2015-01-07,25.6
2015-01-08,26.05
2015-01-09,26.9
2015-01-12,27.05
2015-01-13,27.15
2015-01-14,27.95
2015-01-15,28.4
2015-01-16,29.1
2015-01-19,28.8
2015-01-20,28.8
2015-01-21,27.3
2015-01-22,26.75
2015-01-23,26.85
2015-01-27,26.55
2015-01-28,26.2
2015-01-29,26.85
2015-01-30,26.8
2015-02-02,28.3
2015-02-03,30.55
2015-02-04,30.95
2015-02-05,29.25
2015-02-06,28.5
2015-02-09,28.35
2015-02-10,28.5
2015-02-11,28.55
2015-02-12,30.05
2015-02-13,30.2
2015-02-16,29.7
2015-02-18,28.5
2015-02-19,29.3
2015-02-20,30.55
2015-02-23,30.4
2015-02-24,29.45
2015-02-25,30.0
2015-02-26,29.9
2015-02-27,29.4
2015-02-28,29.25
2015-03-02,29.35
2015-03-03,29.4
2015-03-04,29.6
2015-03-05,28.95
2015-03-09,29.6
2015-03-10,28.6
2015-03-11,28.85
2015-03-12,28.35
2015-03-13,28.05
2015-03-16,27.7
2015-03-17,27.35
2015-03-18,28.3
2015-03-19,26.75
2015-03-20,27.95
2015-03-23,26.75
2015-03-24,26.95
2015-03-25,26.1
2015-03-26,25.95
2015-03-27,26.5
2015-03-30,28.0
2015-03-31,28.5
2015-04-01,28.3
2015-04-06,29.85
2015-04-07,32.2
2015-04-08,38.6
2015-04-09,39.05
2015-04-10,37.35
2015-04-13,38.05
2015-04-15,37.1
2015-04-16,35.85
2015-04-17,35.1
2015-04-20,33.55
2015-04-21,33.65
2015-04-22,33.85
2015-04-23,34.7
2015-04-24,33.45
2015-04-27,33.35
2015-04-28,34.75
2015-04-29,34.7
2015-04-30,35.0
2015-05-04,35.0
2015-05-05,36.7
2015-05-06,34.7
2015-05-07,33.7
2015-05-08,35.15
2015-05-11,35.1
2015-05-12,33.85
2015-05-13,34.95
2015-05-14,35.25
2015-05-15,35.3
2015-05-18,36.5
2015-05-19,35.5
2015-05-20,36.0
2015-05-21,37.0
2015-05-22,35.95
2015-05-25,36.2
2015-05-26,37.6
2015-05-27,36.3
2015-05-28,36.0
2015-05-29,36.55
2015-06-01,36.4
2015-06-02,36.2
2015-06-03,34.0
2015-06-04,33.7
2015-06-05,34.95
2015-06-08,35.0
2015-06-09,35.4
2015-06-10,35.95
2015-06-11,35.3
2015-06-12,34.55
2015-06-15,34.85
2015-06-16,33.85
2015-06-17,33.7
2015-06-18,33.6
2015-06-19,34.2
2015-06-22,34.45
2015-06-23,34.75
2015-06-24,35.0
2015-06-25,35.4
2015-06-26,35.35
2015-06-29,34.45
2015-06-30,35.0
2015-07-01,37.8
2015-07-02,38.35
2015-07-03,39.55
2015-07-06,40.8
2015-07-07,40.85
2015-07-08,40.0
2015-07-09,43.95
2015-07-10,47.6
2015-07-13,47.25
