Date,SANGHVIFOR
2013-01-01,34.7
2013-01-02,36.8
2013-01-03,36.9
2013-01-04,36.05
2013-01-07,37.75
2013-01-08,37.05
2013-01-09,36.6
2013-01-10,35.75
2013-01-11,34.9
2013-01-14,35.3
2013-01-15,35.1
2013-01-16,34.6
2013-01-17,34.5
2013-01-18,33.85
2013-01-21,33.95
2013-01-22,33.65
2013-01-23,33.75
2013-01-24,32.65
2013-01-25,32.25
2013-01-28,32.85
2013-01-29,32.45
2013-01-30,32.75
2013-01-31,33.25
2013-02-01,33.65
2013-02-04,33.35
2013-02-05,32.9
2013-02-06,34.2
2013-02-07,32.85
2013-02-08,33.0
2013-02-11,31.55
2013-02-12,30.15
2013-02-13,30.4
2013-02-14,29.3
2013-02-15,28.9
2013-02-18,29.65
2013-02-19,30.4
2013-02-20,29.8
2013-02-21,28.95
2013-02-22,28.65
2013-02-25,29.25
2013-02-26,28.1
2013-02-27,28.25
2013-02-28,27.75
2013-03-01,27.2
2013-03-04,27.3
2013-03-05,26.95
2013-03-06,27.15
2013-03-07,26.5
2013-03-08,27.2
2013-03-11,27.35
2013-03-12,29.0
2013-03-13,28.85
2013-03-14,28.55
2013-03-15,28.4
2013-03-18,29.25
2013-03-19,27.7
2013-03-20,27.05
2013-03-21,26.5
2013-03-22,25.4
2013-03-25,25.0
2013-03-26,25.3
2013-03-28,24.8
2013-04-01,26.5
2013-04-02,26.8
2013-04-03,26.1
2013-04-04,26.1
2013-04-05,26.35
2013-04-08,26.5
2013-04-09,26.4
2013-04-10,25.85
2013-04-11,25.5
2013-04-12,26.1
2013-04-15,26.55
2013-04-16,27.8
2013-04-17,27.25
2013-04-18,26.85
2013-04-22,27.9
2013-04-23,28.6
2013-04-25,27.05
2013-04-26,26.9
2013-04-29,26.4
2013-04-30,26.95
2013-05-02,27.0
2013-05-03,26.55
2013-05-06,26.8
2013-05-07,27.35
2013-05-08,27.25
2013-05-09,27.75
2013-05-10,27.95
2013-05-11,27.95
2013-05-13,27.9
2013-05-14,27.55
2013-05-15,27.4
2013-05-16,27.05
2013-05-17,27.25
2013-05-20,26.5
2013-05-21,26.25
