Date,EXCELCROP
2013-01-01,209.15
2013-01-02,212.15
2013-01-03,206.5
2013-01-04,206.35
2013-01-07,205.4
2013-01-08,217.5
2013-01-09,208.75
2013-01-10,205.75
2013-01-11,205.3
2013-01-14,202.9
2013-01-15,205.1
2013-01-16,204.8
2013-01-17,202.4
2013-01-18,204.55
2013-01-21,201.75
2013-01-22,201.15
2013-01-23,187.5
2013-01-24,183.35
2013-01-25,183.1
2013-01-28,187.15
2013-01-29,187.45
2013-01-30,184.9
2013-01-31,181.0
2013-02-01,181.05
2013-02-04,181.0
2013-02-05,179.8
2013-02-06,178.95
2013-02-07,176.35
2013-02-08,175.5
2013-02-11,176.9
2013-02-12,177.15
2013-02-13,176.4
2013-02-14,177.0
2013-02-15,178.75
2013-02-18,182.05
2013-02-19,180.0
2013-02-20,183.1
2013-02-21,178.4
2013-02-22,177.45
2013-02-25,177.45
2013-02-26,177.6
2013-02-27,178.05
2013-02-28,176.8
2013-03-01,175.4
2013-03-04,176.1
2013-03-05,178.0
2013-03-06,179.75
2013-03-07,181.35
2013-03-08,177.85
2013-03-11,174.2
2013-03-12,175.7
2013-03-13,174.35
2013-03-14,175.95
2013-03-15,177.1
2013-03-18,174.7
2013-03-19,167.15
2013-03-20,170.05
2013-03-21,160.85
2013-03-22,159.8
2013-03-25,160.25
2013-03-26,162.4
2013-03-28,157.45
2013-04-01,162.4
2013-04-02,162.9
2013-04-03,162.05
2013-04-04,156.95
2013-04-05,155.0
2013-04-08,155.9
2013-04-09,158.3
2013-04-10,156.35
2013-04-11,155.35
2013-04-12,157.0
2013-04-15,158.65
2013-04-16,161.0
2013-04-17,160.5
2013-04-18,160.15
2013-04-22,166.25
2013-04-23,161.0
2013-04-25,175.8
2013-04-26,171.15
2013-04-29,170.55
2013-04-30,171.3
2013-05-02,170.75
2013-05-03,187.2
2013-05-06,182.05
2013-05-07,180.6
2013-05-08,180.15
2013-05-09,175.2
2013-05-10,173.4
2013-05-11,172.65
2013-05-13,168.25
2013-05-14,167.4
2013-05-15,169.05
2013-05-16,177.4
2013-05-17,175.65
2013-05-20,175.9
2013-05-21,174.65
2013-05-22,171.15
2013-05-23,166.35
2013-05-24,166.3
2013-05-27,169.7
2013-05-28,169.3
2013-05-29,169.7
2013-05-30,171.75
2013-05-31,170.5
2013-06-03,169.2
2013-06-04,175.7
2013-06-05,173.0
2013-06-06,172.85
2013-06-07,170.95
2013-06-10,170.5
2013-06-11,171.0
2013-06-12,171.25
2013-06-13,172.45
2013-06-14,171.1
2013-06-17,175.05
2013-06-18,170.35
2013-06-19,171.0
2013-06-20,168.55
2013-06-21,170.4
2013-06-24,170.95
2013-06-25,178.35
2013-06-26,178.15
2013-06-27,176.15
2013-06-28,173.35
2013-07-01,180.1
2013-07-02,175.0
2013-07-03,177.95
2013-07-04,180.4
2013-07-05,180.6
2013-07-08,188.05
2013-07-09,190.3
2013-07-10,188.9
2013-07-11,188.7
2013-07-12,189.05
2013-07-15,189.45
2013-07-16,185.5
2013-07-17,186.0
2013-07-18,183.05
2013-07-19,181.0
2013-07-22,193.65
2013-07-23,189.3
2013-07-24,186.6
2013-07-25,186.3
2013-07-26,187.0
2013-07-29,187.95
2013-07-30,189.35
