Date,LOTUSEYE
2013-01-01,8.3
2013-01-02,8.8
2013-01-03,9.15
2013-01-04,8.75
2013-01-07,9.45
2013-01-08,9.4
2013-01-09,9.35
2013-01-10,9.3
2013-01-11,8.85
2013-01-14,9.05
2013-01-15,8.95
2013-01-16,8.8
2013-01-17,8.7
2013-01-18,8.75
2013-01-21,8.6
2013-01-22,8.45
2013-01-23,8.4
2013-01-24,8.3
2013-01-25,8.25
2013-01-28,8.3
2013-01-29,8.2
2013-01-30,8.3
2013-01-31,8.15
2013-02-01,8.1
2013-02-04,7.9
2013-02-05,7.85
2013-02-06,7.85
2013-02-07,7.7
2013-02-08,7.7
2013-02-11,7.6
2013-02-12,7.7
2013-02-13,7.6
2013-02-14,7.15
2013-02-15,7.0
2013-02-18,7.05
2013-02-19,7.1
2013-02-20,7.0
2013-02-21,7.0
2013-02-22,7.35
2013-02-25,7.15
2013-02-26,6.85
2013-02-27,6.95
2013-02-28,6.85
2013-03-01,6.85
2013-03-04,6.75
2013-03-05,6.95
2013-03-06,7.0
2013-03-07,7.0
2013-03-08,6.95
2013-03-11,6.9
2013-03-12,7.1
2013-03-13,6.95
2013-03-14,7.4
2013-03-15,7.4
2013-03-18,7.25
2013-03-19,7.5
2013-03-20,7.5
2013-03-21,7.25
2013-03-22,7.05
2013-03-25,7.2
2013-03-26,7.05
2013-03-28,7.6
2013-04-01,7.55
2013-04-02,7.05
2013-04-03,7.55
2013-04-04,7.0
2013-04-05,7.45
2013-04-08,7.55
2013-04-09,6.95
2013-04-10,6.8
2013-04-11,6.7
2013-04-12,7.0
2013-04-15,6.75
2013-04-16,6.9
2013-04-17,6.6
2013-04-18,6.65
2013-04-22,6.8
2013-04-23,7.1
2013-04-25,7.0
2013-04-26,6.55
2013-04-29,7.0
2013-04-30,6.8
2013-05-02,6.8
2013-05-03,6.7
2013-05-06,6.75
2013-05-07,6.7
2013-05-08,6.95
2013-05-09,6.85
2013-05-10,6.85
2013-05-13,6.85
2013-05-14,7.15
2013-05-15,6.65
2013-05-16,6.45
2013-05-17,6.85
2013-05-20,6.7
2013-05-21,6.45
2013-05-22,6.65
2013-05-23,6.5
2013-05-24,6.7
2013-05-27,6.35
2013-05-28,6.55
2013-05-29,6.55
2013-05-30,6.7
2013-05-31,6.7
2013-06-03,6.35
2013-06-04,6.5
2013-06-05,6.6
2013-06-06,6.5
2013-06-07,6.25
2013-06-10,6.25
