Date,MAWANASUG
2013-01-01,14.8
2013-01-02,14.9
2013-01-03,14.95
2013-01-04,14.5
2013-01-07,14.4
2013-01-08,14.8
2013-01-09,15.1
2013-01-10,14.95
2013-01-11,14.2
2013-01-14,14.05
2013-01-15,14.3
2013-01-16,13.6
2013-01-17,13.4
2013-01-18,13.75
2013-01-21,13.75
2013-01-22,13.4
2013-01-23,12.3
2013-01-24,10.25
2013-01-25,10.85
2013-01-28,11.25
2013-01-29,11.4
2013-01-30,11.25
2013-01-31,11.45
2013-02-01,11.5
2013-02-04,11.65
2013-02-05,11.6
2013-02-06,11.9
2013-02-07,11.55
2013-02-08,11.05
2013-02-11,11.05
2013-02-12,10.5
2013-02-13,10.4
2013-02-14,10.4
2013-02-15,10.8
2013-02-18,11.85
2013-02-19,11.5
2013-02-20,11.3
2013-02-21,10.8
2013-02-22,10.8
2013-02-25,10.85
2013-02-26,10.1
2013-02-27,10.75
2013-02-28,10.45
2013-03-01,10.45
2013-03-04,10.05
2013-03-05,10.05
2013-03-06,10.15
2013-03-07,10.1
2013-03-08,10.15
2013-03-11,10.45
2013-03-12,10.6
2013-03-13,11.8
2013-03-14,11.7
2013-03-15,10.7
2013-03-18,9.9
2013-03-19,10.15
2013-03-20,9.8
2013-03-21,9.55
2013-03-22,8.25
2013-03-25,8.75
2013-03-26,8.55
2013-03-28,9.15
2013-04-01,10.0
2013-04-02,11.0
2013-04-03,10.3
2013-04-04,10.65
2013-04-05,11.6
2013-04-08,10.95
2013-04-09,10.4
2013-04-10,9.6
2013-04-11,10.3
2013-04-12,10.4
2013-04-15,10.45
2013-04-16,10.45
2013-04-17,10.05
2013-04-18,10.15
2013-04-22,10.3
2013-04-23,10.35
2013-04-25,10.3
2013-04-26,9.85
2013-04-29,9.85
2013-04-30,9.55
2013-05-02,9.5
2013-05-03,9.85
2013-05-06,9.9
2013-05-07,10.5
2013-05-08,10.2
2013-05-09,10.15
2013-05-10,9.8
2013-05-11,9.9
2013-05-13,9.7
2013-05-14,9.75
2013-05-15,9.7
2013-05-16,10.0
2013-05-17,9.8
2013-05-20,9.95
2013-05-21,9.9
2013-05-22,9.85
2013-05-23,9.05
2013-05-24,9.1
2013-05-27,8.05
2013-05-28,8.0
2013-05-29,7.9
2013-05-30,8.05
2013-05-31,8.15
2013-06-03,8.0
2013-06-04,8.1
2013-06-05,8.05
2013-06-06,8.25
2013-06-07,8.0
2013-06-10,8.0
2013-06-11,7.95
2013-06-12,7.6
2013-06-13,7.5
2013-06-14,7.4
2013-06-17,7.85
2013-06-18,7.85
2013-06-19,7.9
2013-06-20,7.7
2013-06-21,7.5
2013-06-24,7.05
2013-06-25,7.2
2013-06-26,7.05
2013-06-27,7.4
2013-06-28,7.35
2013-07-01,7.6
2013-07-02,7.25
2013-07-03,7.1
2013-07-04,7.05
2013-07-05,7.4
2013-07-08,7.8
2013-07-09,7.65
2013-07-10,7.6
2013-07-11,7.9
2013-07-12,7.75
2013-07-15,7.7
2013-07-16,7.75
2013-07-17,7.35
2013-07-18,7.5
2013-07-19,7.35
2013-07-22,7.35
2013-07-23,7.3
2013-07-24,7.1
2013-07-25,7.1
2013-07-26,7.0
2013-07-29,6.95
2013-07-30,6.9
2013-07-31,7.15
2013-08-01,6.2
2013-08-02,5.9
2013-08-05,6.0
2013-08-06,5.55
2013-08-07,5.55
2013-08-08,6.0
2013-08-12,6.15
2013-08-13,6.5
2013-08-14,6.25
2013-08-16,6.25
2013-08-19,6.2
2013-08-20,6.1
2013-08-21,6.2
2013-08-22,6.25
2013-08-23,6.3
2013-08-26,6.05
2013-08-27,6.0
2013-08-28,6.0
2013-08-29,6.25
2013-08-30,6.15
2013-09-02,7.1
2013-09-03,6.8
2013-09-04,6.65
2013-09-05,6.9
2013-09-06,6.7
2013-09-10,6.55
2013-09-11,6.55
2013-09-12,6.6
2013-09-13,7.25
2013-09-16,7.0
2013-09-17,7.4
2013-09-18,7.55
2013-09-19,7.7
2013-09-20,7.55
2013-09-23,7.4
2013-09-24,7.1
2013-09-25,7.05
2013-09-26,7.45
2013-09-27,7.65
2013-09-30,7.0
2013-10-01,7.05
2013-10-03,7.0
2013-10-04,6.85
2013-10-07,7.0
2013-10-08,6.65
2013-10-09,6.8
2013-10-10,6.8
2013-10-11,6.9
2013-10-14,6.85
2013-10-15,6.95
2013-10-17,7.1
2013-10-18,7.35
2013-10-21,7.6
2013-10-22,8.05
2013-10-23,7.8
2013-10-24,7.8
2013-10-25,7.7
2013-10-28,7.55
2013-10-29,7.5
2013-10-30,7.35
2013-10-31,7.2
2013-11-01,7.5
2013-11-03,7.5
2013-11-05,7.55
2013-11-06,7.5
2013-11-07,7.4
2013-11-08,7.1
2013-11-11,7.1
2013-11-12,7.05
2013-11-13,7.0
2013-11-14,7.0
2013-11-18,7.0
2013-11-19,7.2
2013-11-20,8.5
2013-11-21,9.0
2013-11-22,8.95
2013-11-25,9.0
2013-11-26,8.75
2013-11-27,8.3
2013-11-28,8.8
2013-11-29,8.8
