Date,AFL
2013-01-01,32.0
2013-01-02,32.05
2013-01-03,32.45
2013-01-04,33.0
2013-01-07,32.7
2013-01-08,32.65
2013-01-09,32.6
2013-01-10,32.8
2013-01-11,32.25
2013-01-14,32.0
2013-01-15,31.35
2013-01-16,31.2
2013-01-17,30.9
2013-01-18,30.7
2013-01-21,31.1
2013-01-22,30.55
2013-01-23,30.35
2013-01-24,30.05
2013-01-25,30.45
2013-01-28,30.35
2013-01-29,29.2
2013-01-30,30.3
2013-01-31,30.8
2013-02-01,30.6
2013-02-04,30.5
2013-02-05,30.7
2013-02-06,30.55
2013-02-07,30.4
2013-02-08,30.15
2013-02-11,29.7
2013-02-12,29.95
2013-02-13,29.7
2013-02-14,29.8
2013-02-15,28.95
2013-02-18,29.35
2013-02-19,29.5
2013-02-20,29.85
2013-02-21,29.4
2013-02-22,29.7
2013-02-25,29.3
2013-02-26,28.45
2013-02-27,28.1
2013-02-28,27.7
2013-03-01,27.55
2013-03-04,27.6
2013-03-05,27.75
2013-03-06,27.5
2013-03-07,28.2
2013-03-08,30.05
2013-03-11,30.6
2013-03-12,28.8
2013-03-13,27.25
2013-03-14,27.25
2013-03-15,27.8
2013-03-18,27.25
2013-03-19,27.5
2013-03-20,26.75
2013-03-21,26.4
2013-03-22,24.65
2013-03-25,25.45
2013-03-26,25.7
2013-03-28,25.05
2013-04-01,26.8
2013-04-02,27.55
2013-04-03,26.1
2013-04-04,26.95
2013-04-05,25.4
2013-04-08,30.45
2013-04-09,30.15
2013-04-10,31.15
2013-04-11,31.7
2013-04-12,30.8
2013-04-15,30.8
2013-04-16,32.0
2013-04-17,31.05
2013-04-18,31.45
2013-04-22,30.2
2013-04-23,30.0
2013-04-25,29.95
2013-04-26,29.45
2013-04-29,28.8
2013-04-30,28.65
2013-05-02,29.95
2013-05-03,29.05
2013-05-06,28.4
2013-05-07,28.15
2013-05-08,28.15
2013-05-09,27.35
2013-05-10,26.8
2013-05-11,27.0
2013-05-13,27.05
2013-05-14,26.7
2013-05-15,26.35
2013-05-16,26.35
2013-05-17,25.65
2013-05-20,25.35
2013-05-21,25.8
2013-05-22,25.8
2013-05-23,26.05
2013-05-24,26.0
2013-05-27,25.15
2013-05-28,25.0
2013-05-29,25.7
2013-05-30,25.8
2013-05-31,24.95
2013-06-03,24.4
2013-06-04,24.6
2013-06-05,24.6
2013-06-06,24.55
2013-06-07,24.9
2013-06-10,24.4
2013-06-11,24.1
2013-06-12,23.45
2013-06-13,23.15
2013-06-14,23.65
2013-06-17,23.9
2013-06-18,24.0
2013-06-19,23.3
2013-06-20,24.2
2013-06-21,23.55
2013-06-24,23.8
2013-06-25,23.4
2013-06-26,22.95
2013-06-27,23.2
2013-06-28,23.25
2013-07-01,24.05
2013-07-02,24.5
2013-07-03,23.9
2013-07-04,22.95
2013-07-05,23.75
2013-07-08,22.9
2013-07-09,22.9
2013-07-10,23.1
2013-07-11,22.8
2013-07-12,23.15
2013-07-15,22.55
2013-07-16,22.55
2013-07-17,22.3
2013-07-18,23.45
2013-07-19,22.55
2013-07-22,22.45
2013-07-23,22.7
2013-07-24,22.2
2013-07-25,21.75
2013-07-26,21.6
2013-07-29,20.55
2013-07-30,20.5
2013-07-31,19.55
2013-08-01,20.05
2013-08-02,19.8
2013-08-05,19.95
2013-08-06,19.75
2013-08-07,19.75
2013-08-08,19.55
2013-08-12,20.5
2013-08-13,21.15
2013-08-14,21.9
2013-08-16,21.75
2013-08-19,21.9
2013-08-20,21.7
2013-08-21,21.05
2013-08-22,21.65
2013-08-23,21.7
2013-08-26,21.65
2013-08-27,21.1
2013-08-28,20.95
2013-08-29,20.45
2013-08-30,20.0
2013-09-02,19.2
2013-09-03,20.0
2013-09-04,20.65
2013-09-05,20.5
2013-09-06,20.25
2013-09-10,20.5
2013-09-11,21.45
2013-09-12,21.55
2013-09-13,21.5
