Date,SINTEX
2013-01-01,67.35
2013-01-02,68.4
2013-01-03,69.7
2013-01-04,70.25
2013-01-07,70.85
2013-01-08,70.1
2013-01-09,68.95
2013-01-10,68.65
2013-01-11,70.85
2013-01-14,73.0
2013-01-15,72.2
2013-01-16,70.4
2013-01-17,70.45
2013-01-18,71.7
2013-01-21,71.0
2013-01-22,69.1
2013-01-23,66.95
2013-01-24,61.2
2013-01-25,63.45
2013-01-28,62.85
2013-01-29,62.7
2013-01-30,61.75
2013-01-31,62.45
2013-02-01,62.35
2013-02-04,60.5
2013-02-05,62.25
2013-02-06,62.1
2013-02-07,61.15
2013-02-08,60.05
2013-02-11,60.6
2013-02-12,61.3
2013-02-13,59.55
2013-02-14,56.7
2013-02-15,58.65
2013-02-18,59.35
2013-02-19,59.75
2013-02-20,60.2
2013-02-21,58.3
2013-02-22,60.35
2013-02-25,58.35
2013-02-26,57.0
2013-02-27,57.55
2013-02-28,54.5
2013-03-01,55.6
2013-03-04,52.8
2013-03-05,54.5
2013-03-06,55.95
2013-03-07,56.0
2013-03-08,56.9
2013-03-11,56.7
2013-03-12,57.2
2013-03-13,58.1
2013-03-14,57.5
2013-03-15,56.95
2013-03-18,55.1
2013-03-19,51.15
2013-03-20,48.8
2013-03-21,45.55
2013-03-22,44.2
2013-03-25,42.85
2013-03-26,44.3
2013-03-28,46.05
2013-04-01,47.35
2013-04-02,48.85
2013-04-03,47.6
2013-04-04,46.45
2013-04-05,46.4
2013-04-08,44.15
2013-04-09,43.7
2013-04-10,45.6
2013-04-11,44.65
2013-04-12,45.25
2013-04-15,45.55
2013-04-16,47.15
2013-04-17,45.9
2013-04-18,47.65
2013-04-22,49.55
2013-04-23,48.15
2013-04-25,48.35
2013-04-26,47.35
2013-04-29,48.55
2013-04-30,47.6
2013-05-02,49.3
2013-05-03,48.65
2013-05-06,51.45
2013-05-07,53.9
2013-05-08,52.75
2013-05-09,51.95
2013-05-10,51.4
2013-05-11,51.45
2013-05-13,49.2
2013-05-14,49.55
2013-05-15,49.6
2013-05-16,49.95
2013-05-17,52.2
2013-05-20,52.1
2013-05-21,50.75
2013-05-22,49.15
2013-05-23,47.15
2013-05-24,47.8
2013-05-27,48.85
2013-05-28,50.3
2013-05-29,49.75
2013-05-30,48.15
2013-05-31,47.4
2013-06-03,47.75
2013-06-04,48.55
2013-06-05,49.35
2013-06-06,49.7
2013-06-07,49.7
2013-06-10,47.45
2013-06-11,47.0
2013-06-12,46.6
2013-06-13,46.0
2013-06-14,47.35
2013-06-17,47.35
2013-06-18,46.25
2013-06-19,47.3
2013-06-20,43.85
2013-06-21,41.35
2013-06-24,39.25
2013-06-25,39.15
2013-06-26,37.6
2013-06-27,37.85
2013-06-28,40.45
2013-07-01,42.2
2013-07-02,42.85
2013-07-03,39.25
2013-07-04,39.4
2013-07-05,40.05
2013-07-08,40.8
2013-07-09,41.6
2013-07-10,41.8
2013-07-11,41.9
2013-07-12,40.2
2013-07-15,39.05
2013-07-16,37.75
2013-07-17,37.2
2013-07-18,37.35
2013-07-19,36.05
2013-07-22,37.15
2013-07-23,35.55
2013-07-24,33.95
2013-07-25,32.3
2013-07-26,30.95
2013-07-29,30.7
2013-07-30,29.0
2013-07-31,26.3
2013-08-01,24.25
2013-08-02,22.75
2013-08-05,21.55
2013-08-06,21.3
2013-08-07,21.95
2013-08-08,21.5
2013-08-12,21.1
2013-08-13,23.9
2013-08-14,23.95
2013-08-16,22.1
2013-08-19,21.1
2013-08-20,20.85
2013-08-21,20.65
2013-08-22,21.4
2013-08-23,21.5
2013-08-26,21.75
2013-08-27,19.95
2013-08-28,19.75
2013-08-29,18.5
2013-08-30,17.6
2013-09-02,17.95
2013-09-03,17.15
2013-09-04,16.95
2013-09-05,17.4
2013-09-06,18.25
2013-09-10,19.0
2013-09-11,20.3
2013-09-12,21.0
2013-09-13,23.35
2013-09-16,23.15
2013-09-17,23.0
2013-09-18,22.85
2013-09-19,23.15
