Date,CENTURYPLY
2013-01-01,58.7
2013-01-02,59.55
2013-01-03,58.5
2013-01-04,58.75
2013-01-07,61.3
2013-01-08,61.15
2013-01-09,60.25
2013-01-10,61.1
2013-01-11,61.4
2013-01-14,60.8
2013-01-15,59.55
2013-01-16,58.9
2013-01-17,58.6
2013-01-18,59.55
2013-01-21,58.6
2013-01-22,58.25
2013-01-23,57.75
2013-01-24,57.6
2013-01-25,59.1
2013-01-28,60.15
2013-01-29,59.05
2013-01-30,58.65
2013-01-31,58.15
2013-02-01,58.1
2013-02-04,57.65
2013-02-05,56.75
2013-02-06,56.65
2013-02-07,56.6
2013-02-08,57.45
2013-02-11,57.05
2013-02-12,57.3
2013-02-13,56.95
2013-02-14,55.7
2013-02-15,57.3
2013-02-18,55.8
2013-02-19,55.5
2013-02-20,58.0
2013-02-21,55.7
2013-02-22,55.9
2013-02-25,54.45
2013-02-26,54.4
2013-02-27,55.65
2013-02-28,54.0
2013-03-01,53.7
2013-03-04,52.25
2013-03-05,53.05
2013-03-06,54.25
2013-03-07,53.55
2013-03-08,54.1
2013-03-11,53.5
2013-03-12,53.45
2013-03-13,52.25
2013-03-14,52.2
2013-03-15,53.4
2013-03-18,52.95
2013-03-19,51.5
2013-03-20,50.5
2013-03-21,51.0
2013-03-22,52.0
2013-03-25,51.0
2013-03-26,51.75
2013-03-28,54.25
2013-04-01,50.9
2013-04-02,50.9
2013-04-03,51.25
2013-04-04,51.5
2013-04-05,51.0
2013-04-08,51.35
2013-04-09,51.25
2013-04-10,51.15
2013-04-11,51.6
2013-04-12,50.8
2013-04-15,50.6
2013-04-16,51.05
2013-04-17,51.5
2013-04-18,51.35
2013-04-22,51.85
2013-04-23,51.55
2013-04-25,51.2
2013-04-26,53.7
2013-04-29,52.95
2013-04-30,51.55
2013-05-02,51.2
2013-05-03,51.95
2013-05-06,51.0
2013-05-07,53.5
2013-05-08,53.45
2013-05-09,53.5
2013-05-10,53.45
2013-05-11,51.85
2013-05-13,52.0
2013-05-14,51.65
2013-05-15,52.7
2013-05-16,52.05
2013-05-17,53.0
2013-05-20,53.9
2013-05-21,53.4
2013-05-22,52.75
2013-05-23,51.45
2013-05-24,52.45
2013-05-27,53.6
2013-05-28,54.5
2013-05-29,54.1
2013-05-30,53.4
2013-05-31,52.4
2013-06-03,54.3
2013-06-04,53.1
2013-06-05,52.9
2013-06-06,51.6
2013-06-07,52.55
2013-06-10,50.15
2013-06-11,49.1
2013-06-12,49.65
2013-06-13,50.95
2013-06-14,50.0
2013-06-17,50.05
2013-06-18,48.85
2013-06-19,48.15
2013-06-20,45.45
2013-06-21,48.95
2013-06-24,47.9
2013-06-25,47.0
2013-06-26,46.5
2013-06-27,46.75
2013-06-28,48.0
2013-07-01,49.25
2013-07-02,49.15
2013-07-03,48.65
2013-07-04,49.05
2013-07-05,49.15
2013-07-08,48.15
2013-07-09,49.9
2013-07-10,48.8
2013-07-11,49.2
2013-07-12,49.8
2013-07-15,50.65
2013-07-16,54.25
2013-07-17,58.15
2013-08-01,31.55
2013-08-02,30.45
2013-08-05,28.0
2013-08-06,26.65
2013-08-07,26.1
2013-08-08,24.4
2013-08-12,24.55
2013-08-13,24.8
2013-08-14,24.9
2013-08-16,24.5
2013-08-19,24.45
2013-08-20,24.5
2013-08-21,24.7
2013-08-22,23.75
2013-08-23,24.3
2013-08-26,24.85
2013-08-27,25.0
2013-08-28,24.35
2013-08-29,23.95
2013-08-30,24.3
2013-09-02,24.2
2013-09-03,24.75
2013-09-04,24.25
2013-09-05,24.4
2013-09-06,23.95
2013-09-10,24.4
2013-09-11,24.45
2013-09-12,24.3
2013-09-13,28.0
2013-09-16,30.25
2013-09-17,30.8
2013-09-18,30.25
2013-09-19,30.3
2013-09-20,29.2
2013-09-23,28.6
2013-09-24,30.5
2013-09-25,30.0
2013-09-26,30.05
2013-09-27,30.05
2013-09-30,29.4
2013-10-01,30.6
2013-10-03,29.1
2013-10-04,29.85
2013-10-07,28.85
2013-10-08,27.7
2013-10-09,29.1
2013-10-10,29.95
2013-10-11,29.3
2013-10-14,30.25
2013-10-15,30.4
2013-10-17,29.05
2013-10-18,28.25
2013-10-21,29.0
2013-10-22,29.05
2013-10-23,28.85
2013-10-24,29.25
2013-10-25,29.25
2013-10-28,29.25
2013-10-29,29.0
2013-10-30,28.8
2013-10-31,28.05
2013-11-01,27.8
2013-11-03,27.95
2013-11-05,28.05
2013-11-06,28.5
2013-11-07,27.9
2013-11-08,27.45
2013-11-11,27.35
2013-11-12,27.25
2013-11-13,26.8
2013-11-14,26.35
2013-11-18,26.6
2013-11-19,27.0
2013-11-20,26.75
2013-11-21,25.7
2013-11-22,26.15
2013-11-25,26.15
2013-11-26,25.5
2013-11-27,24.85
2013-11-28,26.0
2013-11-29,25.45
2013-12-02,25.85
2013-12-03,25.4
2013-12-04,26.2
2013-12-05,25.45
2013-12-06,27.65
2013-12-09,26.7
2013-12-10,27.0
2013-12-11,27.0
2013-12-12,25.8
2013-12-13,25.35
2013-12-16,26.45
2013-12-17,25.9
2013-12-18,26.55
2013-12-19,25.6
2013-12-20,24.8
2013-12-23,25.0
2013-12-24,25.7
2013-12-26,25.1
2013-12-27,24.95
2013-12-30,25.15
2013-12-31,25.4
2014-01-01,25.6
2014-01-02,25.0
2014-01-03,25.0
2014-01-06,24.45
2014-01-07,26.1
2014-01-08,26.75
2014-01-09,26.7
2014-01-10,26.8
2014-01-13,26.95
2014-01-14,26.8
2014-01-15,26.9
2014-01-16,25.5
2014-01-17,25.0
2014-01-20,25.55
2014-01-21,29.8
2014-01-22,27.7
2014-01-23,28.05
2014-01-24,26.95
2014-01-27,25.15
2014-01-28,25.25
2014-01-29,24.55
2014-01-30,23.8
2014-01-31,24.0
2014-02-03,23.6
2014-02-04,22.85
2014-02-05,23.45
2014-02-06,23.05
2014-02-07,23.15
2014-02-10,22.9
2014-02-11,22.8
2014-02-12,22.9
2014-02-13,22.9
2014-02-14,22.55
2014-02-17,22.75
2014-02-18,23.0
2014-02-19,23.85
2014-02-20,23.7
2014-02-21,23.05
2014-02-24,22.95
2014-02-25,22.7
2014-02-26,22.15
2014-02-28,22.5
2014-03-03,22.4
2014-03-04,23.0
2014-03-05,24.2
2014-03-06,24.2
2014-03-07,23.8
2014-03-10,25.4
2014-03-11,27.5
2014-03-12,26.15
2014-03-13,25.6
2014-03-14,25.3
2014-03-18,25.5
2014-03-19,24.95
2014-03-20,25.1
2014-03-21,25.5
2014-03-22,25.85
2014-03-24,25.9
2014-03-25,26.55
2014-03-26,27.55
2014-03-27,27.8
2014-03-28,27.1
2014-03-31,27.3
2014-04-01,27.3
2014-04-02,27.5
2014-04-03,27.05
2014-04-04,26.95
2014-04-07,27.5
2014-04-09,28.2
2014-04-10,31.85
2014-04-11,33.85
2014-04-15,33.85
2014-04-16,31.5
2014-04-17,33.1
2014-04-21,33.3
2014-04-22,33.5
2014-04-23,33.15
2014-04-25,32.65
2014-04-28,35.3
2014-04-29,40.25
2014-04-30,36.95
2014-05-02,40.7
2014-05-05,39.75
2014-05-06,40.95
2014-05-07,39.15
2014-05-08,38.0
2014-05-09,40.75
2014-05-12,39.6
2014-05-13,39.85
2014-05-14,41.65
2014-05-15,40.45
2014-05-16,46.4
2014-05-19,48.95
2014-05-20,56.3
2014-05-21,54.85
2014-05-22,55.55
2014-05-23,60.45
2014-05-26,59.45
2014-05-27,57.7
2014-05-28,59.45
2014-05-29,59.25
2014-05-30,61.1
2014-06-02,64.55
2014-06-03,64.25
2014-06-04,63.5
2014-06-05,65.55
2014-06-06,66.3
2014-06-09,72.8
2014-06-10,71.55
2014-06-11,70.65
2014-06-12,74.85
2014-06-13,72.9
2014-06-16,72.05
2014-06-17,77.1
2014-06-18,76.35
2014-06-19,74.25
2014-06-20,72.3
2014-06-23,73.3
2014-06-24,73.65
2014-06-25,74.8
2014-06-26,73.7
2014-06-27,75.0
2014-06-30,82.5
2014-07-01,82.9
2014-07-02,81.95
2014-07-03,87.35
2014-07-04,84.85
2014-07-07,90.0
2014-07-08,82.65
2014-07-09,82.35
2014-07-10,82.35
2014-07-11,77.35
2014-07-14,82.8
2014-07-15,82.85
2014-07-16,85.25
2014-07-17,85.5
2014-07-18,87.55
2014-07-21,92.35
2014-07-22,92.75
