Date,L&TFH
2013-03-01,79.2
2013-03-04,76.2
2013-03-05,80.0
2013-03-06,80.6
2013-03-07,82.6
2013-03-08,82.45
2013-03-11,81.3
2013-03-12,80.9
2013-03-13,80.2
2013-03-14,80.0
2013-03-15,81.25
2013-03-18,79.3
2013-03-19,77.65
2013-03-20,75.35
2013-03-21,73.0
2013-03-22,71.45
2013-03-25,72.05
2013-03-26,72.55
2013-03-28,73.8
2013-04-01,76.8
2013-04-02,77.0
2013-04-03,75.25
2013-04-04,72.95
2013-04-05,75.2
2013-04-08,73.75
2013-04-09,71.55
2013-04-10,72.05
2013-04-11,72.1
2013-04-12,71.5
2013-04-15,71.95
2013-04-16,73.0
2013-04-17,72.75
2013-04-18,73.55
2013-04-22,78.2
2013-04-23,79.35
2013-04-25,79.25
2013-04-26,77.4
2013-04-29,78.0
2013-04-30,77.55
2013-05-02,78.75
2013-05-03,76.95
2013-05-06,78.0
2013-05-07,79.9
2013-05-08,79.6
2013-05-09,78.7
2013-05-10,78.5
2013-05-11,78.8
2013-05-13,77.3
2013-05-14,78.2
2013-05-15,82.55
2013-05-16,83.7
2013-05-17,82.6
2013-05-20,82.05
2013-05-21,82.45
2013-05-22,80.2
2013-05-23,77.85
2013-05-24,78.65
2013-05-27,79.55
2013-05-28,79.8
2013-05-29,78.6
2013-05-30,78.3
2013-05-31,76.8
2013-06-03,78.25
2013-06-04,79.35
2013-06-05,78.5
2013-06-06,78.8
2013-06-07,79.6
2013-06-10,78.5
2013-06-11,77.05
2013-06-12,77.75
2013-06-13,76.1
2013-06-14,77.0
2013-06-17,76.95
2013-06-18,77.85
2013-06-19,80.35
2013-06-20,78.65
2013-06-21,76.8
2013-06-24,75.0
2013-06-25,75.2
2013-06-26,76.9
2013-06-27,76.45
2013-06-28,78.7
2013-07-01,80.1
2013-07-02,78.5
2013-07-03,76.5
2013-07-04,76.2
2013-07-05,75.6
2013-07-08,75.2
2013-07-09,75.65
2013-07-10,75.1
2013-07-11,75.75
2013-07-12,76.1
2013-07-15,76.75
2013-07-16,74.7
2013-07-17,73.95
2013-07-18,74.6
2013-07-19,74.0
2013-07-22,74.7
2013-07-23,74.65
2013-07-24,71.9
2013-07-25,68.15
2013-07-26,67.2
2013-07-29,64.2
2013-07-30,62.8
2013-07-31,61.45
2013-08-01,62.65
2013-08-02,60.05
2013-08-05,58.0
2013-08-06,53.9
2013-08-07,54.85
2013-08-08,55.6
2013-08-12,57.3
2013-08-13,59.9
2013-08-14,58.65
2013-08-16,57.0
2013-08-19,55.45
2013-08-20,55.8
2013-08-21,54.45
2013-08-22,55.75
2013-08-23,56.15
2013-08-26,56.5
2013-08-27,55.8
2013-08-28,55.4
2013-08-29,55.75
2013-08-30,55.45
2013-09-02,57.1
2013-09-03,55.6
2013-09-04,57.45
2013-09-05,59.3
2013-09-06,66.95
2013-09-10,68.3
2013-09-11,69.05
2013-09-12,67.45
2013-09-13,67.6
2013-09-16,66.9
2013-09-17,65.75
2013-09-18,68.1
2013-09-19,69.55
2013-09-20,67.45
2013-09-23,66.45
2013-09-24,66.7
2013-09-25,66.15
2013-09-26,66.5
2013-09-27,66.05
2013-09-30,64.5
2013-10-01,65.45
2013-10-03,66.45
2013-10-04,66.9
