Date,JINDWORLD
2013-01-01,141.0
2013-01-02,141.4
2013-01-03,141.2
2013-01-04,141.35
2013-01-07,143.5
2013-01-08,144.75
2013-01-09,149.95
2013-01-10,147.05
2013-01-11,145.15
2013-01-14,151.25
2013-01-15,149.0
2013-01-16,151.1
2013-01-17,151.85
2013-01-18,152.0
2013-01-21,149.45
2013-01-22,149.1
2013-01-23,153.65
2013-01-24,149.8
2013-01-25,158.1
2013-01-28,159.25
2013-01-29,161.2
2013-01-30,163.2
2013-01-31,164.15
2013-02-01,164.0
2013-02-04,161.7
2013-02-05,160.0
2013-02-06,161.45
2013-02-07,160.65
2013-02-08,161.8
2013-02-11,162.9
2013-02-12,158.9
2013-02-13,149.15
2013-02-14,136.6
2013-02-15,131.6
2013-02-18,131.05
2013-02-19,143.9
2013-02-20,138.0
2013-02-21,137.0
2013-02-22,139.0
2013-02-25,138.6
2013-02-26,138.0
2013-02-27,134.25
2013-02-28,132.05
2013-03-01,125.75
2013-03-04,122.7
2013-03-05,117.4
2013-03-06,121.05
2013-03-07,119.7
2013-03-08,120.85
2013-03-11,118.35
2013-03-12,117.2
2013-03-13,117.5
2013-03-14,118.0
2013-03-15,114.3
2013-03-18,115.95
2013-03-19,115.3
2013-03-20,110.7
2013-03-21,111.25
2013-03-22,100.2
2013-03-25,92.05
2013-03-26,92.4
2013-03-28,101.95
2013-04-01,103.95
2013-04-02,111.85
2013-04-03,102.05
2013-04-04,91.7
2013-04-05,96.5
2013-04-08,91.15
2013-04-09,92.45
2013-04-10,90.45
2013-04-11,91.7
2013-04-12,90.9
2013-04-15,103.55
2013-04-16,100.65
2013-04-17,96.2
2013-04-18,98.95
2013-04-22,99.7
2013-04-23,96.85
2013-04-25,98.4
2013-04-26,97.5
2013-04-29,95.1
2013-04-30,95.05
2013-05-02,96.95
2013-05-03,100.25
2013-05-06,98.15
2013-05-07,97.0
2013-05-08,95.0
2013-05-09,93.7
2013-05-10,97.0
2013-05-11,115.9
2013-05-13,97.65
2013-05-14,97.05
2013-05-15,94.65
2013-05-16,96.5
2013-05-17,98.9
2013-05-20,102.4
2013-05-21,98.25
2013-05-22,98.0
2013-05-23,95.8
2013-05-24,93.0
2013-05-27,97.3
