Date,CANDC
2013-01-01,49.8
2013-01-02,50.65
2013-01-03,51.8
2013-01-04,51.8
2013-01-07,51.85
2013-01-08,50.65
2013-01-09,50.75
2013-01-10,49.75
2013-01-11,49.4
2013-01-14,48.4
2013-01-15,48.85
2013-01-16,47.55
2013-01-17,48.25
2013-01-18,47.3
2013-01-21,47.75
2013-01-22,47.15
2013-01-23,45.75
2013-01-24,42.75
2013-01-25,42.9
2013-01-28,43.95
2013-01-29,43.5
2013-01-30,43.0
2013-01-31,41.45
2013-02-01,40.95
2013-02-04,40.85
2013-02-05,40.85
2013-02-06,41.65
2013-02-07,40.4
2013-02-08,40.05
2013-02-11,39.8
2013-02-12,40.85
2013-02-13,41.2
2013-02-14,39.1
2013-02-15,38.65
2013-02-18,38.25
2013-02-19,37.9
2013-02-20,39.8
2013-02-21,39.0
2013-02-22,38.9
2013-02-25,37.95
2013-02-26,36.5
2013-02-27,37.5
2013-02-28,37.35
2013-03-01,36.45
2013-03-04,36.5
2013-03-05,36.35
2013-03-06,37.5
2013-03-07,37.05
2013-03-08,37.4
2013-03-11,37.8
2013-03-12,38.2
2013-03-13,38.85
2013-03-14,38.4
2013-03-15,37.55
2013-03-18,36.85
2013-03-19,36.5
2013-03-20,34.6
2013-03-21,34.15
2013-03-22,31.65
2013-03-25,30.7
2013-03-26,30.45
2013-03-28,30.65
2013-04-01,32.95
2013-04-02,33.4
2013-04-03,34.4
2013-04-04,33.6
2013-04-05,32.5
2013-04-08,32.85
2013-04-09,31.7
2013-04-10,31.1
2013-04-11,31.7
2013-04-12,31.9
2013-04-15,31.85
2013-04-16,31.95
2013-04-17,31.85
2013-04-18,32.5
2013-04-22,32.9
2013-04-23,33.25
2013-04-25,33.0
2013-04-26,32.55
2013-04-29,32.0
2013-04-30,31.5
2013-05-02,32.85
2013-05-03,31.55
2013-05-06,31.6
2013-05-07,31.05
2013-05-08,31.05
2013-05-09,31.65
2013-05-10,31.3
2013-05-11,30.75
2013-05-13,30.55
2013-05-14,30.35
2013-05-15,31.6
2013-05-16,31.95
2013-05-17,32.35
2013-05-20,31.9
2013-05-21,31.3
2013-05-22,30.7
2013-05-23,30.8
2013-05-24,30.05
2013-05-27,29.3
2013-05-28,29.55
2013-05-29,28.5
2013-05-30,27.95
2013-05-31,26.85
2013-06-03,27.35
2013-06-04,26.5
2013-06-05,26.35
2013-06-06,25.15
2013-06-07,25.65
2013-06-10,25.35
2013-06-11,24.5
2013-06-12,23.3
2013-06-13,22.75
2013-06-14,23.15
2013-06-17,23.55
2013-06-18,23.35
2013-06-19,23.7
2013-06-20,22.35
2013-06-21,21.75
2013-06-24,21.55
2013-06-25,20.4
2013-06-26,20.95
2013-06-27,20.1
2013-06-28,20.85
2013-07-01,24.05
2013-07-02,26.05
2013-07-03,28.0
2013-07-04,29.75
2013-07-05,28.9
2013-07-08,29.1
2013-07-09,28.4
2013-07-10,28.1
2013-07-11,27.6
2013-07-12,28.15
2013-07-15,27.6
2013-07-16,25.65
2013-07-17,25.65
2013-07-18,25.1
2013-08-30,23.5
2013-09-02,23.0
2013-09-03,23.0
2013-09-04,23.5
2013-09-05,23.05
2013-09-06,23.4
2013-09-10,23.5
2013-09-11,24.25
2013-09-12,24.85
2013-09-13,25.95
2013-09-16,26.15
2013-09-17,27.0
2013-09-18,27.3
2013-09-19,28.65
2013-09-20,28.9
2013-09-23,30.05
2013-09-24,31.45
2013-09-25,32.95
2013-09-26,33.25
2013-09-27,34.9
2013-09-30,36.55
2013-10-01,36.5
2013-10-03,34.7
2013-10-04,33.1
2013-10-07,31.45
2013-10-08,30.6
2013-10-09,30.5
2013-10-10,30.6
2013-10-11,31.5
2013-10-14,31.25
2013-10-15,29.75
2013-10-17,29.15
2013-10-18,30.6
2013-10-21,31.7
2013-10-22,31.25
2013-10-23,31.7
2013-10-24,32.2
2013-10-25,33.8
2013-10-28,32.5
2013-10-29,32.95
2013-10-30,32.5
2013-10-31,31.75
2013-11-01,31.8
2013-11-03,32.25
2013-11-05,30.65
2013-11-06,30.85
2013-11-07,32.85
2013-11-08,32.85
2013-11-11,31.75
2013-11-12,30.55
2013-11-13,31.1
2013-11-14,32.8
2013-11-18,32.15
2013-11-19,31.5
2013-11-20,31.6
2013-11-21,30.55
2013-11-22,30.8
2013-11-25,30.7
2013-11-26,30.05
2013-11-27,30.05
2013-11-28,29.9
2013-11-29,28.55
2013-12-02,29.05
2013-12-03,29.7
2013-12-04,28.0
2013-12-05,29.2
2013-12-06,28.9
2013-12-09,28.65
2013-12-10,28.95
2013-12-11,29.85
