Date,AGCNET
2013-01-01,194.75
2013-01-02,197.8
2013-01-03,195.15
2013-01-04,218.45
2013-01-07,216.3
2013-01-08,219.8
2013-01-09,222.2
2013-01-10,225.7
2013-01-11,215.45
2013-01-14,229.9
2013-01-15,216.95
2013-01-16,212.6
2013-01-17,208.9
2013-01-18,205.95
2013-01-21,203.3
2013-01-22,200.95
2013-01-23,196.35
2013-01-24,190.5
2013-01-25,193.75
2013-01-28,194.7
2013-01-29,192.9
2013-01-30,191.4
2013-01-31,189.25
2013-02-01,189.95
2013-02-04,177.1
2013-02-05,171.7
2013-02-06,172.6
2013-02-07,167.7
2013-02-08,163.95
2013-02-11,162.35
2013-02-12,154.55
2013-02-13,134.55
2013-02-14,127.4
2013-02-15,123.95
2013-02-18,136.95
2013-02-19,136.85
2013-02-20,141.0
2013-02-21,139.3
2013-02-22,136.6
2013-02-25,126.65
2013-02-26,125.05
2013-02-27,126.35
2013-02-28,118.9
2013-03-01,119.15
2013-03-04,114.35
2013-03-05,117.3
2013-03-06,124.65
2013-03-07,124.0
2013-03-08,127.2
2013-03-11,126.9
2013-03-12,131.6
2013-03-13,127.85
2013-03-14,127.1
2013-03-15,124.0
2013-03-18,125.3
2013-03-19,126.15
2013-03-20,120.95
2013-03-21,122.85
2013-03-22,119.55
2013-03-25,118.7
2013-03-26,119.0
2013-03-28,117.3
2013-04-01,118.35
2013-04-02,121.5
2013-04-03,117.55
2013-04-04,113.8
2013-04-05,110.65
2013-04-08,110.9
2013-04-09,108.4
2013-04-10,108.3
2013-04-11,109.9
2013-04-12,114.6
2013-04-15,112.8
2013-04-16,111.9
2013-04-17,112.55
2013-04-18,112.95
2013-04-22,111.05
2013-04-23,112.55
2013-04-25,112.35
2013-04-26,111.65
2013-04-29,113.35
2013-04-30,111.8
2013-05-02,109.85
2013-05-03,108.95
2013-05-06,104.6
2013-05-07,105.15
2013-05-08,104.35
2013-05-09,102.9
2013-05-10,91.5
2013-05-11,89.55
2013-05-13,92.4
2013-05-14,92.65
2013-05-15,88.25
2013-05-16,75.75
2013-05-17,90.9
2013-05-20,94.35
2013-05-21,94.0
2013-05-22,90.0
2013-05-23,85.75
2013-05-24,85.95
2013-05-27,87.25
2013-05-28,82.25
2013-05-29,67.25
2013-05-30,69.45
2013-05-31,68.05
2013-06-03,69.55
2013-06-04,67.85
2013-06-05,65.5
2013-06-06,64.0
2013-06-07,62.15
2013-06-10,63.2
2013-06-11,59.75
2013-06-12,55.85
2013-06-13,53.0
2013-06-14,54.55
2013-06-17,53.55
2013-06-18,54.1
2013-06-19,59.3
2013-06-20,57.0
2013-06-21,54.5
2013-06-24,51.6
2013-06-25,52.05
2013-06-26,51.7
2013-06-27,51.5
2013-06-28,56.65
2013-07-01,62.3
2013-07-02,68.5
2013-07-03,71.9
2013-07-04,75.45
2013-07-05,78.15
2013-07-08,82.05
2013-07-09,86.15
2013-07-10,90.45
2013-07-11,94.95
2013-07-12,99.65
2013-07-15,104.6
2013-07-16,109.8
2013-07-17,112.35
2013-07-18,115.6
2013-08-30,91.0
2013-09-02,89.6
2013-09-03,85.3
2013-09-04,81.05
2013-09-05,77.2
2013-09-06,74.9
2013-09-10,82.35
2013-09-11,79.65
2013-09-12,85.0
2013-09-13,80.85
2013-09-16,81.7
2013-09-17,82.55
2013-09-18,81.3
2013-09-19,85.3
2013-09-20,81.65
2013-09-23,78.8
2013-09-24,78.75
2013-09-25,80.5
2013-09-26,79.8
2013-09-27,79.0
2013-09-30,86.2
2013-10-01,82.85
2013-10-03,82.85
2013-10-04,81.45
2013-10-07,81.35
2013-10-08,81.35
2013-10-09,82.4
2013-10-10,82.95
2013-10-11,82.0
2013-10-14,81.2
2013-10-15,83.15
2013-10-17,79.7
2013-10-18,80.75
2013-10-21,81.65
2013-10-22,80.4
2013-10-23,80.5
2013-10-24,79.65
2013-10-25,80.35
2013-10-28,77.5
2013-10-29,76.6
2013-10-30,75.8
2013-10-31,73.3
2013-11-01,73.75
2013-11-03,74.65
2013-11-05,75.0
2013-11-06,77.05
2013-11-07,77.0
2013-11-08,74.65
2013-11-11,77.4
2013-11-12,78.5
2013-11-13,79.7
2013-11-14,77.0
2013-11-18,69.0
2013-11-19,70.45
2013-11-20,68.6
2013-11-21,68.65
2013-11-22,68.85
2013-11-25,68.1
2013-11-26,66.95
2013-11-27,67.15
2013-11-28,63.7
2013-11-29,66.6
2013-12-02,68.0
2013-12-03,67.45
2013-12-04,66.9
2013-12-05,65.85
2013-12-06,66.05
2013-12-09,64.65
2013-12-10,63.55
2013-12-11,65.1
2013-12-12,64.1
2013-12-13,61.5
2013-12-16,60.55
2013-12-17,61.0
2013-12-18,60.15
2013-12-19,58.3
2013-12-20,59.35
2013-12-23,59.65
2013-12-24,59.55
2013-12-26,67.0
2013-12-27,66.3
2013-12-30,69.4
2013-12-31,69.9
2014-01-01,69.1
2014-01-02,68.15
2014-01-03,66.65
2014-01-06,79.95
2014-01-07,83.3
2014-01-08,80.35
2014-01-09,76.5
2014-01-10,71.6
2014-01-13,74.2
2014-01-14,72.05
2014-01-15,73.75
2014-01-16,70.9
2014-01-17,69.65
2014-01-20,68.7
2014-01-21,67.9
2014-01-22,68.05
2014-01-23,67.45
2014-01-24,66.35
2014-01-27,64.0
2014-01-28,63.8
2014-01-29,65.95
2014-01-30,61.6
2014-01-31,63.55
2014-02-03,65.4
2014-02-04,64.0
2014-02-05,60.9
2014-02-06,59.7
2014-02-07,54.95
2014-02-10,49.15
2014-02-11,48.35
2014-02-12,53.55
2014-02-13,51.7
2014-02-14,51.2
