Date,INOXWIND
2015-04-09,438.4
2015-04-10,439.6
2015-04-13,430.25
2015-04-15,439.15
2015-04-16,479.5
2015-04-17,473.9
2015-04-20,450.7
2015-04-21,440.8
2015-04-22,441.85
2015-04-23,436.35
2015-04-24,420.4
2015-04-27,417.55
2015-04-28,429.65
2015-04-29,417.45
2015-04-30,426.35
2015-05-04,432.7
2015-05-05,423.15
2015-05-06,404.95
2015-05-07,406.15
2015-05-08,417.75
2015-05-11,434.6
2015-05-12,423.55
2015-05-13,452.15
2015-05-14,449.9
2015-05-15,467.1
2015-05-18,448.7
2015-05-19,456.4
2015-05-20,438.2
2015-05-21,441.5
2015-05-22,440.25
2015-05-25,436.05
2015-05-26,429.15
2015-05-27,435.25
2015-05-28,438.95
2015-05-29,435.75
2015-06-01,428.95
2015-06-02,423.05
2015-06-03,419.85
2015-06-04,419.45
2015-06-05,419.8
2015-06-08,414.95
2015-06-09,409.85
2015-06-10,407.35
2015-06-11,390.65
2015-06-12,410.15
2015-06-15,413.35
2015-06-16,411.95
2015-06-17,413.7
2015-06-18,419.05
2015-06-19,428.75
2015-06-22,428.65
2015-06-23,426.35
2015-06-24,412.45
2015-06-25,425.8
2015-06-26,428.6
2015-06-29,423.2
2015-06-30,422.9
2015-07-01,425.65
2015-07-02,435.85
2015-07-03,443.05
2015-07-06,464.05
2015-07-07,462.85
2015-07-08,445.75
2015-07-09,448.15
2015-07-10,451.95
2015-07-13,463.45
2015-07-14,454.9
2015-07-15,453.2
2015-07-16,448.85
2015-07-17,446.2
2015-07-20,447.4
2015-07-21,431.2
2015-07-22,436.35
2015-07-23,430.45
2015-07-24,422.35
2015-07-27,437.0
2015-07-28,417.8
2015-07-29,414.0
2015-07-30,413.55
2015-07-31,417.65
2015-08-03,414.55
2015-08-04,411.25
2015-08-05,415.65
2015-08-06,413.8
2015-08-07,406.45
2015-08-10,390.2
2015-08-11,400.3
2015-08-12,391.4
2015-08-13,374.7
2015-08-14,399.45
2015-08-17,395.8
2015-08-18,398.15
2015-08-19,400.7
2015-08-20,394.4
2015-08-21,386.15
2015-08-24,342.45
2015-08-25,346.75
2015-08-26,343.3
2015-08-27,355.9
2015-08-28,359.0
2015-08-31,366.05
2015-09-01,374.3
2015-09-02,380.15
2015-09-03,382.3
2015-09-04,377.1
2015-09-07,364.5
2015-09-08,372.3
2015-09-09,392.35
2015-09-10,380.5
2015-09-11,375.4
