Date,BROOKS
2013-03-01,16.05
2013-03-04,15.85
2013-03-05,16.1
2013-03-06,16.9
2013-03-07,18.55
2013-03-08,20.4
2013-03-11,20.3
2013-03-12,19.35
2013-03-13,18.8
2013-03-14,19.25
2013-03-15,18.8
2013-03-18,19.1
2013-03-19,18.0
2013-03-20,17.3
2013-03-21,17.1
2013-03-22,16.75
2013-03-25,16.15
2013-03-26,16.15
2013-03-28,16.1
2013-04-01,17.05
2013-04-02,18.4
2013-04-03,17.95
2013-04-04,17.5
2013-04-05,18.05
2013-04-08,18.65
2013-04-09,17.9
2013-04-10,17.6
2013-04-11,17.55
2013-04-12,16.85
2013-04-15,17.0
2013-04-16,17.1
2013-04-17,17.4
2013-04-18,17.1
2013-04-22,17.25
2013-04-23,17.2
2013-04-25,17.15
2013-04-26,16.8
2013-04-29,17.05
2013-04-30,16.85
2013-05-02,16.95
2013-05-03,16.7
2013-05-06,16.85
2013-05-07,17.3
2013-05-08,17.6
2013-05-09,17.65
2013-05-10,17.5
2013-05-11,17.45
2013-05-13,17.65
2013-05-14,17.5
2013-05-15,17.35
2013-05-16,17.05
2013-05-17,17.35
2013-05-20,17.0
2013-05-21,17.0
2013-05-22,16.95
2013-05-23,16.65
2013-05-24,16.4
2013-05-27,17.05
2013-05-28,16.5
2013-05-29,16.75
2013-05-30,17.3
2013-05-31,16.95
2013-06-03,16.85
2013-06-04,16.6
2013-06-05,16.8
2013-06-06,16.75
2013-06-07,16.8
2013-06-10,16.7
2013-06-11,16.15
2013-06-12,15.75
2013-06-13,15.8
2013-06-14,16.05
2013-06-17,16.1
2013-06-18,18.3
2013-06-19,18.75
2013-06-20,18.05
2013-06-21,16.9
2013-06-24,15.8
2013-06-25,15.75
2013-06-26,15.9
2013-06-27,15.9
2013-06-28,15.85
2013-07-01,16.3
2013-07-02,16.0
2013-07-03,15.9
2013-07-04,16.1
2013-07-05,16.0
2013-07-08,15.95
2013-07-09,16.15
2013-07-10,16.95
2013-07-11,17.95
2013-07-12,17.9
2013-07-15,18.0
2013-07-16,17.35
2013-07-17,17.15
2013-07-18,17.05
2013-07-19,17.35
2013-07-22,17.05
2013-07-23,16.7
2013-07-24,16.6
2013-07-25,16.0
2013-07-26,16.2
2013-07-29,15.7
2013-07-30,15.0
2013-07-31,14.75
2013-08-01,14.55
2013-08-02,14.55
2013-08-05,14.35
2013-08-06,14.25
2013-08-07,14.8
2013-08-08,15.8
2013-08-12,15.1
2013-08-13,14.95
2013-08-14,14.9
2013-08-16,14.5
2013-08-19,14.25
2013-08-20,14.75
2013-08-21,14.2
2013-08-22,14.25
2013-08-23,14.35
2013-08-26,14.3
2013-08-27,14.25
2013-08-28,13.95
2013-08-29,14.0
2013-08-30,14.25
2013-09-02,14.6
2013-09-03,14.6
2013-09-04,14.4
2013-09-05,14.55
2013-09-06,14.9
2013-09-10,14.75
2013-09-11,15.4
2013-09-12,15.0
2013-09-13,14.75
2013-09-16,14.95
2013-09-17,14.95
2013-09-18,14.75
2013-09-19,14.6
2013-09-20,14.25
2013-09-23,14.3
2013-09-24,14.3
2013-09-25,14.15
2013-09-26,14.2
2013-09-27,14.3
2013-09-30,14.05
2013-10-01,14.3
2013-10-03,14.55
2013-10-04,14.3
2013-10-07,14.65
2013-10-08,14.35
